,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,,12.2,10.3,,,,,,,12.3,12.2,11.6,11.3,10.3,8.95
Earnings per Share,,,,0.21,0.25,0.34,0.33,0.25,,,0.059,0.14,0.11,0.087,0.064,0.11,-0.044,0.11,0.045,0.11
Revenue per Share,,,,2.28,2.52,2.87,3.12,3.48,,,,,0.86,,0.82,0.91,0.92,0.90,0.86,0.96
Dividend per Share,,,,0.053,0.061,0.061,0.64,0.14,,,,,0.64,,0.00,0.00,0.14,,,
Capital Expenditures per Share,,,,0.00,0.00,0.41,0.68,1.03,,,,,0.15,,0.14,0.13,0.66,0.18,0.31,0.27
Book Value per Share,,,,1.98,2.17,2.45,2.66,4.93,,,,,2.66,,2.15,2.26,4.93,5.04,4.95,5.06
Price to Earnings Ratio,,,,,,,,45.2,,,,,,,,31.1,51.4,43.3,46.0,38.5
Price to Book Value Ratio,,,,,,,,2.21,,,,,,,,4.95,2.21,2.12,1.79,1.55
EV to EBITDA,,,,,,,0.00,17.6,,,0.00,0.00,0.00,0.00,0.00,19.1,17.6,16.1,18.8,12.9
Dividend Payout Ratio,,,,25.9%,24.8%,18.0%,192.2%,56.5%,,,,,167.7%,,0.0%,0.0%,64.2%,,,
Common Shares Outstanding,,,,786.3,786.3,786.3,786.3,786.3,,,,,786.3,,786.3,786.3,786.3,786.3,786.3,786.3
Total Revenue,,,,"1,794","1,982","2,259","2,455","2,734",,,564.4,647.0,677.7,653.3,642.0,716.0,722.2,704.3,679.8,753.2
"Cost of Revenue, Total",,,,"1,184","1,260","1,533","1,682","1,864",,,406.1,433.0,454.8,444.5,448.7,483.6,487.3,470.4,489.2,505.9
Gross Profit,,,,610.2,721.2,850.0,773.6,869.3,,,158.3,214.0,222.9,208.8,193.3,232.3,234.9,233.9,190.6,247.3
"Selling/General/Administrative Expenses, Total",,,,315.2,374.1,422.1,456.5,541.8,,,116.5,116.7,120.3,145.3,133.5,125.7,137.2,130.1,147.5,138.3
Operating Income,,,,187.7,233.2,313.7,317.1,215.7,,,41.8,97.3,102.6,63.5,59.8,106.6,-14.2,103.8,43.1,109.0
Net Income,,,,162.2,193.6,267.2,262.3,157.2,,,35.4,81.1,84.5,52.2,50.4,87.3,-32.7,86.1,35.7,88.8
EBITDA,,,,187.7,233.2,433.0,454.0,356.8,,,79.0,135.4,127.1,101.6,98.2,145.9,22.1,139.7,80.0,146.6
Gross Profit Margin,,,,34.0%,36.4%,37.6%,31.5%,31.8%,,,28.0%,33.1%,32.9%,32.0%,30.1%,32.5%,32.5%,33.2%,28.0%,32.8%
Operating Margin,,,,10.5%,11.8%,13.9%,12.9%,7.9%,,,7.4%,15.0%,15.1%,9.7%,9.3%,14.9%,-2.0%,14.7%,6.3%,14.5%
Net Profit Margin,,,,9.0%,9.8%,11.8%,10.7%,5.8%,,,6.3%,12.5%,12.5%,8.0%,7.8%,12.2%,-4.5%,12.2%,5.2%,11.8%
Return on Assets,,,,8.9%,10.1%,12.4%,10.2%,4.3%,,,,,8.7%,8.9%,21.2%,10.5%,4.4%,4.3%,3.9%,3.9%
Return on Equity,,,,10.4%,11.3%,13.9%,12.5%,4.1%,,,0.0%,0.0%,4.0%,0.0%,3.0%,4.9%,-0.8%,2.2%,0.9%,2.2%
Return on Total Capital,,,,10.4%,11.3%,13.9%,12.5%,4.1%,,,0.0%,0.0%,11.9%,0.0%,15.9%,15.4%,4.1%,4.8%,4.5%,4.5%
SG&A to Sale,,,,17.6%,18.9%,18.7%,18.6%,19.8%,,,20.6%,18.0%,17.8%,22.2%,20.8%,17.6%,19.0%,18.5%,21.7%,18.4%
Depreciation & Amortisation,,,,,,119.3,137.0,141.1,,,37.2,38.1,24.5,38.0,38.5,39.3,36.3,35.9,36.9,37.6
Tax Rate,,,,20.3%,21.9%,18.2%,17.3%,27.1%,,,15.2%,16.6%,17.7%,17.8%,15.7%,18.1%,-130.5%,17.0%,17.2%,18.6%
Current Ratio,,,,3.44,3.19,3.20,1.34,4.57,,,,,1.34,,0.51,0.55,4.57,4.03,3.59,3.19
Quick Ratio,,,,1.91,2.43,2.38,0.90,3.96,,,0.00,0.00,0.90,0.00,0.15,0.16,3.96,3.49,2.45,2.27
Days Inventory Outstanding,,,,13.6,12.5,9.97,8.80,8.06,,,,,8.52,8.29,4.27,8.35,8.32,8.22,8.13,8.18
Days Sale Outstanding,,,,24.9,22.3,23.0,19.8,18.6,,,,,19.8,,14.6,17.3,18.6,15.8,17.1,20.5
Days Payable Outstanding,,,,35.5,30.6,24.3,23.6,21.6,,,,,23.6,22.9,10.2,21.3,22.2,21.1,19.8,20.3
Cash Conversion Cycle,,,,3.13,7.32,5.47,5.81,4.55,,,,,4.97,27.6,-8.62,1.41,4.42,4.77,5.24,5.80
Debt to Asset Ratio,,,,0.14,0.16,0.18,0.27,0.12,,,,,0.27,,0.33,0.34,0.12,0.13,0.14,0.15
Debt to Equity Ratio,,,,0.17,0.19,0.21,0.36,0.14,,,,,0.36,,0.50,0.52,0.14,0.15,0.16,0.17
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,,,,669.5,778.6,823.2,691.5,"1,860",,,,,691.5,,213.2,264.3,"1,860","1,865","1,611","1,558"
"Total Receivables, Net",,,,122.2,120.9,142.1,132.9,139.3,,,,,132.9,,105.1,127.1,139.3,120.3,132.3,160.8
Total Inventory,,,,44.2,42.2,41.6,39.5,42.9,,,,,39.5,,41.7,42.1,42.9,42.2,43.8,43.7
Total Current Assets,,,,838.7,946.2,"1,019",878.6,"2,049",,,,,878.6,,368.3,439.4,"2,049","2,033","1,796","1,770"
"Property/Plant/Equipment, Total - Net",,,,811.4,959.9,"1,140","1,713","2,136",,,,,"1,713",,"1,910","2,020","2,136","2,322","2,513","2,661"
