,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,32.9,50.1,45.9,47.1,54.4,71.9,82.1,71.6,,,76.1,84.4,84.3,79.6,82.1,81.4,78.9,76.5,71.9,65.5
Earnings per Share,0.47,1.42,1.42,1.63,1.76,2.06,3.02,2.50,,,0.55,1.33,0.52,0.63,0.65,0.65,0.56,0.63,0.54,0.63
Revenue per Share,2.92,4.60,4.88,5.49,5.88,6.70,7.12,8.34,,,1.74,1.76,1.84,1.83,2.10,2.11,2.13,2.01,2.11,2.18
Dividend per Share,0.19,0.48,0.55,0.65,0.70,0.83,1.40,1.10,,,,,1.40,,,,1.10,,,
Capital Expenditures per Share,0.00,0.00,0.00,0.028,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Book Value per Share,4.58,5.82,8.06,9.14,10.2,11.6,13.8,14.6,,,11.9,13.3,13.8,14.4,13.7,14.3,14.6,15.3,14.6,15.3
Price to Earnings Ratio,43.4,33.8,29.1,27.0,26.5,26.7,27.9,30.2,,,32.9,26.8,27.9,25.1,26.3,30.9,30.2,28.4,28.2,26.4
Price to Book Value Ratio,5.02,8.12,5.83,4.68,5.03,4.89,5.66,5.00,,,6.53,6.42,5.66,4.85,6.07,5.24,5.00,4.91,4.65,4.08
EV to EBITDA,19.1,19.5,16.1,15.8,15.3,15.8,21.5,19.9,,,18.9,21.1,21.5,20.7,19.1,20.4,19.9,18.6,18.7,16.5
Dividend Payout Ratio,39.2%,33.4%,38.8%,39.9%,39.9%,40.3%,46.3%,44.0%,,,,,46.3%,,,,44.0%,,,
Common Shares Outstanding,"4,358","4,358","4,488","4,488","4,488","4,488","4,488","4,488",,,"4,488","4,488","4,488","4,488","4,488","4,488","4,488","4,488","4,488","4,488"
Total Revenue,"12,711","20,066","21,921","24,636","26,412","30,087","31,933","37,445",,,"7,819","7,900","8,272","8,218","9,409","9,472","9,540","9,020","9,491","9,773"
"Cost of Revenue, Total","7,783","9,433","10,542","11,616","12,634","14,146","14,637","17,713",,,"3,578","3,661","3,938","3,592","4,350","4,261","4,704","4,055","4,495","4,558"
Gross Profit,"4,927","10,633","11,379","13,020","13,778","15,940","17,296","19,732",,,"4,241","4,238","4,334","4,626","5,059","5,211","4,836","4,965","4,996","5,214"
"Selling/General/Administrative Expenses, Total","2,410","2,741","3,446","3,667","4,030","4,301","4,991","5,957",,,"1,197","1,160","1,581","1,203","1,438","1,598","1,741","1,421","1,837","1,637"
Operating Income,"3,070","7,892","7,934","9,353","9,747","11,640","12,305","13,775",,,"3,045","3,079","2,753","3,423","3,621","3,613","3,095","3,544","3,159","3,578"
Net Income,"2,058","6,189","6,293","7,307","7,880","9,244","13,568","11,216",,,"2,483","5,983","2,326","2,822","2,935","2,928","2,530","2,847","2,404","2,816"
EBITDA,"7,133","12,210","12,704","14,321","15,257","18,056","18,901","20,804",,,"4,603","4,676","4,636","4,814","5,524","5,467","4,976","5,114","5,465","5,593"
Gross Profit Margin,38.8%,53.0%,51.9%,52.8%,52.2%,53.0%,54.2%,52.7%,,,54.2%,53.7%,52.4%,56.3%,53.8%,55.0%,50.7%,55.0%,52.6%,53.4%
Operating Margin,24.2%,39.3%,36.2%,38.0%,36.9%,38.7%,38.5%,36.8%,,,38.9%,39.0%,33.3%,41.7%,38.5%,38.1%,32.4%,39.3%,33.3%,36.6%
Net Profit Margin,16.2%,30.8%,28.7%,29.7%,29.8%,30.7%,42.5%,30.0%,,,31.8%,75.7%,28.1%,34.3%,31.2%,30.9%,26.5%,31.6%,25.3%,28.8%
Return on Assets,3.5%,9.3%,8.6%,8.8%,8.2%,8.9%,12.1%,7.9%,,,9.2%,12.2%,11.6%,11.2%,11.5%,7.8%,7.0%,6.9%,6.5%,6.3%
Return on Equity,10.3%,24.4%,17.4%,17.8%,17.2%,17.8%,22.0%,17.1%,,,4.6%,10.0%,3.8%,4.4%,4.8%,4.6%,3.8%,4.2%,3.7%,4.1%
Return on Total Capital,5.4%,14.0%,12.6%,14.0%,12.4%,14.2%,19.6%,13.2%,,,15.0%,19.4%,19.6%,19.0%,20.6%,13.6%,13.2%,12.7%,11.7%,11.1%
SG&A to Sale,19.0%,13.7%,15.7%,14.9%,15.3%,14.3%,15.6%,15.9%,,,15.3%,14.7%,19.1%,14.6%,15.3%,16.9%,18.3%,15.8%,19.4%,16.7%
Depreciation & Amortisation,"2,957","3,268","3,692","4,019","4,450","5,123","5,315","5,906",,,"1,311","1,336","1,372","1,391","1,407","1,565","1,543","1,570","1,652","1,672"
Tax Rate,14.6%,9.3%,15.9%,15.6%,15.1%,15.3%,11.6%,15.3%,,,14.9%,7.4%,13.1%,14.2%,17.2%,16.1%,13.3%,16.1%,19.8%,17.9%
Current Ratio,0.21,0.35,0.35,0.41,0.35,0.40,0.71,0.62,,,0.35,0.41,0.71,1.00,0.63,0.58,0.62,0.63,0.63,0.69
Quick Ratio,0.14,0.13,0.21,0.20,0.15,0.17,0.25,0.16,,,0.13,0.15,0.25,0.25,0.18,0.15,0.16,0.15,0.14,0.17
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.18,5.69,50.3,117.4,,,19.7,34.8,67.8,102.0,102.6,126.8,160.9,166.5,171.1,179.4
Days Sale Outstanding,63.4,35.0,53.6,42.0,32.5,30.7,41.8,38.3,,,28.9,31.3,41.8,38.3,32.4,38.3,39.2,34.2,34.2,35.7
Days Payable Outstanding,0.29,12.9,21.8,22.4,25.0,22.3,24.1,33.3,,,22.0,22.2,24.9,24.5,20.9,32.4,44.1,42.2,34.6,29.8
Cash Conversion Cycle,70.4,23.6,31.0,28.2,16.7,19.7,66.1,123.0,,,31.6,48.4,84.6,129.2,125.1,127.2,164.8,173.9,184.5,192.5
Debt to Asset Ratio,0.68,0.63,0.53,0.53,0.55,0.49,0.47,0.54,,,0.50,0.46,0.47,0.45,0.48,0.53,0.54,0.53,0.56,0.55
Debt to Equity Ratio,2.18,1.73,1.13,1.15,1.22,0.99,0.92,1.33,,,1.01,0.87,0.92,0.86,0.96,1.33,1.33,1.25,1.43,1.35
Interest Coverage Ratio,3.60,8.13,10.7,16.8,19.8,18.9,35.6,45.0,,,32.8,31.6,59.4,32.7,127.5,32.8,48.9,19.0,15.6,16.0
Cash and Short Term Investments,833.1,"2,894","1,752","2,488","2,578","2,489","2,418","3,021",,,"2,042","1,975","2,418","4,851","2,589","2,632","3,021","2,828","2,736","1,538"
"Total Receivables, Net","2,207","1,926","3,216","2,834","2,354","2,532","3,655","3,933",,,"2,457","2,685","3,655","3,380","2,996","3,710","3,933","3,507","3,511","3,696"
Total Inventory,,,,,12.5,428.5,"3,606","7,787",,,922.4,"1,829","3,606","4,646","4,092","7,119","7,787","8,063","8,358","9,151"
Total Current Assets,"3,181","5,013","5,382","5,733","5,397","5,944","10,171","15,256",,,"6,387","7,241","10,171","13,223","10,660","14,232","15,256","14,803","15,652","15,217"
"Property/Plant/Equipment, Total - Net","43,166","47,502","55,928","63,068","76,735","78,497","86,648","110,059",,,"80,807","82,809","86,648","85,605","85,895","109,518","110,059","105,353","105,051","105,593"
Total Assets,"64,059","69,636","77,539","89,035","103,045","104,527","120,574","161,708",,,"108,628","112,354","120,574","122,366","123,006","160,437","161,708","163,082","168,226","169,418"
Accounts Payable,6.21,662.8,598.4,828.4,904.1,825.2,"1,106","2,124",,,862.8,892.1,"1,106",873.1,905.7,"1,964","2,124","1,893","1,430","1,482"
Accrued Expenses,"1,666",969.8,"1,143",911.6,"1,017","1,202","1,633","2,254",,,898.7,"1,026","1,633","1,008","1,220","1,736","2,254","1,495","1,799","2,747"
Debt Due,"6,984","6,625","6,058","4,683","5,169","4,708","2,288","10,966",,,"7,935","8,403","2,288","2,248","5,648","12,098","10,966","10,254","12,215","9,774"
Total Current Liabilities,"15,355","14,492","15,458","14,126","15,530","14,882","14,354","24,613",,,"18,346","17,750","14,354","13,278","16,807","24,741","24,613","23,347","24,946","21,940"
Long Term Debt,"18,265","18,944","13,788","11,340","17,454","13,197","7,255","19,522",,,"11,890","9,829","7,255","7,172","7,088","16,826","19,522","19,652","25,452","27,161"
Total Liabilities,"43,611","43,736","40,715","47,287","56,244","51,523","56,694","87,532",,,"53,969","51,613","56,694","55,571","59,093","84,962","87,532","86,032","94,143","92,676"
Common Stock,"2,179","2,179","2,244","2,244","2,244","2,244","2,244","2,244",,,"2,244","2,244","2,244","2,244","2,244","2,244","2,244","2,244","2,244","2,244"
Additional Paid-In Capital,"2,008","2,008","8,559","8,559","8,559","8,559","8,559","8,559",,,"8,559","8,559","8,559","8,559","8,559","8,559","8,559","8,559","8,559","8,559"
Retained Earnings (Accumulated Deficit),"15,828","21,211","25,420","30,258","35,174","41,276","51,115","55,232",,,"42,810","48,791","51,115","53,768","50,421","53,077","55,232","57,919","55,234","57,985"
Shareholders' Equity,"19,963","25,351","36,178","41,021","45,937","52,037","61,801","65,726",,,"53,568","59,549","61,801","64,514","61,325","63,985","65,726","68,586","65,695","68,461"
Cash from Operating Activities,"7,756","9,863","11,025","21,766","13,785","14,376","26,599","17,139",,,"1,417","5,295","15,388","3,255","5,009","4,113","4,762","3,884","4,253","2,475"
Cash from Investing Activities,"-12,437","-6,078","-9,809","-13,854","-16,761","-5,942","-14,576","-18,450",,,"-2,510","-3,885","-6,822",-610.8,"-4,519","-11,328","-1,992","-2,914","-6,668","-2,647"
