,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.62,3.31,2.94,3.34,4.67,9.70,7.60,4.70,,,11.3,10.6,8.53,7.85,7.70,6.65,5.80,4.65,3.75,3.40
Earnings per Share,0.36,0.33,0.19,0.26,0.24,0.45,0.49,0.58,,,0.14,0.14,0.089,0.14,0.15,0.17,0.12,0.044,0.029,0.077
Revenue per Share,1.72,2.06,2.17,2.68,2.78,2.75,3.34,3.72,,,0.86,0.87,0.82,0.89,0.91,0.98,0.94,0.80,0.78,0.84
Dividend per Share,0.16,0.17,0.080,,0.10,0.18,0.21,0.24,,,0.11,0.00,0.10,,0.12,0.00,0.12,,0.040,0.00
Capital Expenditures per Share,0.62,0.41,0.12,0.45,0.30,0.37,1.52,0.46,,,0.32,0.51,0.48,0.27,0.099,0.076,0.00,0.030,0.20,0.17
Book Value per Share,1.90,2.15,2.26,2.43,2.59,3.06,3.29,3.61,,,3.19,3.21,3.29,3.39,3.46,3.49,3.61,3.65,3.53,3.56
Price to Earnings Ratio,9.06,11.5,10.6,13.7,10.9,13.5,13.7,9.55,,,17.4,16.5,13.7,15.1,14.6,11.1,9.55,7.26,8.72,12.4
Price to Book Value Ratio,1.95,1.62,0.97,1.32,0.97,3.14,1.82,1.40,,,3.35,2.67,1.82,1.99,2.01,1.52,1.40,0.99,0.85,0.93
EV to EBITDA,4.95,6.92,4.46,5.88,3.68,7.14,8.54,5.38,,,8.19,10.3,8.54,7.11,7.08,5.97,5.38,4.85,4.41,4.03
Dividend Payout Ratio,44.2%,50.8%,41.8%,,41.3%,39.1%,42.5%,41.3%,,,20.6%,0.0%,20.2%,,23.3%,0.0%,20.7%,,11.0%,0.0%
Common Shares Outstanding,240.0,256.2,260.8,260.8,260.8,300.0,300.0,300.0,,,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Total Revenue,412.5,528.6,566.6,698.2,726.1,824.6,"1,003","1,117",,,259.0,260.0,245.8,267.4,274.0,293.1,282.2,240.7,234.9,252.3
"Cost of Revenue, Total",233.5,313.6,371.4,454.4,468.6,497.1,587.6,673.6,,,150.0,147.4,153.1,158.6,167.9,172.7,174.5,166.8,159.1,172.3
Gross Profit,179.0,215.0,195.2,243.9,257.5,327.5,415.5,442.9,,,109.0,112.6,92.7,108.8,106.1,120.4,107.7,73.9,75.9,80.0
"Selling/General/Administrative Expenses, Total",83.7,101.7,127.2,150.0,157.4,161.5,186.2,192.6,,,45.9,48.8,48.1,47.2,46.7,49.3,51.1,48.6,54.9,44.9
Operating Income,95.2,113.3,68.0,93.9,100.0,166.0,229.3,250.4,,,63.1,63.7,44.6,61.6,59.4,71.1,56.7,25.4,20.9,35.1
Net Income,86.9,83.0,49.9,67.8,63.2,117.9,148.3,174.3,,,42.3,41.0,26.8,42.1,44.7,50.5,37.0,13.3,8.63,23.1
EBITDA,151.1,175.0,131.3,168.4,187.8,263.1,331.7,401.1,,,88.4,88.7,71.6,97.7,96.7,109.6,56.7,63.2,58.9,75.2
Gross Profit Margin,43.4%,40.7%,34.4%,34.9%,35.5%,39.7%,41.4%,39.7%,,,42.1%,43.3%,37.7%,40.7%,38.7%,41.1%,38.2%,30.7%,32.3%,31.7%
Operating Margin,23.1%,21.4%,12.0%,13.4%,13.8%,20.1%,22.9%,22.4%,,,24.3%,24.5%,18.1%,23.0%,21.7%,24.3%,20.1%,10.5%,8.9%,13.9%
Net Profit Margin,21.1%,15.7%,8.8%,9.7%,8.7%,14.3%,14.8%,15.6%,,,16.3%,15.8%,10.9%,15.8%,16.3%,17.2%,13.1%,5.5%,3.7%,9.1%
Return on Assets,14.0%,11.3%,5.8%,7.2%,6.4%,10.3%,10.3%,10.7%,,,11.1%,10.7%,9.4%,9.5%,9.4%,9.9%,10.6%,8.8%,6.7%,5.1%
Return on Equity,19.1%,15.1%,8.5%,10.7%,9.3%,12.8%,15.0%,16.1%,,,4.4%,4.3%,2.7%,4.1%,4.3%,4.8%,3.4%,1.2%,0.8%,2.2%
Return on Total Capital,17.8%,14.6%,8.4%,10.5%,9.1%,12.8%,13.5%,14.6%,,,15.6%,15.7%,13.5%,12.9%,13.0%,13.9%,14.6%,12.3%,9.6%,7.2%
SG&A to Sale,20.3%,19.2%,22.4%,21.5%,21.7%,19.6%,18.6%,17.2%,,,17.7%,18.8%,19.6%,17.7%,17.0%,16.8%,18.1%,20.2%,23.4%,17.8%
Depreciation & Amortisation,55.9,61.7,63.3,74.5,87.7,97.1,102.3,150.7,,,25.3,25.0,27.0,36.1,37.4,38.5,,37.8,37.9,40.1
Tax Rate,6.5%,9.4%,8.4%,8.0%,9.6%,10.9%,17.4%,10.8%,,,16.1%,15.3%,23.9%,10.3%,11.9%,7.9%,14.0%,15.2%,30.7%,15.1%
Current Ratio,1.55,1.88,1.74,1.87,2.12,2.87,1.75,2.47,,,2.14,1.48,1.75,2.25,2.25,2.28,2.47,2.52,2.08,2.25
Quick Ratio,0.60,0.76,0.71,0.83,0.83,0.99,0.77,0.96,,,0.97,0.69,0.77,0.99,0.99,0.96,0.96,0.90,0.69,0.78
Days Inventory Outstanding,87.2,112.3,130.7,117.9,119.9,123.6,120.9,125.8,,,127.0,128.3,129.9,129.5,130.7,130.9,133.8,134.0,134.9,137.8
Days Sale Outstanding,86.3,83.1,109.3,98.8,94.3,102.6,100.2,96.1,,,111.8,107.2,100.2,103.0,108.6,102.8,96.1,89.3,79.9,88.4
Days Payable Outstanding,45.9,40.4,28.5,7.88,17.8,40.1,42.8,39.9,,,48.7,46.7,45.7,43.4,42.9,43.5,41.1,36.2,35.1,38.8
Cash Conversion Cycle,128.3,142.7,204.9,212.0,180.0,170.3,167.7,179.5,,,182.8,190.0,187.6,188.0,191.8,191.1,192.2,194.9,184.7,182.6
Debt to Asset Ratio,0.30,0.25,0.28,0.27,0.25,0.20,0.31,0.26,,,0.24,0.31,0.31,0.29,0.29,0.28,0.26,0.25,0.26,0.26
Debt to Equity Ratio,0.44,0.37,0.44,0.41,0.38,0.28,0.50,0.40,,,0.34,0.51,0.50,0.47,0.47,0.45,0.40,0.37,0.40,0.39
Interest Coverage Ratio,11.1,17.7,9.82,11.5,11.9,21.7,21.5,14.2,,,29.8,23.0,10.8,13.7,13.0,15.5,12.1,6.97,5.55,10.2
Cash and Short Term Investments,73.4,56.1,100.0,88.4,130.6,265.6,138.5,204.1,,,157.7,127.9,138.5,152.4,168.0,176.9,204.1,232.8,197.0,197.2
"Total Receivables, Net",97.5,120.4,169.7,189.0,187.6,231.9,275.3,293.8,,,291.0,291.7,275.3,291.4,311.6,304.3,293.8,266.8,230.0,244.6
Total Inventory,70.8,122.1,143.9,149.7,158.1,178.6,210.8,253.6,,,194.5,207.5,210.8,221.3,227.7,240.2,253.6,246.8,250.5,257.2
Total Current Assets,251.1,298.6,413.6,427.1,476.4,676.9,626.8,755.7,,,643.1,627.1,626.8,666.5,708.5,724.5,755.7,751.7,689.1,707.6
"Property/Plant/Equipment, Total - Net",419.7,442.9,416.0,457.7,482.9,546.1,921.6,861.9,,,702.6,888.7,921.6,905.9,904.2,877.8,861.9,853.7,892.3,867.5
Total Assets,675.0,793.9,913.2,966.2,"1,023","1,277","1,595","1,660",,,"1,397","1,565","1,595","1,618","1,657","1,644","1,660","1,645","1,622","1,614"
Accounts Payable,30.9,38.5,19.6,,45.7,63.6,74.2,73.2,,,73.5,72.8,74.2,70.6,76.7,78.6,73.2,61.9,67.4,75.7
