,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.63,2.56,5.21,5.34,4.75,4.00,3.92,4.65,,,3.89,3.90,3.90,3.89,3.89,3.98,4.36,4.75,4.87,5.06
Earnings per Share,0.090,0.098,0.12,0.12,0.074,0.12,0.083,0.12,,,0.009,0.037,0.026,0.023,0.019,0.050,0.030,0.036,0.014,0.051
Revenue per Share,1.19,1.28,1.31,1.20,1.30,1.25,1.62,1.74,,,0.38,0.44,0.42,0.42,0.40,0.47,0.46,0.45,0.44,0.51
Dividend per Share,0.046,0.058,0.062,0.065,0.050,0.042,0.050,0.070,,,,,0.050,,,,0.070,,,
Capital Expenditures per Share,0.18,0.16,0.26,0.32,0.33,0.12,0.16,0.14,,,0.016,0.042,0.075,0.042,0.039,0.024,0.034,0.053,0.047,0.067
Book Value per Share,0.87,0.91,1.04,1.11,1.23,1.74,1.78,1.87,,,1.72,1.75,1.78,1.80,1.78,1.83,1.87,1.90,1.85,1.90
Price to Earnings Ratio,12.5,24.1,30.0,44.5,70.6,33.0,45.9,33.4,,,37.7,33.0,45.9,40.1,35.4,33.2,33.5,33.9,36.9,37.6
Price to Book Value Ratio,1.26,2.37,3.62,4.73,4.28,2.21,2.15,2.26,,,2.28,2.19,2.15,1.97,2.20,2.17,2.26,2.52,2.56,2.66
EV to EBITDA,5.55,9.64,11.9,25.4,27.4,18.4,14.7,13.1,,,16.3,15.3,14.7,14.3,13.4,12.9,13.1,14.0,14.9,14.9
Dividend Payout Ratio,51.1%,58.9%,53.2%,55.0%,67.5%,35.9%,60.3%,57.3%,,,,,60.3%,,,,57.4%,,,
Common Shares Outstanding,"1,222","1,227","1,300","1,560","1,560","1,963","1,963","1,999",,,"1,963","1,963","1,963","1,963","1,999","1,999","1,999","1,999","1,999","1,999"
Total Revenue,"1,457","1,572","1,706","1,879","2,025","2,461","3,180","3,474",,,742.9,866.3,819.6,815.1,807.2,941.9,909.7,890.8,870.9,"1,018"
"Cost of Revenue, Total",990.8,"1,078","1,155","1,321","1,435","1,763","2,302","2,474",,,556.3,597.8,596.5,592.7,589.0,639.1,652.9,623.6,638.0,698.2
Gross Profit,465.9,494.4,550.9,557.3,590.1,697.7,877.8,"1,000",,,186.6,268.5,223.1,222.5,218.2,302.8,256.8,267.2,232.9,319.9
"Selling/General/Administrative Expenses, Total",294.9,315.8,341.2,348.8,414.9,463.0,599.6,638.7,,,146.9,151.0,147.0,152.6,154.2,164.0,168.0,164.2,182.6,176.7
Operating Income,174.1,178.6,209.8,208.5,175.2,234.7,278.1,361.6,,,39.8,117.5,76.0,69.9,64.0,138.8,88.9,103.0,50.4,143.2
Net Income,110.4,119.8,148.7,158.1,115.5,189.7,162.7,242.4,,,17.6,72.8,50.5,44.9,38.3,100.1,59.1,72.3,27.5,102.8
EBITDA,271.3,290.9,333.6,338.8,330.4,467.5,581.3,681.7,,,114.2,194.6,153.0,147.4,141.5,220.0,172.8,183.3,133.2,228.8
Gross Profit Margin,32.0%,31.4%,32.3%,29.7%,29.1%,28.3%,27.6%,28.8%,,,25.1%,31.0%,27.2%,27.3%,27.0%,32.1%,28.2%,30.0%,26.7%,31.4%
Operating Margin,12.0%,11.4%,12.3%,11.1%,8.7%,9.5%,8.7%,10.4%,,,5.4%,13.6%,9.3%,8.6%,7.9%,14.7%,9.8%,11.6%,5.8%,14.1%
Net Profit Margin,7.6%,7.6%,8.7%,8.4%,5.7%,7.7%,5.1%,7.0%,,,2.4%,8.4%,6.2%,5.5%,4.7%,10.6%,6.5%,8.1%,3.2%,10.1%
Return on Assets,7.2%,7.1%,7.8%,6.6%,3.7%,4.3%,3.1%,4.5%,,,3.5%,4.0%,3.1%,3.5%,3.8%,4.3%,4.4%,4.8%,4.6%,4.5%
Return on Equity,10.4%,10.8%,11.0%,9.2%,6.0%,5.6%,4.7%,6.5%,,,0.5%,2.1%,1.4%,1.3%,1.1%,2.7%,1.6%,1.9%,0.7%,2.7%
Return on Total Capital,8.9%,9.2%,9.5%,7.3%,4.4%,4.4%,3.7%,5.3%,,,4.5%,4.8%,3.7%,4.3%,4.7%,5.2%,5.3%,5.8%,5.7%,5.6%
SG&A to Sale,20.2%,20.1%,20.0%,18.6%,20.5%,18.8%,18.9%,18.4%,,,19.8%,17.4%,17.9%,18.7%,19.1%,17.4%,18.5%,18.4%,21.0%,17.4%
Depreciation & Amortisation,97.1,112.3,123.8,130.4,155.2,232.7,303.1,320.1,,,74.4,77.1,77.0,77.5,77.5,81.2,84.0,80.3,82.8,85.6
