,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.26,6.60,6.03,6.48,10.4,11.3,14.1,10.7,,,12.3,11.9,10.9,14.9,13.5,12.3,11.0,11.0,10.8,10.0
Earnings per Share,0.037,0.26,0.19,-0.024,0.24,0.14,0.32,0.34,,,-0.11,-0.065,0.34,0.27,0.001,-0.072,0.14,0.001,-0.026,0.086
Revenue per Share,4.24,5.69,6.29,6.01,6.26,6.36,6.15,6.03,,,1.27,1.44,1.69,1.77,1.27,1.30,1.49,1.65,1.24,1.21
Dividend per Share,0.050,0.10,0.10,0.10,0.12,0.10,0.16,0.17,,,,,0.16,,,,0.17,,,
Capital Expenditures per Share,2.40,0.92,0.65,0.61,0.80,0.41,0.82,0.62,,,0.11,0.18,0.41,0.14,0.100,0.16,0.22,0.25,0.47,0.35
Book Value per Share,4.59,5.18,5.36,5.26,5.43,5.43,5.71,5.88,,,5.33,5.35,5.71,6.01,5.84,5.83,5.88,5.85,5.62,5.76
Price to Earnings Ratio,94.6,23.2,26.9,,32.3,74.8,30.5,30.3,,,258.1,173.6,30.5,33.3,21.6,18.9,30.3,139.9,219.6,48.7
Price to Book Value Ratio,0.74,1.15,0.98,1.05,1.48,1.74,1.72,1.79,,,2.08,1.96,1.72,2.00,2.31,1.65,1.79,1.70,1.78,1.69
EV to EBITDA,10.2,6.43,4.29,4.71,4.34,6.02,7.05,11.3,,,8.74,8.83,7.05,7.94,9.24,9.41,11.3,13.9,18.6,20.3
Dividend Payout Ratio,136.2%,38.0%,51.6%,-409.5%,50.9%,74.1%,50.0%,49.6%,,,,,50.0%,,,,49.6%,,,
Common Shares Outstanding,845.3,845.3,845.3,845.3,845.3,845.3,845.3,845.3,,,845.3,845.3,845.3,845.3,845.3,845.3,845.3,845.3,845.3,845.3
Total Revenue,"3,581","4,810","5,320","5,077","5,292","5,374","5,195","5,098",,,"1,073","1,218","1,432","1,499","1,071","1,098","1,260","1,396","1,051","1,026"
"Cost of Revenue, Total","2,358","2,905","2,967","2,903","2,902","2,915","2,801","2,746",,,618.2,644.5,754.0,767.7,606.9,640.5,730.7,707.9,573.1,568.6
Gross Profit,"1,222","1,905","2,353","2,174","2,390","2,458","2,394","2,352",,,455.0,573.6,678.0,731.7,464.6,457.5,529.5,687.8,477.5,457.6
"Selling/General/Administrative Expenses, Total","1,109","1,386","1,568","1,505","1,437","1,591","1,669","1,789",,,402.9,404.8,468.6,466.2,374.1,396.4,553.1,481.1,547.0,522.4
Operating Income,-275.6,-6.31,179.3,7.15,264.3,162.7,95.9,63.7,,,-104.4,11.3,57.4,130.7,-33.7,-60.1,-142.6,92.1,-186.1,-179.8
Net Income,31.0,222.6,163.7,-20.6,199.2,114.1,267.0,289.8,,,-92.3,-54.7,290.2,229.6,1.13,-60.4,119.5,0.83,-22.4,72.9
EBITDA,107.7,511.9,774.8,654.2,938.1,851.5,712.4,548.3,,,49.2,165.9,206.4,262.6,87.1,58.0,-28.7,197.6,-82.7,-42.6
Gross Profit Margin,34.1%,39.6%,44.2%,42.8%,45.2%,45.8%,46.1%,46.1%,,,42.4%,47.1%,47.3%,48.8%,43.4%,41.7%,42.0%,49.3%,45.4%,44.6%
Operating Margin,-7.7%,-0.1%,3.4%,0.1%,5.0%,3.0%,1.8%,1.3%,,,-9.7%,0.9%,4.0%,8.7%,-3.1%,-5.5%,-11.3%,6.6%,-17.7%,-17.5%
Net Profit Margin,0.9%,4.6%,3.1%,-0.4%,3.8%,2.1%,5.1%,5.7%,,,-8.6%,-4.5%,20.3%,15.3%,0.1%,-5.5%,9.5%,0.1%,-2.1%,7.1%
Return on Assets,0.4%,2.6%,1.8%,-0.2%,2.2%,1.2%,2.8%,2.7%,,,0.4%,0.5%,2.7%,3.7%,4.6%,4.3%,2.5%,0.5%,0.3%,1.3%
Return on Equity,0.8%,5.1%,3.6%,-0.5%,4.3%,2.5%,5.5%,5.8%,,,-2.0%,-1.2%,6.0%,4.5%,0.0%,-1.2%,2.4%,0.0%,-0.5%,1.5%
Return on Total Capital,0.6%,4.0%,2.9%,-0.4%,3.5%,2.0%,4.6%,4.4%,,,0.6%,0.9%,4.6%,6.4%,8.2%,7.1%,4.4%,0.9%,0.6%,2.7%
