,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,12.1,17.2,14.3,16.3,15.2,14.2,12.2,11.7,,,14.4,13.9,13.7,12.1,11.5,11.8,12.4,12.5,11.5,10.7
Earnings per Share,1.07,1.44,1.18,0.75,1.96,0.89,0.96,1.23,,,0.30,0.24,0.094,0.043,0.42,0.36,0.41,0.11,0.22,0.20
Revenue per Share,8.37,7.93,6.17,6.13,6.44,6.68,8.53,7.82,,,1.79,2.08,1.73,1.44,2.24,2.19,1.95,1.49,1.57,1.58
Dividend per Share,0.68,0.91,0.91,0.73,0.91,0.091,0.80,0.90,,,,,0.80,,,,0.90,,,
Capital Expenditures per Share,0.14,0.031,0.041,0.066,0.11,0.18,0.17,0.25,,,0.015,0.051,0.077,0.002,0.002,0.14,0.11,0.096,0.003,0.022
Book Value per Share,11.8,12.8,13.0,12.9,14.0,14.0,15.1,15.2,,,14.6,15.0,15.1,15.1,14.7,15.1,15.2,15.4,14.7,14.7
Price to Earnings Ratio,9.23,9.90,12.5,16.3,7.39,15.0,13.7,9.83,,,15.6,13.8,13.7,16.6,14.2,12.5,9.83,8.91,9.96,10.8
Price to Book Value Ratio,0.84,1.40,1.11,0.97,1.03,0.98,0.90,0.83,,,0.91,0.89,0.90,0.66,0.80,0.72,0.83,0.75,0.74,0.69
EV to EBITDA,2.35,3.80,4.73,5.15,6.68,3.96,3.77,2.83,,,4.86,4.01,3.77,4.38,3.27,4.21,2.83,2.48,3.14,2.28
Dividend Payout Ratio,63.5%,63.0%,77.1%,96.9%,46.5%,10.2%,83.2%,73.1%,,,,,83.2%,,,,73.1%,,,
Common Shares Outstanding,66.0,66.0,66.0,59.6,59.6,60.5,60.5,60.5,,,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5
Total Revenue,552.4,523.4,406.9,365.3,383.9,403.6,515.4,472.8,,,108.2,125.9,104.8,87.3,135.2,132.3,117.9,90.3,94.8,95.7
"Cost of Revenue, Total",283.1,242.4,179.3,177.8,179.9,194.4,280.5,203.9,,,47.7,66.4,54.1,41.7,62.8,62.7,36.7,42.5,36.1,36.7
Gross Profit,269.3,280.9,227.7,187.5,204.1,209.2,234.9,268.9,,,60.5,59.4,50.6,45.6,72.5,69.7,81.2,47.8,58.6,59.0
"Selling/General/Administrative Expenses, Total",165.7,158.0,130.6,131.2,149.8,142.8,164.0,176.2,,,39.4,43.0,41.6,39.5,41.3,44.3,51.1,40.2,41.9,45.0
Operating Income,103.6,123.0,97.1,56.4,54.3,66.4,71.0,92.6,,,21.0,16.4,9.09,6.03,31.2,25.3,30.1,7.62,16.7,14.0
