,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,7.42,9.94,12.4,11.7,7.80,5.23,,,11.6,10.2,8.95,7.70,7.15,6.93,6.38,6.25,5.56,4.44
Earnings per Share,0.39,0.45,0.32,0.37,0.33,0.14,0.65,0.33,,,0.33,-0.10,-0.071,0.20,0.16,-0.11,0.091,0.082,-0.052,-0.13
Revenue per Share,4.21,4.79,4.90,4.83,5.20,5.64,7.07,6.84,,,2.42,1.21,0.78,1.61,2.65,1.02,1.55,1.28,1.40,2.22
Dividend per Share,0.00,0.25,0.00,0.17,0.18,0.019,0.45,0.15,,,0.15,0.00,0.30,,,,0.15,,,
Capital Expenditures per Share,0.67,0.61,0.89,1.67,1.69,0.83,0.50,1.13,,,0.13,0.10,0.16,0.074,0.25,0.25,0.55,0.18,0.34,0.13
Book Value per Share,-0.018,0.54,0.78,2.45,2.62,2.58,3.04,3.08,,,3.37,3.12,3.04,3.24,3.10,2.99,3.08,3.16,2.96,2.83
Price to Earnings Ratio,,,,19.7,30.4,90.4,12.8,19.1,,,14.6,18.8,12.9,22.4,36.9,38.3,19.2,28.4,549.8,
Price to Book Value Ratio,,,,2.77,4.23,5.08,2.81,2.00,,,3.14,3.03,2.81,2.10,2.11,1.91,2.00,1.95,1.62,1.39
EV to EBITDA,,,0.00,17.6,22.8,30.2,12.0,18.0,,,12.3,14.3,12.0,18.2,21.0,20.5,18.0,24.1,32.6,27.2
Dividend Payout Ratio,0.0%,54.6%,0.0%,45.3%,54.7%,13.3%,69.6%,44.8%,,,20.0%,0.0%,46.5%,,,,45.0%,,,
Common Shares Outstanding,812.1,812.1,812.1,812.1,812.1,812.1,812.1,812.1,,,812.1,812.1,812.1,812.1,812.1,812.1,812.1,812.1,812.1,812.1
Total Revenue,"3,417","3,888","3,979","3,920","4,227","4,579","5,740","5,556",,,"1,963",980.6,637.1,"1,309","2,155",831.3,"1,261","1,041","1,138","1,803"
"Cost of Revenue, Total","2,620","3,050","3,213","3,090","3,322","3,819","4,428","4,509",,,"1,486",926.7,531.4,852.8,"1,763",753.4,"1,139",714.2,918.3,"1,720"
Gross Profit,797.7,837.6,765.8,830.6,905.0,760.6,"1,312","1,047",,,477.0,53.9,105.7,455.9,392.1,77.9,121.2,326.9,220.2,82.9
"Selling/General/Administrative Expenses, Total",325.4,356.9,404.1,460.9,522.7,547.6,604.7,709.9,,,135.6,118.2,158.0,216.5,218.9,133.5,141.1,195.3,185.4,176.9
Operating Income,529.4,480.8,361.7,369.8,382.3,213.0,707.5,337.2,,,341.5,-64.3,-52.3,239.4,173.3,-55.6,-19.9,131.6,34.8,-94.0
Net Income,317.9,340.8,205.3,236.0,272.0,113.1,524.7,271.6,,,265.8,-81.6,-56.7,161.8,126.0,-90.6,74.3,67.0,-42.4,-104.3
EBITDA,682.0,509.9,427.1,462.9,541.7,429.0,964.3,624.6,,,404.8,3.33,13.0,308.7,244.8,17.7,53.4,210.5,118.3,-5.35
Gross Profit Margin,23.3%,21.5%,19.2%,21.2%,21.4%,16.6%,22.9%,18.8%,,,24.3%,5.5%,16.6%,34.8%,18.2%,9.4%,9.6%,31.4%,19.3%,4.6%
