,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.92,5.06,5.43,5.90,6.40,6.58,6.70,6.35,,,6.57,6.60,6.70,6.73,6.70,6.68,6.50,6.35,6.30,6.23
Earnings per Share,0.10,0.12,0.017,0.042,0.22,0.27,0.100,0.031,,,0.016,0.046,0.007,0.055,0.017,0.017,-0.057,0.011,-0.046,-0.088
Revenue per Share,2.07,2.36,1.80,2.52,5.55,4.81,5.14,4.12,,,1.14,1.43,1.40,1.08,1.01,1.06,0.96,0.88,0.85,0.75
Dividend per Share,0.030,0.040,0.030,,0.040,0.050,0.040,,,,,,0.040,,,,,,,
Capital Expenditures per Share,0.037,0.11,0.16,0.20,0.057,0.059,0.027,0.030,,,0.002,0.002,0.005,0.015,0.011,0.005,0.000,0.005,0.007,0.000
Book Value per Share,3.20,3.31,2.92,2.93,3.15,3.38,3.41,3.40,,,3.38,3.42,3.41,3.46,3.44,3.46,3.40,3.41,3.37,3.28
Price to Earnings Ratio,34.9,35.1,305.4,128.2,28.3,24.2,67.2,203.7,,,45.8,60.3,67.2,53.8,53.1,69.7,203.7,,,
Price to Book Value Ratio,1.08,1.32,1.80,1.86,2.05,1.92,1.97,1.85,,,1.92,1.93,1.97,1.93,1.95,1.92,1.85,1.86,1.86,1.88
EV to EBITDA,32.0,38.4,95.8,78.3,25.8,18.1,28.7,34.2,,,25.7,28.4,28.7,27.5,25.7,25.2,34.2,36.9,52.7,127.4
Dividend Payout Ratio,29.9%,32.3%,177.9%,,18.1%,18.6%,40.1%,,,,,,40.1%,,,,,,,
Common Shares Outstanding,758.0,758.0,980.0,980.0,980.0,980.0,980.0,980.0,,,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
Total Revenue,"1,570","1,790","1,763","2,471","5,435","4,711","5,040","4,036",,,"1,116","1,404","1,373","1,062",994.6,"1,042",937.6,867.0,833.4,736.9
"Cost of Revenue, Total",967.1,"1,123","1,099","1,647","4,024","3,240","3,511","2,634",,,760.9,"1,006",964.3,679.5,655.7,675.3,623.6,517.9,552.6,519.6
Gross Profit,602.4,666.8,663.5,823.5,"1,411","1,472","1,530","1,402",,,354.6,397.6,408.3,382.7,338.9,366.4,314.0,349.1,280.8,217.3
"Selling/General/Administrative Expenses, Total",477.5,529.9,592.1,710.3,965.7,859.8,"1,112","1,109",,,256.5,277.9,296.8,257.2,257.5,278.9,313.2,257.7,287.1,250.8
Operating Income,124.9,137.0,71.4,113.2,445.3,612.0,418.3,292.8,,,98.1,119.7,111.5,125.5,81.4,87.5,0.83,91.3,-6.34,-33.5
Net Income,76.0,93.7,13.8,41.3,216.7,263.3,97.7,30.8,,,15.9,45.4,7.34,53.4,16.5,17.0,-56.1,11.2,-45.3,-86.3
EBITDA,161.9,168.7,100.9,150.6,482.8,651.4,472.9,345.0,,,115.1,136.5,118.1,141.2,98.0,104.0,4.25,104.8,7.88,-20.1
Gross Profit Margin,38.4%,37.3%,37.6%,33.3%,26.0%,31.2%,30.4%,34.7%,,,31.8%,28.3%,29.7%,36.0%,34.1%,35.2%,33.5%,40.3%,33.7%,29.5%
Operating Margin,8.0%,7.7%,4.1%,4.6%,8.2%,13.0%,8.3%,7.3%,,,8.8%,8.5%,8.1%,11.8%,8.2%,8.4%,0.1%,10.5%,-0.8%,-4.5%
Net Profit Margin,4.8%,5.2%,0.8%,1.7%,4.0%,5.6%,1.9%,0.8%,,,1.4%,3.2%,0.5%,5.0%,1.7%,1.6%,-6.0%,1.3%,-5.4%,-11.7%
Return on Assets,1.4%,1.5%,0.2%,0.4%,1.7%,2.0%,0.7%,0.2%,,,1.0%,0.8%,0.7%,0.9%,0.9%,0.7%,0.2%,-0.1%,-0.5%,-1.2%
Return on Equity,3.1%,3.7%,0.5%,1.4%,7.0%,7.9%,2.9%,0.9%,,,0.5%,1.4%,0.2%,1.6%,0.5%,0.5%,-1.7%,0.3%,-1.4%,-2.7%
Return on Total Capital,1.7%,1.9%,0.2%,0.6%,2.7%,3.5%,0.9%,0.4%,,,1.4%,1.0%,0.9%,1.1%,1.3%,1.1%,0.4%,-0.1%,-0.8%,-2.0%
SG&A to Sale,30.4%,29.6%,33.6%,28.7%,17.8%,18.2%,22.1%,27.5%,,,23.0%,19.8%,21.6%,24.2%,25.9%,26.8%,33.4%,29.7%,34.4%,34.0%
Depreciation & Amortisation,37.0,31.7,29.4,37.3,37.4,39.4,54.6,52.3,,,17.0,16.8,6.64,15.7,16.6,16.5,3.42,13.5,14.2,13.4
Tax Rate,34.1%,21.8%,45.2%,27.3%,20.2%,22.8%,31.5%,53.5%,,,36.2%,24.6%,42.4%,26.2%,32.0%,41.0%,5.3%,36.8%,23.7%,18.4%
Current Ratio,4.17,3.35,3.30,2.31,2.44,2.07,3.93,2.21,,,3.12,4.22,3.93,4.43,2.97,2.27,2.21,2.04,2.06,2.15
Quick Ratio,0.013,0.010,0.023,0.010,0.011,0.011,0.034,0.011,,,0.017,0.020,0.034,0.035,0.028,0.011,0.011,0.009,0.055,0.070
Days Inventory Outstanding,"1,886","1,736","2,110","1,858",942.0,"1,259","1,151","1,540",,,"1,292","1,225","1,146","1,198","1,294","1,468","1,639","1,692","1,784","1,928"
Days Sale Outstanding,3.46,3.01,5.89,4.19,2.35,3.04,6.83,5.10,,,5.41,4.37,6.83,7.10,9.07,5.22,5.10,5.36,34.2,43.6
Days Payable Outstanding,44.7,21.8,19.6,6.09,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,"1,862","1,718","2,096","1,863",944.2,"1,261","1,156","1,547",,,"1,297","1,230","1,152","1,205","1,302","1,476","1,645","1,698","1,804","1,970"
Debt to Asset Ratio,0.58,0.64,0.68,0.76,0.76,0.75,0.75,0.77,,,0.76,0.75,0.75,0.75,0.76,0.76,0.77,0.77,0.78,0.78
Debt to Equity Ratio,1.36,1.74,2.14,3.16,3.16,3.08,3.04,3.29,,,3.17,3.01,3.04,3.01,3.09,3.16,3.29,3.30,3.64,3.64
Interest Coverage Ratio,2.92,2.20,0.78,0.79,2.71,2.61,1.71,1.32,,,1.29,2.00,2.15,2.35,1.40,1.48,0.015,1.24,,
Cash and Short Term Investments,88.9,228.7,135.6,236.5,322.7,345.7,298.1,91.1,,,392.4,304.0,298.1,211.3,198.4,125.4,91.1,82.5,638.0,56.6
"Total Receivables, Net",14.9,14.8,28.5,28.4,35.1,39.3,94.3,56.4,,,68.0,56.8,94.3,96.4,120.0,64.0,56.4,56.4,345.0,403.2
Total Inventory,"4,908","5,774","6,932","9,842","10,931","11,410","10,735","11,499",,,"11,565","11,314","10,735","11,662","11,769","12,162","11,499","11,431","11,728","11,664"
Total Current Assets,"5,177","6,083","7,873","10,466","11,415","12,093","11,485","12,100",,,"12,383","12,088","11,485","12,394","12,564","12,856","12,100","12,115","12,989","12,422"
"Property/Plant/Equipment, Total - Net",157.6,214.1,377.2,562.0,411.2,399.9,274.2,341.8,,,379.0,363.7,274.2,279.0,275.2,267.0,341.8,329.0,331.0,316.8
Total Assets,"5,731","6,880","8,988","11,957","12,861","13,516","13,510","14,297",,,"13,820","13,457","13,510","13,625","13,773","14,083","14,297","14,370","15,321","14,890"
Accounts Payable,71.1,62.9,54.9,,,,,,,,,,,,,,,,,
Accrued Expenses,78.0,94.9,66.2,34.6,35.7,39.4,47.3,55.5,,,,,47.3,,,,55.5,,,
Debt Due,950.7,"1,539","2,001","3,853","3,972","5,179","2,118","4,214",,,"3,328","2,157","2,118","1,884","3,151","4,583","4,214","4,399","4,594","3,938"
Total Current Liabilities,"1,242","1,817","2,386","4,528","4,676","5,828","2,919","5,483",,,"3,974","2,865","2,919","2,797","4,233","5,660","5,483","5,950","6,304","5,776"
Long Term Debt,"1,977","2,481","3,676","4,478","4,973","4,244","7,000","5,238",,,"6,413","7,128","7,000","7,249","5,981","4,866","5,238","4,925","5,549","5,732"
Total Liabilities,"3,307","4,371","6,129","9,083","9,771","10,201","10,169","10,965",,,"10,510","10,101","10,169","10,231","10,401","10,694","10,965","11,026","12,023","11,678"
Common Stock,758.0,758.0,980.0,980.0,980.0,980.0,980.0,980.0,,,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
