,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,1.00,0.31,0.19,,,0.49,0.47,0.37,0.27,0.22,0.22,0.21,0.20,0.18,0.17
Earnings per Share,-0.15,-0.068,-0.049,-0.004,0.028,0.021,-0.038,-0.083,,,-0.013,-0.008,-0.018,-0.011,-0.023,-0.017,-0.028,-0.021,-0.019,-0.030
Revenue per Share,0.001,0.000,0.000,0.40,0.31,0.27,0.11,0.052,,,0.015,0.045,0.016,0.038,0.006,0.007,0.008,0.013,0.006,0.000
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.005,0.004,0.001,0.001,0.000,0.000,0.002,0.001,,,0.000,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.000
Book Value per Share,0.12,0.13,0.080,0.055,0.16,0.27,0.24,0.15,,,0.26,0.25,0.24,0.22,0.20,0.18,0.15,0.13,0.11,0.081
Price to Earnings Ratio,,,,,,30.4,,,,,,,,,,,,,,
Price to Book Value Ratio,,,,,,2.37,1.36,1.33,,,1.78,1.44,1.36,0.80,1.11,1.12,1.33,1.47,1.54,1.98
EV to EBITDA,0.00,0.00,0.00,0.00,0.00,0.00,-41.7,-17.9,,,89.3,-206.9,-41.7,-30.2,-27.8,-20.4,-17.9,-10.0,-15.6,-14.3
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,"1,072","2,144","2,144","2,144","2,500","3,000","3,000","4,000",,,"3,000","3,000","3,000","3,000","4,000","4,000","4,000","4,000","4,000","4,000"
Total Revenue,1.18,0.42,0.36,866.0,778.9,798.6,337.0,206.1,,,46.1,133.6,46.7,112.6,25.0,26.3,30.4,51.2,25.5,1.08
"Cost of Revenue, Total",,,,713.8,528.9,569.1,224.4,149.8,,,37.4,89.4,29.9,71.4,19.6,19.8,27.5,30.3,22.6,2.00
Gross Profit,1.18,0.42,0.36,152.1,249.9,229.5,112.6,56.3,,,8.74,44.1,16.8,41.2,5.32,6.50,2.90,20.9,2.87,-0.91
"Selling/General/Administrative Expenses, Total",84.9,91.1,72.8,101.3,142.3,141.2,163.6,194.8,,,36.2,46.3,46.0,44.6,52.4,37.3,59.8,43.8,36.8,36.3
Operating Income,-83.7,-90.3,-72.5,50.9,107.7,88.3,-51.0,-138.5,,,-27.4,-2.16,-29.2,-3.42,-47.1,-30.8,-56.9,-22.9,-33.9,-37.3
Net Income,-159.5,-117.9,-105.1,-8.91,65.6,61.9,-113.2,-302.9,,,-39.2,-23.3,-52.7,-33.5,-81.6,-75.0,-112.8,-83.5,-75.4,-119.0
EBITDA,-70.5,-76.5,-65.0,57.3,110.7,91.1,-47.9,-129.4,,,-26.7,-1.38,-28.4,-2.38,-45.9,-29.6,-51.2,-20.9,-31.9,-35.2
Gross Profit Margin,100.0%,100.0%,100.0%,17.6%,32.1%,28.7%,33.4%,27.3%,,,18.9%,33.1%,35.9%,36.6%,21.3%,24.7%,9.5%,40.8%,11.3%,-84.7%
Operating Margin,-7100.5%,-21527.3%,-20240.1%,5.9%,13.8%,11.1%,-15.2%,-67.2%,,,-59.4%,-1.6%,-62.5%,-3.0%,-188.6%,-117.2%,-187.1%,-44.7%,-133.1%,-3447.1%
Net Profit Margin,-13533.2%,-28099.3%,-29351.3%,-1.0%,8.4%,7.7%,-33.6%,-147.0%,,,-85.0%,-17.4%,-112.8%,-29.8%,-326.8%,-285.7%,-370.9%,-163.0%,-295.4%,-11009.9%
Return on Assets,-15.3%,-9.9%,-6.5%,-0.5%,3.7%,3.4%,-6.1%,-12.3%,,,-0.8%,-3.3%,-5.5%,-7.2%,-7.7%,-8.6%,-10.6%,-12.0%,-10.5%,-10.5%
Return on Equity,-119.6%,-42.7%,-61.4%,-7.5%,16.5%,7.6%,-16.1%,-50.4%,,,-5.0%,-3.1%,-7.5%,-5.0%,-10.3%,-10.5%,-18.8%,-16.2%,-17.1%,-36.9%
Return on Total Capital,-60.1%,-28.1%,-19.4%,-4.1%,8.3%,7.2%,-7.6%,-20.4%,,,-1.6%,-3.9%,-7.6%,-9.8%,-11.3%,-15.0%,-20.4%,-59.8%,-71.0%,-115.1%
SG&A to Sale,7200.5%,21702.1%,20340.1%,11.7%,18.3%,17.7%,48.6%,94.5%,,,78.4%,34.7%,98.5%,39.6%,209.9%,141.9%,196.7%,85.5%,144.3%,3362.5%
Depreciation & Amortisation,13.2,13.9,7.47,6.45,2.99,2.83,3.14,9.07,,,0.75,0.78,0.88,1.03,1.13,1.18,5.73,1.97,2.05,2.04
Tax Rate,0.0%,-2.0%,-0.7%,-148.8%,20.7%,27.3%,-38.6%,-4.2%,,,-52.9%,-81.2%,-12.4%,-40.7%,-2.8%,3.0%,-2.3%,-6.1%,-2.9%,-0.8%
Current Ratio,1.23,1.27,1.27,1.10,0.095,2.09,3.81,1.93,,,2.00,4.72,3.81,3.56,2.48,2.28,1.93,1.13,1.13,1.07
Quick Ratio,0.011,0.013,0.010,0.002,0.016,0.024,0.029,0.002,,,0.012,0.24,0.029,0.20,0.081,0.073,0.002,0.001,0.013,0.017
Days Inventory Outstanding,,,,717.2,433.7,418.6,"2,314","4,796",,,"1,150","1,255","2,232","2,447","3,346","6,103","6,286","9,044","10,325","14,568"
Days Sale Outstanding,"2,452","10,669","13,016",0.91,8.08,7.56,13.5,3.94,,,5.32,6.15,13.5,13.8,3.06,3.59,4.18,4.28,105.0,198.6
Days Payable Outstanding,,,,62.0,56.8,42.7,73.3,322.5,,,38.9,38.0,55.7,46.3,222.7,596.3,607.0,825.5,378.7,0.00
Cash Conversion Cycle,"4,242",,,675.1,385.9,389.6,"2,276","4,244",,,"1,120","1,225","2,190","2,420","2,953","5,515","5,678","8,268","10,379","14,732"
Debt to Asset Ratio,0.87,0.80,0.91,0.93,0.80,0.51,0.66,0.79,,,0.50,0.63,0.66,0.68,0.72,0.75,0.79,0.83,0.88,0.92
Debt to Equity Ratio,6.47,4.04,9.82,12.4,3.96,1.02,1.90,3.81,,,1.00,1.71,1.90,2.14,2.58,3.00,3.81,4.77,7.18,10.9
Interest Coverage Ratio,,,,0.93,2.44,2.00,,,,,,,,,,,,,,
Cash and Short Term Investments,32.6,12.8,7.04,55.8,51.3,85.8,82.8,13.8,,,17.7,526.1,82.8,96.2,139.5,123.3,13.8,60.6,64.2,186.9
"Total Receivables, Net",7.92,12.3,12.8,2.16,17.2,16.5,12.5,2.23,,,8.16,8.48,12.5,12.8,2.67,2.07,2.23,1.56,38.4,58.9
Total Inventory,814.7,"1,157","1,548","1,257",,"1,305","1,540","2,397",,,"1,258","1,205","1,540","1,519","2,339","2,369","2,397","2,423","3,249","3,336"
Total Current Assets,888.9,"1,225","1,642","1,484",101.6,"1,438","1,685","2,487",,,"1,312","1,766","1,685","1,645","2,518","2,534","2,487","2,562","3,392","3,628"
