,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.39,3.99,3.56,4.45,4.95,6.48,7.23,4.96,,,6.15,7.15,7.98,7.07,6.82,6.48,6.05,5.60,4.50,3.86
Earnings per Share,0.19,-0.038,0.040,-0.26,0.46,0.48,0.56,0.38,,,0.060,0.16,0.22,0.13,0.20,0.13,-0.080,0.007,0.025,-0.060
Revenue per Share,12.1,14.3,14.3,13.8,10.5,9.07,10.5,13.7,,,2.67,2.78,3.08,3.23,3.47,3.75,3.42,2.93,3.12,2.95
Dividend per Share,0.12,0.080,0.10,0.080,0.22,0.23,0.29,0.19,,,,,0.29,,0.10,0.00,0.090,,,
Capital Expenditures per Share,0.39,0.41,0.74,1.08,0.84,0.51,0.55,0.32,,,0.16,0.099,0.068,0.049,0.079,0.14,0.053,0.085,0.050,0.11
Book Value per Share,3.72,3.74,3.70,3.32,3.71,3.96,4.29,4.28,,,3.91,4.07,4.29,4.42,4.33,4.51,4.28,4.28,4.22,4.15
Price to Earnings Ratio,24.5,,84.0,,9.51,10.4,14.6,15.6,,,18.3,14.6,14.5,11.5,9.74,8.91,15.4,18.5,48.1,
Price to Book Value Ratio,1.26,1.05,0.93,1.29,1.36,1.30,1.73,1.34,,,1.61,1.73,1.73,1.31,1.57,1.27,1.34,1.17,0.87,0.89
EV to EBITDA,13.3,113.5,23.2,-17.9,9.29,7.95,9.31,9.76,,,10.4,9.26,9.31,8.24,6.85,7.48,9.76,12.1,16.9,28.2
Dividend Payout Ratio,62.0%,-210.2%,247.0%,-31.2%,47.8%,48.3%,52.1%,50.1%,,,,,51.7%,,14.0%,0.0%,23.5%,,,
Common Shares Outstanding,"20,410","20,410","20,410","20,410","20,410","20,411","20,411","20,411",,,"20,434","20,434","20,411","20,434","20,434","19,694","20,411","20,411","20,411","20,411"
Total Revenue,"246,888","292,430","292,593","281,589","214,172","185,041","214,101","280,551",,,"54,558","56,724","62,891","66,094","70,902","73,819","69,736","59,721","63,710","60,127"
"Cost of Revenue, Total","235,491","289,770","287,695","287,930","197,913","164,900","192,946","264,637",,,"50,911","50,195","56,098","61,172","64,625","69,069","69,771","58,032","62,516","59,864"
Gross Profit,"11,397","2,661","4,897","-6,341","16,258","20,140","21,155","15,914",,,"3,647","6,529","6,793","4,922","6,277","4,749",-34.7,"1,688","1,194",263.1
"Selling/General/Administrative Expenses, Total","4,664","4,904","5,494","5,444","6,172","6,072","6,897","6,973",,,"1,621","1,642","2,116","1,602","1,765","1,755","1,851","1,534","1,840","1,710"
Operating Income,"5,841","-1,749","1,668","-5,735","12,150","14,426","14,629","9,371",,,"2,144","5,003","4,730","3,398","4,608","3,088","-1,723",276.6,-260.8,"-1,362"
Net Income,"3,941",-776.7,826.3,"-5,235","9,402","9,721","11,354","7,735",,,"1,228","3,248","4,513","2,752","4,050","2,560","-1,627",152.9,506.9,"-1,321"
EBITDA,"9,254","2,536","6,361",-774.1,"17,351","20,413","21,435","17,383",,,"4,062","7,033","6,498","5,437","6,655","5,134",156.1,"2,292","1,875",810.7
Gross Profit Margin,4.6%,0.9%,1.7%,-2.3%,7.6%,10.9%,9.9%,5.7%,,,6.7%,11.5%,10.8%,7.4%,8.9%,6.4%,0.0%,2.8%,1.9%,0.4%
Operating Margin,2.4%,-0.6%,0.6%,-2.0%,5.7%,7.8%,6.8%,3.3%,,,3.9%,8.8%,7.5%,5.1%,6.5%,4.2%,-2.5%,0.5%,-0.4%,-2.3%
Net Profit Margin,1.6%,-0.3%,0.3%,-1.9%,4.4%,5.3%,5.3%,2.8%,,,2.3%,5.7%,7.2%,4.2%,5.7%,3.5%,-2.3%,0.3%,0.8%,-2.2%
Return on Assets,3.1%,-0.6%,0.5%,-3.2%,5.8%,5.8%,6.4%,4.2%,,,3.8%,4.8%,6.2%,6.4%,7.9%,7.3%,4.1%,2.8%,0.9%,-1.3%
Return on Equity,5.2%,-1.0%,1.1%,-7.7%,12.4%,12.0%,13.0%,8.9%,,,1.5%,3.9%,5.2%,3.0%,4.6%,2.9%,-1.9%,0.2%,0.6%,-1.6%
Return on Total Capital,3.8%,-0.6%,0.7%,-4.6%,7.5%,8.3%,8.6%,5.9%,,,5.1%,6.7%,8.6%,8.7%,11.4%,10.4%,5.9%,3.9%,1.3%,-1.8%
SG&A to Sale,1.9%,1.7%,1.9%,1.9%,2.9%,3.3%,3.2%,2.5%,,,3.0%,2.9%,3.4%,2.4%,2.5%,2.4%,2.7%,2.6%,2.9%,2.8%
Depreciation & Amortisation,"3,412","4,285","4,692","4,961","5,201","5,987","6,806","8,011",,,"1,919","2,029","1,768","2,039","2,047","2,046","1,879","2,016","2,136","2,173"
Tax Rate,2.1%,13.4%,0.8%,31.5%,19.9%,2.8%,16.1%,12.9%,,,13.4%,20.7%,14.0%,12.4%,16.4%,13.3%,21.2%,-5.7%,1.0%,20.1%
Current Ratio,2.01,2.46,1.29,0.94,0.99,0.76,0.96,0.95,,,0.89,0.85,0.96,1.02,0.90,1.00,0.95,0.96,0.91,1.01
Quick Ratio,0.43,0.73,0.47,0.33,0.28,0.21,0.29,0.31,,,0.28,0.28,0.29,0.32,0.30,0.34,0.31,0.28,0.27,0.32
