,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,8.38,6.94,3.43,1.70,,,5.64,5.90,4.75,3.73,3.19,2.34,2.04,2.11,2.00,1.43
Earnings per Share,,0.00,0.010,0.050,0.15,0.20,0.086,0.029,,,0.021,0.017,0.025,0.016,0.004,0.002,0.008,-0.002,0.006,0.002
Revenue per Share,,0.003,0.61,0.75,1.10,1.06,1.10,1.11,,,0.26,0.27,0.31,0.27,0.27,0.25,0.31,0.25,0.28,0.23
Dividend per Share,,0.00,0.00,0.00,0.22,0.060,0.036,0.013,,,,,0.036,,,,0.013,,,
Capital Expenditures per Share,,0.00,0.020,0.086,0.15,0.16,0.28,0.15,,,0.020,0.015,0.087,0.022,0.024,0.039,0.065,0.025,0.025,0.004
Book Value per Share,,0.014,0.35,0.40,0.55,1.47,1.49,1.48,,,1.45,1.47,1.49,1.51,1.47,1.48,1.48,1.48,1.47,1.48
Price to Earnings Ratio,,,,,,37.5,48.3,54.8,,,33.3,48.5,48.3,41.9,46.1,37.3,54.8,132.6,130.8,81.8
Price to Book Value Ratio,,,,,,5.29,2.64,1.40,,,3.55,3.61,2.64,1.66,1.93,0.96,1.40,1.32,1.09,0.72
EV to EBITDA,,,,0.00,0.00,41.5,28.6,11.3,,,24.5,35.1,28.6,22.9,19.6,18.3,11.3,22.0,21.3,13.4
Dividend Payout Ratio,,,0.0%,0.0%,152.1%,30.6%,41.8%,44.5%,,,,,41.8%,,,,44.5%,,,
Common Shares Outstanding,,"1,000","1,000","1,000","1,000","1,000","1,000","1,000",,,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
Total Revenue,,3.00,610.4,746.7,"1,102","1,063","1,101","1,105",,,263.3,265.3,306.1,274.9,274.6,245.6,310.0,248.5,284.5,233.3
"Cost of Revenue, Total",,1.94,433.8,441.3,587.7,581.4,585.4,624.9,,,133.0,140.1,165.7,151.9,154.2,134.4,184.4,139.9,152.5,119.3
Gross Profit,,1.06,176.7,305.4,514.5,481.6,515.8,480.2,,,130.2,125.3,140.4,123.0,120.4,111.2,125.6,108.6,132.0,114.0
"Selling/General/Administrative Expenses, Total",,,164.0,237.6,347.8,330.9,408.6,447.4,,,104.0,103.6,109.3,105.3,115.0,109.3,117.7,111.3,124.7,111.1
Operating Income,,1.06,12.7,67.7,185.6,186.3,107.2,32.8,,,26.3,21.7,31.1,17.7,5.34,1.89,7.88,-2.70,7.28,2.96
Net Income,,0.81,9.97,49.8,146.4,146.4,86.2,29.2,,,20.9,17.4,25.3,15.8,4.07,1.80,7.58,-1.75,5.98,2.49
EBITDA,,1.06,27.2,84.2,212.7,228.3,161.7,99.1,,,40.2,35.8,44.2,33.6,21.7,19.3,25.9,16.3,26.4,22.3
Gross Profit Margin,,35.2%,28.9%,40.9%,46.7%,45.3%,46.8%,43.5%,,,49.5%,47.2%,45.9%,44.7%,43.8%,45.3%,40.5%,43.7%,46.4%,48.9%
Operating Margin,,35.2%,2.1%,9.1%,16.8%,17.5%,9.7%,3.0%,,,10.0%,8.2%,10.1%,6.4%,1.9%,0.8%,2.5%,-1.1%,2.6%,1.3%
Net Profit Margin,,27.1%,1.6%,6.7%,13.3%,13.8%,7.8%,2.6%,,,7.9%,6.6%,8.3%,5.7%,1.5%,0.7%,2.4%,-0.7%,2.1%,1.1%
Return on Assets,,4.3%,3.0%,6.1%,14.6%,11.2%,5.4%,1.7%,,,7.6%,6.8%,5.4%,4.8%,3.8%,2.9%,1.7%,0.7%,0.8%,0.8%
Return on Equity,,5.9%,2.8%,12.4%,26.6%,10.0%,5.8%,2.0%,,,1.4%,1.2%,1.7%,1.0%,0.3%,0.1%,0.5%,-0.1%,0.4%,0.2%
Return on Total Capital,,5.9%,2.8%,12.4%,18.4%,10.0%,5.8%,1.9%,,,8.3%,7.3%,5.8%,5.3%,4.2%,3.2%,1.9%,0.7%,0.9%,0.9%
SG&A to Sale,,,26.9%,31.8%,31.6%,31.1%,37.1%,40.5%,,,39.5%,39.0%,35.7%,38.3%,41.9%,44.5%,38.0%,44.8%,43.8%,47.6%
Depreciation & Amortisation,,,14.5,16.4,27.1,41.9,54.5,66.3,,,14.0,14.1,13.2,16.0,16.3,17.4,18.0,19.0,19.1,19.4
Tax Rate,,23.0%,20.9%,26.4%,20.2%,14.7%,19.4%,8.9%,,,20.4%,19.7%,18.6%,10.6%,23.3%,2.9%,-4.0%,53.6%,2.1%,-47.4%
Current Ratio,,0.58,1.22,0.95,2.27,8.56,6.80,4.53,,,7.88,7.68,6.80,6.37,5.77,5.28,4.53,4.54,4.90,5.23
Quick Ratio,,0.36,0.006,0.024,0.048,4.30,2.35,0.90,,,2.04,2.93,2.35,2.23,2.07,1.20,0.90,0.97,1.03,1.02
Days Inventory Outstanding,,,285.5,322.1,274.4,253.1,221.8,239.8,,,226.8,232.0,226.0,213.1,215.7,244.3,263.1,292.5,305.6,321.6
Days Sale Outstanding,,231.1,1.14,4.21,3.59,2.86,2.95,2.70,,,0.65,0.89,2.95,3.94,2.25,2.14,2.70,5.86,20.5,15.6
Days Payable Outstanding,,,135.0,99.3,42.3,36.6,37.8,50.7,,,33.1,36.6,37.7,42.4,50.7,53.1,56.7,62.9,54.5,45.7
Cash Conversion Cycle,,231.2,151.7,258.7,242.5,218.8,186.5,177.3,,,190.8,195.6,189.7,169.9,162.7,197.1,200.2,238.1,269.4,300.3
Debt to Asset Ratio,,0.27,0.46,0.59,0.47,0.079,0.081,0.16,,,0.074,0.075,0.081,0.087,0.093,0.098,0.16,0.17,0.16,0.16
Debt to Equity Ratio,,0.38,0.85,1.42,0.87,0.086,0.088,0.20,,,0.080,0.081,0.088,0.095,0.10,0.11,0.20,0.20,0.18,0.18
Interest Coverage Ratio,,,232.3,"8,433",89.5,12.7,793.5,45.7,,,772.2,699.3,886.2,401.7,130.3,43.0,13.4,,6.21,2.33
Cash and Short Term Investments,,1.12,16.3,70.9,42.4,559.9,377.3,315.7,,,394.5,401.2,377.3,398.1,332.9,248.0,315.7,250.4,170.3,161.7
"Total Receivables, Net",,1.90,1.90,8.60,10.8,8.33,8.89,8.17,,,1.89,2.66,8.89,12.0,6.90,6.46,8.17,17.3,61.2,46.1
Total Inventory,,,339.3,439.5,444.1,362.3,349.0,472.1,,,367.0,375.9,349.0,340.6,382.6,428.9,472.1,510.4,513.1,537.2
Total Current Assets,,3.02,363.6,539.3,520.8,951.7,757.0,823.7,,,784.4,799.7,757.0,779.2,748.1,713.1,823.7,811.8,781.5,780.4
"Property/Plant/Equipment, Total - Net",,15.9,291.0,369.7,492.6,616.8,838.1,919.1,,,755.6,759.0,838.1,839.4,845.9,891.4,919.1,931.9,929.5,933.7
Total Assets,,18.9,655.4,975.7,"1,028","1,591","1,623","1,776",,,"1,565","1,586","1,623","1,649","1,626","1,637","1,776","1,778","1,745","1,750"
Accounts Payable,,,160.4,79.8,56.6,59.9,61.4,112.1,,,57.8,59.6,61.4,75.7,94.3,82.2,112.1,99.0,83.6,65.7
Accrued Expenses,,0.22,6.28,23.1,31.6,22.4,11.3,8.20,,,22.6,29.2,11.3,5.88,9.65,12.7,8.20,5.62,4.00,3.84
Debt Due,,4.90,62.7,435.1,105.5,0.50,1.00,28.7,,,0.52,0.53,1.00,1.01,1.03,1.22,28.7,37.8,37.8,38.1
Total Current Liabilities,,5.21,298.2,568.6,229.3,111.1,111.3,181.8,,,99.5,104.2,111.3,122.2,129.6,135.1,181.8,178.8,159.6,149.2
Long Term Debt,,,,,244.4,1.45,1.86,82.6,,,1.18,1.05,1.86,1.60,1.33,1.66,82.6,89.0,80.7,92.1
Total Liabilities,,5.21,301.6,572.7,478.2,125.9,131.5,292.6,,,116.1,119.1,131.5,143.1,151.7,160.4,292.6,296.5,270.8,273.1
Common Stock,,10.0,315.0,315.0,315.0,500.0,500.0,500.0,,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
Additional Paid-In Capital,,,,,,806.9,806.9,806.9,,,806.9,806.9,806.9,806.9,806.9,806.9,806.9,806.9,806.9,806.9
Retained Earnings (Accumulated Deficit),,3.74,38.8,88.1,234.5,158.2,183.0,175.6,,,141.7,159.1,183.0,198.7,166.8,168.6,175.6,173.8,166.8,169.3
Shareholders' Equity,,13.7,353.8,403.1,549.5,"1,465","1,491","1,483",,,"1,449","1,467","1,491","1,506","1,475","1,476","1,483","1,482","1,474","1,477"
Cash from Operating Activities,,,-49.6,-225.3,205.7,272.6,159.5,18.4,,,22.9,22.3,63.1,42.2,-4.40,-43.8,24.5,-55.0,15.6,-33.0
Cash from Investing Activities,,,-19.8,-97.4,-140.8,-630.4,-64.3,-54.3,,,148.5,-116.0,-37.5,-29.1,-24.9,64.5,-64.8,-24.9,-19.9,12.5
Cash from Financing Activities,,,47.0,372.4,-88.4,391.9,-60.6,70.8,,,-60.1,-0.23,-0.100,-0.29,-36.3,-0.43,107.8,14.4,-22.5,8.61
Net Change in Cash,,,-22.5,49.6,-23.5,34.1,34.7,35.0,,,111.2,-94.0,25.5,12.8,-65.6,20.3,67.5,-65.5,-26.8,-11.9
Free Cashflows,,,-69.6,-310.9,60.3,114.2,-120.4,-131.7,,,3.09,7.74,-23.4,20.6,-28.2,-83.1,-41.0,-79.5,-9.54,-37.4
Free Cashflow per Share,,,-0.070,-0.31,0.060,0.11,-0.12,-0.13,,,0.003,0.008,-0.023,0.021,-0.028,-0.083,-0.041,-0.079,-0.010,-0.037
