,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,36.6,28.6,27.1,29.6,23.8,22.8,,,29.5,30.6,27.0,27.1,26.1,21.4,19.3,21.5,25.4,23.8
Earnings per Share,0.079,0.31,0.48,1.35,1.00,1.36,1.32,1.16,,,0.54,0.37,0.25,0.39,0.39,0.22,0.16,0.38,0.45,0.34
Revenue per Share,4.75,6.07,8.03,9.50,8.48,9.10,8.99,9.44,,,2.83,2.42,2.08,2.35,2.82,2.12,2.15,2.59,3.07,2.74
Dividend per Share,0.00,0.38,0.92,0.31,0.42,0.54,0.69,0.66,,,,,0.69,,,,0.66,,,
Capital Expenditures per Share,0.88,0.90,0.48,0.60,1.69,0.45,0.30,0.55,,,0.019,0.091,0.11,0.12,0.16,0.14,0.14,0.11,0.051,0.13
Book Value per Share,0.31,1.27,1.35,4.95,5.67,6.64,7.45,7.98,,,6.81,7.19,7.45,7.86,7.56,7.80,7.98,8.37,8.17,8.52
Price to Earnings Ratio,,,,24.1,15.4,20.6,17.7,14.4,,,18.0,18.2,17.7,18.8,16.7,14.5,14.4,15.8,18.8,16.8
Price to Book Value Ratio,,,,6.62,2.77,3.99,3.17,2.33,,,4.22,3.75,3.17,3.10,3.19,1.76,2.33,2.76,2.92,2.33
EV to EBITDA,,,0.00,19.4,9.13,13.1,12.0,7.37,,,11.0,14.6,12.0,8.79,10.1,8.70,7.37,8.03,9.75,9.12
Dividend Payout Ratio,0.0%,119.7%,193.5%,22.7%,42.0%,39.7%,52.3%,57.1%,,,,,52.3%,,,,57.1%,,,
Common Shares Outstanding,300.0,300.0,300.0,300.0,300.8,301.8,303.1,304.4,,,302.3,303.1,303.1,304.4,304.4,304.4,304.4,304.4,304.4,304.4
Total Revenue,"1,424","1,822","2,408","2,849","2,552","2,746","2,724","2,874",,,856.6,734.6,629.2,716.0,858.7,646.2,653.4,787.2,935.9,833.3
"Cost of Revenue, Total","1,055","1,257","1,596","1,705","1,491","1,524","1,637","1,800",,,484.6,448.1,388.3,425.7,540.0,421.2,412.9,486.3,573.2,491.8
Gross Profit,368.7,565.3,811.8,"1,144","1,061","1,222","1,087","1,074",,,372.0,286.5,240.9,290.3,318.7,225.0,240.5,300.8,362.7,341.5
"Selling/General/Administrative Expenses, Total",334.6,469.4,600.8,679.0,692.3,769.8,606.1,649.0,,,168.0,154.5,154.7,152.4,160.5,138.8,197.3,164.6,184.3,209.7
Operating Income,43.8,97.5,212.3,466.5,372.2,457.9,483.0,429.0,,,204.1,131.9,88.8,137.9,158.2,86.2,46.6,136.2,178.4,131.8
Net Income,23.7,67.6,143.0,360.8,300.6,410.2,401.1,351.6,,,163.4,111.7,77.3,117.3,117.7,66.9,49.7,115.3,135.7,102.2
EBITDA,74.1,148.0,289.9,557.2,478.0,613.1,640.4,586.5,,,244.2,172.2,126.2,176.5,197.1,126.8,86.0,181.4,226.4,180.1
Gross Profit Margin,25.9%,31.0%,33.7%,40.2%,41.6%,44.5%,39.9%,37.4%,,,43.4%,39.0%,38.3%,40.5%,37.1%,34.8%,36.8%,38.2%,38.8%,41.0%
Operating Margin,3.1%,5.3%,8.8%,16.4%,14.6%,16.7%,17.7%,14.9%,,,23.8%,18.0%,14.1%,19.3%,18.4%,13.3%,7.1%,17.3%,19.1%,15.8%
Net Profit Margin,1.7%,3.7%,5.9%,12.7%,11.8%,14.9%,14.7%,12.2%,,,19.1%,15.2%,12.3%,16.4%,13.7%,10.3%,7.6%,14.6%,14.5%,12.3%
Return on Assets,3.7%,6.9%,11.4%,21.1%,13.8%,17.4%,15.4%,12.4%,,,15.8%,16.1%,14.9%,16.5%,14.6%,13.4%,12.3%,11.4%,11.3%,12.3%
Return on Equity,25.2%,17.8%,35.3%,24.3%,17.6%,20.5%,17.8%,14.5%,,,7.9%,5.1%,3.4%,4.9%,5.1%,2.8%,2.0%,4.5%,5.5%,3.9%
Return on Total Capital,16.6%,15.2%,31.0%,24.3%,17.6%,20.5%,17.8%,14.5%,,,19.5%,19.3%,17.8%,19.6%,18.4%,16.0%,14.5%,13.6%,14.7%,15.4%
SG&A to Sale,23.5%,25.8%,24.9%,23.8%,27.1%,28.0%,22.3%,22.6%,,,19.6%,21.0%,24.6%,21.3%,18.7%,21.5%,30.2%,20.9%,19.7%,25.2%
Depreciation & Amortisation,28.5,50.5,77.6,90.7,105.7,155.2,157.3,157.5,,,40.1,40.3,37.4,38.6,38.9,40.6,39.4,45.2,48.0,48.3
Tax Rate,44.2%,26.1%,24.5%,20.6%,20.7%,19.6%,20.5%,19.6%,,,20.9%,19.6%,20.1%,21.1%,20.2%,21.4%,11.2%,18.9%,21.8%,20.9%
Current Ratio,0.63,0.78,0.75,2.52,1.96,2.60,3.04,3.33,,,2.56,3.09,3.04,3.09,2.88,3.63,3.33,3.21,2.76,3.28
Quick Ratio,0.41,0.42,0.39,0.84,0.92,0.81,0.46,0.55,,,0.89,0.96,0.46,0.53,0.55,0.68,0.55,0.76,0.81,0.66
