,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,17.6,25.1,14.5,11.5,8.85,6.53,5.46,4.95,,,6.43,5.90,5.65,5.68,5.08,5.08,5.40,5.25,5.05,4.55
Earnings per Share,1.07,1.59,1.30,-0.42,-1.90,-2.86,-0.30,0.17,,,-0.17,-0.027,0.021,-0.020,-0.006,0.10,0.094,-0.029,0.009,0.058
Revenue per Share,8.61,9.76,9.38,8.60,8.95,8.82,2.24,3.44,,,1.13,0.57,0.73,0.51,0.54,0.87,1.27,0.70,0.69,0.83
Dividend per Share,0.82,1.09,0.010,0.70,,,,0.070,,,,,,,,,0.070,,,
Capital Expenditures per Share,0.85,0.47,0.71,1.22,0.31,0.17,0.12,0.069,,,0.024,0.043,0.055,0.010,0.011,0.036,0.013,0.019,0.034,0.027
Book Value per Share,8.29,9.15,9.36,8.93,6.34,3.50,3.91,4.08,,,3.42,3.89,3.91,3.89,3.88,3.99,4.08,4.05,3.99,4.05
Price to Earnings Ratio,10.8,18.6,13.3,,,,,29.2,,,,,,,,48.5,29.2,30.4,27.2,32.4
Price to Book Value Ratio,1.45,3.08,1.75,1.33,1.26,1.97,1.43,1.22,,,1.46,1.51,1.43,1.22,1.24,1.19,1.22,1.26,1.22,1.03
EV to EBITDA,4.31,7.86,7.26,37.7,-15.7,-44.5,23.3,9.09,,,27.2,18.2,23.3,20.5,13.3,9.76,9.09,11.0,10.2,10.5
Dividend Payout Ratio,76.3%,68.6%,0.8%,-166.1%,,,,40.5%,,,,,,,,,40.5%,,,
Common Shares Outstanding,220.0,220.0,220.0,220.0,220.0,220.0,998.3,998.3,,,420.0,998.3,998.3,998.3,998.3,998.3,998.3,998.3,998.3,998.3
Total Revenue,"1,893","2,146","2,064","1,892","1,969","1,941","2,237","3,432",,,475.1,572.7,724.3,513.4,539.9,871.2,"1,263",695.9,690.2,828.7
"Cost of Revenue, Total","1,279","1,408","1,404","1,624","1,953","1,832","1,825","2,525",,,411.5,445.2,544.8,414.2,432.1,520.9,892.3,462.2,411.8,498.8
Gross Profit,614.1,738.2,660.0,267.9,15.6,108.7,411.8,906.9,,,63.5,127.5,179.5,99.2,107.8,350.3,370.5,233.7,278.4,329.9
"Selling/General/Administrative Expenses, Total",291.3,314.0,326.2,360.8,408.7,383.2,430.9,751.1,,,101.1,104.2,127.4,102.1,107.3,270.9,275.1,256.8,267.8,258.5
Operating Income,322.8,424.1,333.8,-92.8,-393.1,-274.6,-19.0,192.5,,,-37.6,23.4,52.1,-2.87,0.58,79.5,111.2,-23.2,10.6,71.4
Net Income,236.0,350.1,285.1,-89.7,-417.1,-628.1,-163.9,172.7,,,-72.1,-14.3,21.1,-20.1,-5.80,104.4,94.1,-29.2,9.47,57.9
EBITDA,454.0,544.2,476.7,72.9,-201.6,-78.2,165.4,457.6,,,10.4,73.5,91.6,55.2,57.3,146.0,194.9,45.4,73.5,130.4
Gross Profit Margin,32.4%,34.4%,32.0%,14.2%,0.8%,5.6%,18.4%,26.4%,,,13.4%,22.3%,24.8%,19.3%,20.0%,40.2%,29.3%,33.6%,40.3%,39.8%
Operating Margin,17.1%,19.8%,16.2%,-4.9%,-20.0%,-14.1%,-0.9%,5.6%,,,-7.9%,4.1%,7.2%,-0.6%,0.1%,9.1%,8.8%,-3.3%,1.5%,8.6%
Net Profit Margin,12.5%,16.3%,13.8%,-4.7%,-21.2%,-32.4%,-7.3%,5.0%,,,-15.2%,-2.5%,2.9%,-3.9%,-1.1%,12.0%,7.5%,-4.2%,1.4%,7.0%
Return on Assets,10.5%,14.6%,11.4%,-2.3%,-8.0%,-12.8%,-3.2%,2.9%,,,-9.7%,-6.8%,-2.9%,-1.5%,-0.3%,1.6%,2.7%,2.7%,3.1%,2.4%
Return on Equity,12.9%,17.4%,13.8%,-4.6%,-29.9%,-81.6%,-4.2%,4.2%,,,-5.0%,-0.4%,0.5%,-0.5%,-0.1%,2.6%,2.3%,-0.7%,0.2%,1.4%
Return on Total Capital,12.9%,17.3%,13.8%,-3.5%,-16.8%,-29.9%,-4.2%,4.2%,,,-18.4%,-8.5%,-4.2%,-2.2%,-0.5%,2.5%,4.2%,4.0%,4.5%,3.3%
