,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,43.0,45.0,39.4,30.5,22.2,22.9,20.2,20.7,,,21.4,22.6,21.8,19.4,18.5,20.0,18.9,18.1,21.0,20.8
Earnings per Share,1.72,3.08,0.81,-1.63,-5.50,-4.31,-2.59,-0.61,,,-0.64,0.094,-1.41,-1.22,-0.42,1.25,-0.21,-0.35,0.088,0.62
Revenue per Share,35.3,46.5,32.6,32.5,31.8,49.3,44.3,44.7,,,11.7,12.3,10.6,8.55,10.5,13.4,12.2,10.6,11.3,12.0
Dividend per Share,0.53,1.05,0.17,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,1.79,1.42,1.26,1.72,0.57,1.05,0.47,0.65,,,0.12,0.13,0.17,0.059,0.19,0.18,0.23,1.42,1.71,0.71
Book Value per Share,34.9,36.6,36.4,34.6,29.1,38.2,33.2,32.6,,,34.5,34.6,33.2,32.0,31.6,32.8,32.6,59.4,59.4,60.0
Price to Earnings Ratio,12.4,16.1,35.9,,,,,,,,,,,,,,,66.3,23.5,157.9
Price to Book Value Ratio,0.60,1.34,0.78,0.80,0.70,0.55,0.56,0.56,,,0.58,0.00,0.56,0.53,0.54,0.52,0.56,0.30,0.34,0.30
EV to EBITDA,7.99,11.6,13.0,173.5,-12.0,-24.6,-83.6,48.9,,,-23.3,-136.6,-83.6,-25.2,-23.1,-175.0,48.9,22.5,18.0,38.7
Dividend Payout Ratio,30.7%,34.1%,21.0%,,,,,,,,,,,,,,,,,
Common Shares Outstanding,15.0,15.0,15.0,15.0,15.0,15.0,17.6,17.6,,,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6
Total Revenue,529.2,697.5,489.5,486.8,477.0,740.0,780.7,787.6,,,206.5,216.4,186.9,150.6,184.6,236.4,215.9,186.5,198.4,211.4
"Cost of Revenue, Total",464.4,612.0,408.5,434.1,442.5,669.6,688.8,678.0,,,182.1,179.4,174.9,144.5,162.5,182.4,188.7,161.3,166.9,175.3
Gross Profit,64.8,85.5,81.0,52.7,34.6,70.4,91.9,109.5,,,24.4,37.0,12.0,6.12,22.1,54.1,27.2,25.1,31.5,36.1
"Selling/General/Administrative Expenses, Total",48.1,50.7,82.0,89.3,114.1,121.1,124.8,124.1,,,31.3,31.5,36.1,26.8,28.7,30.8,37.7,32.9,30.7,26.3
Operating Income,16.7,34.9,-0.97,-36.6,-79.5,-50.7,-32.9,-14.5,,,-6.94,5.50,-24.1,-20.7,-6.56,23.3,-10.5,-7.80,0.79,9.81
Net Income,25.9,46.2,12.1,-24.5,-82.5,-64.6,-42.5,-10.7,,,-9.78,1.66,-25.0,-21.5,-7.39,22.0,-3.78,-6.20,1.56,10.9
EBITDA,59.7,77.2,38.8,2.76,-42.1,-22.7,-7.17,10.2,,,-0.054,12.4,-19.1,-14.0,0.12,29.9,-5.86,-1.92,6.96,16.1
Gross Profit Margin,12.2%,12.3%,16.5%,10.8%,7.2%,9.5%,11.8%,13.9%,,,11.8%,17.1%,6.4%,4.1%,12.0%,22.9%,12.6%,13.5%,15.9%,17.1%
Operating Margin,3.1%,5.0%,-0.2%,-7.5%,-16.7%,-6.9%,-4.2%,-1.8%,,,-3.4%,2.5%,-12.9%,-13.8%,-3.6%,9.8%,-4.9%,-4.2%,0.4%,4.6%
Net Profit Margin,4.9%,6.6%,2.5%,-5.0%,-17.3%,-8.7%,-5.4%,-1.4%,,,-4.7%,0.8%,-13.4%,-14.3%,-4.0%,9.3%,-1.7%,-3.3%,0.8%,5.1%
Return on Assets,3.4%,6.0%,1.6%,-3.3%,-11.3%,-7.5%,-4.3%,-1.1%,,,-6.3%,-4.7%,-4.4%,-5.9%,-5.6%,-3.4%,-1.1%,0.4%,0.9%,0.2%
Return on Equity,4.9%,8.4%,2.2%,-4.7%,-18.9%,-11.3%,-7.3%,-1.9%,,,-1.6%,0.3%,-4.3%,-3.8%,-1.3%,3.8%,-0.7%,-0.6%,0.1%,1.0%
Return on Total Capital,4.2%,7.7%,2.1%,-4.7%,-18.8%,-11.2%,-7.3%,-1.9%,,,-10.4%,-7.7%,-7.3%,-9.7%,-9.4%,-5.5%,-1.9%,0.4%,1.3%,0.2%
SG&A to Sale,9.1%,7.3%,16.7%,18.4%,23.9%,16.4%,16.0%,15.8%,,,15.2%,14.6%,19.3%,17.8%,15.5%,13.0%,17.5%,17.7%,15.5%,12.4%
Depreciation & Amortisation,43.1,42.4,39.8,39.4,37.4,28.0,25.8,24.7,,,6.89,6.94,5.04,6.78,6.68,6.65,4.64,5.88,6.17,6.30
Tax Rate,8.4%,12.5%,-16.3%,25.3%,17.8%,-8.0%,0.5%,39.9%,,,-5.6%,28.1%,3.7%,0.4%,-1.2%,0.2%,65.4%,-0.7%,-368.2%,-2.2%
Current Ratio,1.28,1.51,1.15,0.89,0.75,0.76,0.87,0.90,,,0.93,0.95,0.87,0.81,0.84,0.94,0.90,0.81,0.87,0.89
Quick Ratio,0.47,0.48,0.29,0.26,0.29,0.33,0.41,0.44,,,0.33,0.38,0.41,0.31,0.31,0.33,0.44,0.23,0.26,0.33
Days Inventory Outstanding,75.1,55.3,79.7,79.6,78.3,66.1,67.8,58.6,,,76.2,75.2,63.6,58.3,63.5,68.6,63.8,58.9,60.1,60.2
Days Sale Outstanding,50.2,24.2,28.1,35.5,54.7,57.2,51.5,58.4,,,50.1,50.6,51.5,40.9,43.1,47.3,58.4,30.0,29.8,36.4
Days Payable Outstanding,37.2,28.4,16.0,19.5,34.5,40.0,37.4,28.4,,,52.8,43.2,29.8,26.5,32.5,37.4,34.7,32.9,31.9,30.7
Cash Conversion Cycle,54.8,74.9,98.2,86.1,81.6,61.7,96.5,82.7,,,75.2,90.5,90.1,78.0,70.4,75.4,85.0,67.6,61.1,62.6
