,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,4.78,6.85,3.60,2.44,,,7.00,6.85,4.56,3.49,3.15,2.65,2.47,2.90,2.80,2.04
Earnings per Share,0.051,0.13,0.12,0.044,0.080,0.39,0.31,-0.25,,,0.14,-0.040,0.010,-0.034,-0.051,-0.18,0.009,0.080,0.050,-0.23
Revenue per Share,0.40,0.84,1.68,1.43,1.65,2.56,2.79,3.14,,,0.81,0.49,0.59,0.73,0.71,0.69,1.01,1.09,1.04,0.76
Dividend per Share,0.00,0.00,0.00,0.00,0.00,0.050,0.12,,,,,,0.12,,,,,,,
Capital Expenditures per Share,0.00,0.00,0.094,0.074,1.54,0.56,4.40,2.00,,,0.73,1.19,1.87,0.27,1.29,0.29,0.15,0.15,0.038,0.18
Book Value per Share,0.95,0.32,0.30,0.34,0.65,1.99,2.28,1.91,,,2.30,2.26,2.28,2.24,2.07,1.89,1.91,1.98,2.03,1.80
Price to Earnings Ratio,,,,,,13.2,14.5,,,,12.6,16.1,14.5,41.1,,,,,,
Price to Book Value Ratio,,,,,,2.96,1.60,1.18,,,2.66,2.13,1.60,1.13,1.42,1.10,1.18,1.36,1.18,0.93
EV to EBITDA,,,,,0.00,6.00,7.83,10.0,,,5.90,8.47,7.83,9.08,13.6,13.3,10.0,8.01,6.75,6.01
Dividend Payout Ratio,0.0%,0.0%,0.0%,0.0%,0.0%,12.8%,39.4%,,,,,,39.5%,,,,,,,
Common Shares Outstanding,"1,130","1,130","1,130","1,130","1,130","1,130","1,130","1,135",,,"1,130","1,130","1,130","1,135","1,135","1,135","1,135","1,139","1,139","1,139"
Total Revenue,447.9,953.0,"1,898","1,614","1,868","2,891","3,154","3,567",,,912.9,554.3,667.3,830.9,806.8,779.8,"1,149","1,240","1,185",868.1
"Cost of Revenue, Total",397.9,818.8,"1,418","1,233","1,378","2,063","2,322","3,445",,,593.2,534.8,569.8,765.4,826.8,866.3,986.8,975.9,946.0,996.8
Gross Profit,50.0,134.3,479.8,380.7,489.9,827.9,831.9,121.8,,,319.7,19.5,97.5,65.5,-20.0,-86.5,162.7,264.1,239.1,-128.7
"Selling/General/Administrative Expenses, Total",111.0,139.2,172.1,194.7,249.0,281.6,279.8,294.4,,,78.9,48.4,63.7,71.2,69.2,86.7,67.3,81.5,91.3,95.6
Operating Income,130.0,243.1,293.6,184.5,205.6,536.8,540.0,-189.4,,,240.8,-29.0,21.8,-5.68,-89.2,-173.2,78.6,182.6,147.8,-224.4
Net Income,57.7,146.1,140.7,49.2,88.7,322.7,360.1,-284.6,,,165.5,-42.4,11.0,-38.5,-57.7,-199.1,10.7,92.3,58.3,-266.3
EBITDA,130.0,243.1,633.3,558.0,676.4,"1,148","1,150",846.5,,,384.5,122.8,194.3,215.0,148.1,105.0,378.4,478.6,445.9,72.3
Gross Profit Margin,11.2%,14.1%,25.3%,23.6%,26.2%,28.6%,26.4%,3.4%,,,35.0%,3.5%,14.6%,7.9%,-2.5%,-11.1%,14.2%,21.3%,20.2%,-14.8%
Operating Margin,29.0%,25.5%,15.5%,11.4%,11.0%,18.6%,17.1%,-5.3%,,,26.4%,-5.2%,3.3%,-0.7%,-11.1%,-22.2%,6.8%,14.7%,12.5%,-25.8%
Net Profit Margin,12.9%,15.3%,7.4%,3.1%,4.8%,11.2%,11.4%,-8.0%,,,18.1%,-7.6%,1.7%,-4.6%,-7.2%,-25.5%,0.9%,7.4%,4.9%,-30.7%
Return on Assets,3.0%,5.5%,4.5%,1.8%,2.5%,6.2%,4.4%,-2.6%,,,8.8%,6.6%,3.8%,0.9%,-1.1%,-2.4%,-2.3%,-1.3%,-0.3%,-0.9%
Return on Equity,5.4%,40.9%,41.4%,12.7%,12.0%,14.3%,14.0%,-13.1%,,,6.4%,-1.7%,0.4%,-1.5%,-2.5%,-9.3%,0.5%,4.1%,2.5%,-13.0%
Return on Total Capital,4.1%,8.2%,11.5%,7.2%,3.5%,8.4%,5.8%,-3.7%,,,12.2%,9.7%,5.8%,1.4%,-1.6%,-3.6%,-3.7%,-2.0%,-0.5%,-1.4%
SG&A to Sale,24.8%,14.6%,9.1%,12.1%,13.3%,9.7%,8.9%,8.3%,,,8.6%,8.7%,9.5%,8.6%,8.6%,11.1%,5.9%,6.6%,7.7%,11.0%
Depreciation & Amortisation,,,339.7,373.4,470.8,610.7,610.0,"1,036",,,143.7,151.8,172.5,220.7,237.3,278.1,299.8,296.0,298.1,296.7
Tax Rate,24.6%,24.0%,14.8%,34.9%,26.8%,23.6%,17.3%,32.1%,,,22.3%,31.4%,-191.5%,-5.7%,58.0%,20.3%,-129.5%,-5.8%,12.3%,9.7%
Current Ratio,0.70,0.55,0.46,0.41,0.64,1.15,0.52,0.55,,,1.12,0.76,0.52,0.60,0.61,0.60,0.55,0.52,0.66,0.55
Quick Ratio,0.53,0.27,0.26,0.23,0.44,0.46,0.30,0.33,,,0.68,0.42,0.30,0.33,0.33,0.28,0.33,0.36,0.40,0.29
Days Inventory Outstanding,70.1,37.9,24.1,27.2,23.0,19.3,24.7,29.8,,,19.5,24.2,27.2,26.1,25.8,31.6,37.0,32.8,28.0,26.1
Days Sale Outstanding,205.4,145.4,73.8,91.7,123.3,107.4,127.7,142.0,,,137.0,138.8,127.7,153.4,148.1,137.9,142.0,134.9,116.1,80.9
Days Payable Outstanding,53.1,62.7,28.7,0.00,83.2,101.4,160.1,114.0,,,112.7,169.9,218.6,154.5,82.0,85.3,74.4,61.0,51.1,41.4
Cash Conversion Cycle,222.3,59.4,97.5,116.5,-42.0,21.2,-100.9,90.1,,,7.95,-38.2,-73.4,86.6,92.2,76.3,100.5,105.1,102.4,84.2
Debt to Asset Ratio,0.44,0.89,0.88,0.86,0.84,0.63,0.75,0.82,,,0.64,0.71,0.75,0.77,0.80,0.82,0.82,0.81,0.80,0.82
Debt to Equity Ratio,0.80,8.32,7.44,6.07,5.07,1.67,2.97,4.53,,,1.75,2.44,2.97,3.41,4.05,4.70,4.53,4.19,4.00,4.42
Interest Coverage Ratio,,,2.07,1.75,2.28,3.97,3.95,,,,7.47,,0.58,,,,0.75,1.79,1.51,
