,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.47,3.47,3.41,3.71,3.72,4.64,4.70,4.76,,,4.25,4.89,5.05,4.59,4.43,4.57,4.83,4.77,4.65,4.57
Earnings per Share,0.30,0.22,0.39,0.38,0.29,0.51,0.45,0.54,,,0.064,0.10,0.16,0.13,0.11,0.14,0.15,0.16,0.098,0.12
Revenue per Share,1.11,0.95,1.37,1.28,1.21,1.58,1.47,1.70,,,0.29,0.35,0.47,0.43,0.39,0.43,0.44,0.45,0.39,0.42
Dividend per Share,0.25,0.23,0.36,0.37,0.29,0.38,0.32,0.39,,,,,0.32,,,,0.39,,,
Capital Expenditures per Share,0.031,0.029,0.030,0.029,0.028,0.028,0.034,0.012,,,0.005,0.011,0.014,0.003,0.002,0.002,0.006,0.004,0.003,0.005
Book Value per Share,2.43,2.40,2.56,2.59,2.53,2.75,2.81,3.03,,,2.54,2.64,2.81,2.94,2.74,2.88,3.03,3.19,2.90,3.01
Price to Earnings Ratio,8.73,13.9,8.19,10.1,12.0,8.10,10.7,8.97,,,8.30,9.70,10.9,9.36,8.74,8.08,9.08,7.75,8.31,8.40
Price to Book Value Ratio,0.96,1.43,1.32,1.51,1.42,1.53,1.69,1.60,,,1.63,1.68,1.69,1.30,1.65,1.47,1.60,1.49,1.55,1.48
EV to EBITDA,2.60,4.43,2.68,5.10,6.13,4.66,7.18,4.02,,,4.89,6.17,7.18,6.40,4.84,4.98,4.02,3.69,4.07,3.61
Dividend Payout Ratio,83.9%,103.4%,91.6%,95.5%,96.7%,74.0%,71.9%,70.8%,,,,,73.2%,,,,71.6%,,,
Common Shares Outstanding,"1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992",,,"1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992"
Total Revenue,"2,211","1,897","2,729","2,551","2,409","3,143","2,954","3,383",,,578.5,708.0,928.9,862.9,782.0,854.5,883.3,886.3,783.1,826.5
"Cost of Revenue, Total",204.7,181.6,282.5,249.4,353.4,360.4,357.5,421.4,,,88.4,97.6,88.4,114.0,103.2,104.3,99.9,102.4,115.2,122.4
Gross Profit,"1,478","1,264","1,834","1,686","1,584","2,095","1,939","2,279",,,358.0,455.9,640.6,569.6,511.9,571.7,625.9,599.7,484.3,541.9
"Selling/General/Administrative Expenses, Total",388.6,379.8,517.8,452.6,572.2,397.6,401.4,470.3,,,96.0,97.6,132.3,114.0,111.0,104.3,148.8,102.4,124.1,122.4
Operating Income,871.6,687.3,"1,006",962.9,745.7,"1,281","1,107","1,362",,,156.3,244.3,419.1,332.3,286.5,352.2,391.3,387.8,245.7,293.0
Net Income,593.4,442.9,783.2,761.3,587.2,"1,022",886.9,"1,083",,,126.6,198.3,336.3,257.6,228.0,282.5,315.3,310.3,194.8,232.6
EBITDA,926.5,749.2,"1,068",992.9,784.0,"1,320","1,149","1,397",,,161.9,269.1,415.1,347.6,289.6,376.3,383.3,400.2,248.3,314.3
Gross Profit Margin,66.7%,66.6%,67.2%,66.2%,65.8%,66.5%,66.1%,67.5%,,,62.8%,64.9%,68.8%,65.9%,65.7%,66.8%,71.2%,67.6%,61.7%,65.4%
Operating Margin,39.4%,36.2%,36.9%,37.8%,31.0%,40.7%,37.7%,40.3%,,,27.4%,34.8%,45.0%,38.5%,36.7%,41.1%,44.5%,43.7%,31.3%,35.4%
Net Profit Margin,26.8%,23.3%,28.7%,29.8%,24.4%,32.5%,30.0%,32.0%,,,21.9%,28.0%,36.2%,29.9%,29.2%,33.1%,35.7%,35.0%,24.9%,28.1%
Return on Assets,6.4%,4.5%,7.6%,8.1%,5.8%,8.6%,5.7%,6.7%,,,5.9%,5.6%,5.2%,4.9%,5.5%,6.5%,6.5%,6.6%,5.6%,5.7%
Return on Equity,12.3%,9.3%,15.3%,14.8%,11.6%,18.7%,15.9%,17.9%,,,2.5%,3.8%,6.0%,4.4%,4.2%,4.9%,5.2%,4.9%,3.4%,3.9%
Return on Total Capital,12.3%,9.3%,15.3%,14.8%,11.6%,18.7%,15.9%,16.4%,,,18.9%,17.5%,15.9%,15.7%,18.7%,14.8%,16.4%,16.5%,17.4%,16.1%
SG&A to Sale,17.5%,20.0%,19.0%,17.8%,23.8%,12.6%,13.7%,13.9%,,,16.8%,13.9%,14.2%,13.2%,14.2%,12.2%,16.9%,11.5%,15.8%,14.8%
Depreciation & Amortisation,54.9,61.9,61.9,30.0,38.3,39.3,41.8,34.6,,,5.59,24.9,-3.95,15.3,3.10,24.1,-7.91,12.4,2.57,21.3
Tax Rate,31.9%,24.6%,22.1%,20.8%,21.1%,20.1%,19.8%,20.4%,,,18.8%,18.7%,19.7%,22.4%,20.3%,19.7%,19.3%,19.9%,20.6%,20.5%
Current Ratio,2.85,1.60,2.63,1.91,2.04,1.57,1.43,1.68,,,1.42,1.38,1.43,1.34,1.43,1.67,1.68,1.51,1.41,1.60
Quick Ratio,1.70,0.95,1.67,1.12,1.40,0.92,0.68,1.04,,,0.80,0.79,0.68,0.74,0.86,0.99,1.04,1.04,0.83,0.98
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,559.4,954.0,607.4,816.6,923.8,846.7,890.1,840.5,,,925.0,"1,075",890.1,"1,009",774.0,806.9,840.5,998.0,"1,069",879.8
Days Payable Outstanding,"3,178","3,701","3,074","4,039","3,482","3,760","3,888","3,482",,,"5,564","5,148","4,701","3,689","3,627","3,420","3,536","4,360","5,243","4,661"
Cash Conversion Cycle,"-2,147","-4,960","-2,940","-4,724","-3,607","-3,956","-3,764","-3,751",,,"-4,856","-5,402","-3,766","-3,894","-3,485","-3,393","-3,752","-4,843","-5,763","-3,778"
Debt to Asset Ratio,0.34,0.61,0.38,0.51,0.48,0.61,0.67,0.61,,,0.68,0.69,0.67,0.71,0.67,0.68,0.61,0.66,0.72,0.64
Debt to Equity Ratio,0.52,1.58,0.62,1.04,0.91,1.58,2.04,1.57,,,2.09,2.25,2.04,2.50,2.03,2.09,1.57,1.96,2.52,1.75
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,"3,328","6,907","3,250","4,056","2,696","6,002","8,832","6,762",,,"7,005","7,375","8,832","10,875","8,497","9,085","6,762","8,398","9,312","7,354"
"Total Receivables, Net","3,394","4,962","4,539","5,700","6,092","7,307","7,156","7,780",,,"7,671","8,722","7,156","8,479","6,949","7,584","7,780","9,303","9,983","8,146"
Total Inventory,,,,,,,,,,,,,,,,,,,,
Total Current Assets,"6,931","11,995","7,921","9,998","9,082","13,368","16,045","14,599",,,"14,748","16,098","16,045","19,365","15,514","16,670","14,599","17,702","19,369","15,501"
"Property/Plant/Equipment, Total - Net",124.2,107.6,103.3,103.9,112.6,107.5,107.7,79.5,,,107.0,101.8,107.7,98.7,91.4,84.0,79.5,73.7,70.2,76.3
