,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6
Price Average,,2.40,2.85,3.27,3.19,2.20,0.59,0.24,,,2.44,1.29,0.69,0.54,0.63,0.51,0.32,0.22,0.095
Earnings per Share,-0.075,0.020,-0.47,-0.19,-0.63,-0.67,0.046,-0.47,,,1.04,-0.26,-0.59,-0.46,0.019,-0.094,-0.015,-0.026,-0.060
Revenue per Share,0.53,0.53,0.17,0.37,1.08,1.45,2.47,0.73,,,0.69,0.57,0.55,0.082,0.49,0.091,0.096,0.051,0.040
Dividend per Share,0.00,0.00,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.033,0.093,0.30,0.72,0.42,0.51,0.32,0.013,,,0.089,0.045,0.005,0.019,0.00,0.00,-0.010,0.001,0.001
Book Value per Share,0.37,0.43,1.34,1.09,0.65,0.45,0.60,0.11,,,1.83,1.57,0.60,0.17,0.20,0.12,0.11,0.088,0.021
Price to Earnings Ratio,,,,,,,13.8,,,,5.12,1.57,13.8,,,,,,
Price to Book Value Ratio,,,1.23,3.10,3.61,7.11,0.90,2.09,,,1.09,0.38,0.90,2.45,3.01,3.03,2.09,2.17,5.19
EV to EBITDA,0.00,0.00,-41.1,-43.9,-11.7,-19.1,-3.46,-10.6,,,-5.51,-3.45,-3.46,-3.16,-6.38,-8.84,-10.6,-13.4,-4.13
Dividend Payout Ratio,0.0%,0.0%,,,,,,,,,,,,,,,,,
Common Shares Outstanding,"2,054","2,054","2,054","2,054","3,262","3,758","3,758","12,039",,,"3,758","3,758","3,758","11,539","11,539","12,039","12,039","12,039","12,039"
Total Revenue,"1,091","1,088",345.1,754.3,"3,508","5,467","9,271","8,813",,,"2,579","2,132","2,064",950.0,"5,620","1,093","1,151",614.7,485.2
"Cost of Revenue, Total",768.2,656.1,188.1,466.2,"1,776","2,782","6,138","5,952",,,"1,714","1,465","1,339",703.0,"3,845",764.2,639.2,285.1,207.1
Gross Profit,323.2,432.4,157.0,288.1,"1,732","2,685","3,133","2,862",,,865.5,667.1,725.3,247.0,"1,774",328.8,511.7,329.6,278.1
"Selling/General/Administrative Expenses, Total",175.2,213.2,333.7,775.0,"3,210","4,260","5,956","3,674",,,"2,554","1,371","1,562",924.8,"1,147",870.9,725.1,697.8,862.1
Operating Income,155.0,219.1,-176.8,-486.9,"-1,478","-1,575","-2,823",-812.5,,,"-1,688",-703.8,-836.3,-677.8,627.9,-542.1,-213.4,-368.1,-584.0
Net Income,-58.3,41.6,-795.4,-381.1,"-1,785","-2,326",171.1,"-5,156",,,"3,915",-961.7,"-2,207","-4,087",216.1,"-1,102",-182.2,-316.8,-726.2
EBITDA,172.7,241.6,-141.5,-400.7,"-1,126","-1,263","-2,566",-590.9,,,"-1,622",-635.9,-793.1,-615.3,627.9,-542.1,-178.8,-324.4,-531.3
Gross Profit Margin,29.6%,39.7%,45.5%,38.2%,49.4%,49.1%,33.8%,32.5%,,,33.6%,31.3%,35.1%,26.0%,31.6%,30.1%,44.5%,53.6%,57.3%
Operating Margin,14.2%,20.1%,-51.2%,-64.5%,-42.1%,-28.8%,-30.5%,-9.2%,,,-65.5%,-33.0%,-40.5%,-71.3%,11.2%,-49.6%,-18.5%,-59.9%,-120.4%
Net Profit Margin,-5.3%,3.8%,-230.5%,-50.5%,-50.9%,-42.6%,1.8%,-58.5%,,,151.8%,-45.1%,-106.9%,-430.2%,3.8%,-100.9%,-15.8%,-51.5%,-149.7%
Return on Assets,-1.7%,1.1%,-12.7%,-2.7%,-7.9%,-8.1%,0.5%,-19.1%,,,4.3%,3.9%,0.5%,-11.0%,-27.2%,-31.7%,-23.8%,-6.4%,-10.9%
Return on Equity,-7.7%,4.7%,-28.9%,-17.1%,-83.9%,-137.7%,7.6%,-407.5%,,,56.9%,-16.3%,-98.2%,-206.6%,9.4%,-77.0%,-14.4%,-30.0%,-284.8%
Return on Total Capital,-2.1%,1.5%,-11.8%,-3.3%,-36.7%,-30.9%,2.1%,-251.9%,,,13.9%,13.3%,2.1%,-64.4%,-136.4%,-149.7%,-251.9%,-68.8%,-171.4%
SG&A to Sale,16.1%,19.6%,96.7%,102.7%,91.5%,77.9%,64.2%,41.7%,,,99.0%,64.3%,75.7%,97.3%,20.4%,79.7%,63.0%,113.5%,177.7%
Depreciation & Amortisation,17.8,22.5,35.2,86.1,351.6,312.4,257.4,221.6,,,66.2,67.9,43.2,62.5,,,34.6,43.8,52.7
Tax Rate,-1343.3%,58.6%,2.1%,14.5%,9.4%,3.4%,84.3%,0.9%,,,23.4%,0.4%,10.5%,0.2%,49.3%,4.3%,52.4%,10.0%,5.8%
Current Ratio,1.77,0.54,1.69,0.95,0.54,0.72,0.72,0.67,,,0.62,0.53,0.72,0.76,0.91,0.89,0.67,0.68,0.63
Quick Ratio,0.026,0.012,0.061,0.084,0.018,0.017,0.010,0.048,,,0.022,0.014,0.010,0.009,0.13,0.11,0.048,0.037,0.032
Days Inventory Outstanding,249.2,348.6,708.2,"2,441","1,474","1,489",794.8,684.3,,,784.4,593.2,637.0,872.3,539.5,511.9,584.5,658.3,"1,977"
