,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.30,2.57,2.24,1.76,1.47,1.35,0.84,0.56,,,1.23,1.09,0.99,0.81,0.75,0.67,0.64,0.52,0.48,0.40
Earnings per Share,0.020,0.17,0.13,0.091,-0.057,0.046,-0.075,-0.094,,,-0.026,0.001,,-0.012,-0.025,-0.037,-0.021,-0.041,-0.015,-0.033
Revenue per Share,4.89,3.85,2.84,2.89,3.08,2.80,2.58,3.08,,,0.52,0.76,,0.58,0.65,0.95,0.89,1.00,0.88,0.92
Dividend per Share,,0.19,0.10,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.075,0.11,0.18,0.083,0.043,0.034,0.053,0.089,,,0.000,0.019,0.00,0.037,0.033,0.016,0.003,0.014,0.003,0.002
Book Value per Share,2.14,2.02,2.02,2.01,1.95,1.99,1.91,1.82,,,1.92,1.92,1.91,1.90,1.88,1.84,1.82,1.77,1.75,1.72
Price to Earnings Ratio,37.4,12.5,11.6,21.9,,28.0,,,,,,,,,,,,,,
Price to Book Value Ratio,0.34,1.12,0.73,0.87,0.58,0.71,0.44,0.27,,,0.59,0.51,0.44,0.35,0.39,0.25,0.27,0.28,0.25,0.22
EV to EBITDA,8.65,8.20,8.06,14.9,33.4,16.6,"1,818",-400.0,,,-48.5,-74.1,"1,818",61.7,55.6,-765.1,-400.0,-64.5,-49.0,-60.4
Dividend Payout Ratio,,111.8%,79.9%,,,,,,,,,,,,,,,,,
Common Shares Outstanding,850.0,"1,032","1,045","1,045","1,045","1,045","1,045","1,045",,,"1,045","1,045","1,045","1,045","1,045","1,045","1,045","1,045","1,045","1,045"
Total Revenue,"4,153","3,979","2,966","3,023","3,220","2,924","2,694","3,224",,,541.3,793.2,,610.0,682.1,996.4,935.2,"1,041",917.1,961.2
"Cost of Revenue, Total","3,846","3,481","2,550","2,673","3,025","2,628","2,562","3,102",,,517.5,733.3,,564.3,654.6,976.8,906.2,"1,026",887.8,936.2
Gross Profit,307.8,497.5,415.7,349.1,194.9,295.7,132.5,121.8,,,23.9,59.9,,45.7,27.5,19.5,29.0,15.0,29.4,25.0
"Selling/General/Administrative Expenses, Total",157.2,176.6,172.7,185.4,192.0,192.7,189.5,200.5,,,47.0,48.5,,52.2,48.7,50.5,49.2,46.0,59.1,48.3
Operating Income,150.6,320.9,243.0,163.7,2.88,103.0,-57.0,-78.7,,,-23.1,11.3,,-6.50,-21.1,-31.0,-20.2,-30.9,-29.8,-23.3
Net Income,16.8,153.3,130.1,95.1,-59.1,47.8,-79.3,-98.8,,,-27.5,1.19,,-12.5,-26.0,-38.4,-21.9,-43.1,-15.9,-34.8
EBITDA,306.4,412.3,337.3,265.8,95.9,181.2,16.5,-4.85,,,-4.82,29.6,0.00,12.0,-2.37,-12.4,-2.05,-12.5,-11.1,-4.50
Gross Profit Margin,7.4%,12.5%,14.0%,11.6%,6.1%,10.1%,4.9%,3.8%,,,4.4%,7.5%,,7.5%,4.0%,2.0%,3.1%,1.4%,3.2%,2.6%
Operating Margin,3.6%,8.1%,8.2%,5.4%,0.1%,3.5%,-2.1%,-2.4%,,,-4.3%,1.4%,,-1.1%,-3.1%,-3.1%,-2.2%,-3.0%,-3.2%,-2.4%
Net Profit Margin,0.4%,3.9%,4.4%,3.1%,-1.8%,1.6%,-2.9%,-3.1%,,,-5.1%,0.2%,,-2.0%,-3.8%,-3.9%,-2.3%,-4.1%,-1.7%,-3.6%
Return on Assets,0.4%,3.6%,3.2%,2.4%,-1.5%,1.2%,-2.1%,-2.6%,,,-3.7%,-3.2%,-3.2%,-1.0%,-1.0%,-2.0%,-2.6%,-3.4%,-3.1%,-3.0%
Return on Equity,0.9%,7.4%,6.2%,4.5%,-2.9%,2.3%,-4.0%,-5.2%,,,-1.4%,0.1%,,-0.6%,-1.3%,-2.0%,-1.2%,-2.3%,-0.9%,-1.9%
Return on Total Capital,0.6%,5.7%,5.9%,4.5%,-2.9%,2.3%,-3.9%,-5.2%,,,-6.9%,-6.1%,-6.1%,-1.9%,-1.9%,-4.0%,-5.2%,-7.0%,-6.5%,-6.4%
SG&A to Sale,3.8%,4.4%,5.8%,6.1%,6.0%,6.6%,7.0%,6.2%,,,8.7%,6.1%,,8.6%,7.1%,5.1%,5.3%,4.4%,6.4%,5.0%
Depreciation & Amortisation,155.8,91.4,94.3,102.0,93.1,78.2,73.5,73.9,,,18.3,18.3,,18.5,18.7,18.6,18.1,18.4,18.6,18.8
Tax Rate,0.0%,21.7%,19.7%,20.0%,19.4%,20.5%,20.0%,17.8%,,,19.9%,23.0%,,19.5%,19.0%,16.9%,17.0%,-0.5%,-1.0%,1.3%
Current Ratio,1.24,1.25,0.95,0.91,0.89,0.93,0.89,0.80,,,0.90,0.91,0.89,0.86,0.83,0.82,0.80,0.80,0.80,0.79
Quick Ratio,0.30,0.37,0.28,0.21,0.27,0.20,0.25,0.32,,,0.21,0.30,0.25,0.24,0.28,0.34,0.32,0.36,0.34,0.36
Days Inventory Outstanding,113.9,133.4,156.8,149.7,141.9,161.3,156.2,106.8,,,165.7,150.9,147.0,201.7,172.0,141.6,95.3,78.6,76.6,79.5
Days Sale Outstanding,39.0,51.3,57.2,45.0,60.8,42.8,58.8,66.3,,,55.1,76.2,60.8,80.9,86.4,104.8,66.3,69.9,64.3,68.8
Days Payable Outstanding,9.78,22.0,20.8,16.0,27.9,37.7,23.7,20.7,,,33.8,34.7,23.7,22.7,27.1,38.6,33.3,33.2,42.5,45.2
Cash Conversion Cycle,137.0,157.0,208.8,178.7,156.7,183.0,195.5,134.1,,,186.0,180.6,225.1,256.2,223.5,182.2,135.2,102.8,93.9,104.1
Debt to Asset Ratio,0.57,0.50,0.45,0.46,0.50,0.46,0.47,0.49,,,0.47,0.48,0.47,0.47,0.47,0.50,0.49,0.52,0.53,0.53
Debt to Equity Ratio,1.33,1.01,0.83,0.86,0.98,0.84,0.90,0.97,,,0.89,0.93,0.90,0.90,0.90,1.01,0.97,1.06,1.11,1.13
Interest Coverage Ratio,1.09,2.33,2.89,3.43,0.068,2.19,,,,,,0.90,,,,,,,,
Cash and Short Term Investments,33.1,42.0,77.2,28.8,57.6,75.3,86.3,89.9,,,92.4,95.4,86.3,103.3,89.7,90.8,89.9,101.9,81.3,75.3
"Total Receivables, Net",443.9,559.0,464.5,372.7,536.6,342.5,434.1,585.8,,,364.7,543.9,434.1,431.0,493.8,657.3,585.8,699.6,685.3,726.1
Total Inventory,"1,359","1,186","1,005","1,188","1,164","1,160","1,032",782.0,,,"1,087","1,011","1,032",973.5,866.0,837.0,782.0,752.4,841.1,794.3
Total Current Assets,"1,853","1,865","1,552","1,595","1,762","1,586","1,568","1,467",,,"1,556","1,662","1,568","1,517","1,460","1,594","1,467","1,560","1,614","1,602"
"Property/Plant/Equipment, Total - Net","2,229","2,206","2,313","2,296","2,255","2,208","2,187","2,206",,,"2,188","2,187","2,187","2,207","2,223","2,221","2,206","2,202","2,187","2,172"
Total Assets,"4,241","4,188","3,868","3,899","4,042","3,831","3,800","3,735",,,"3,796","3,889","3,800","3,771","3,731","3,874","3,735","3,824","3,862","3,835"
Accounts Payable,205.7,214.4,76.7,157.9,304.3,239.1,93.3,258.2,,,245.8,236.3,93.3,132.9,157.3,307.5,258.2,389.7,495.4,433.9
Accrued Expenses,38.9,125.0,35.4,29.5,33.6,27.2,27.1,22.6,,,18.8,25.2,27.1,21.7,19.8,21.5,22.6,15.3,20.3,20.7
Debt Due,"1,219","1,120","1,432","1,538","1,607","1,436","1,568","1,469",,,"1,388","1,493","1,568","1,539","1,505","1,541","1,469","1,468","1,436","1,503"
Total Current Liabilities,"1,492","1,491","1,632","1,759","1,971","1,711","1,767","1,824",,,"1,734","1,833","1,767","1,761","1,753","1,935","1,824","1,957","2,024","2,031"
Long Term Debt,925.9,601.3,99.7,1.44,6.24,4.10,16.6,6.95,,,32.2,24.4,16.6,8.75,7.78,7.37,6.95,6.89,1.25,1.19
Total Liabilities,"2,421","2,107","1,757","1,801","2,003","1,750","1,801","1,834",,,"1,786","1,878","1,801","1,784","1,769","1,950","1,834","1,971","2,030","2,037"
Common Stock,850.0,"1,032","1,045","1,045","1,045","1,045","1,045","1,045",,,"1,045","1,045","1,045","1,045","1,045","1,045","1,045","1,045","1,045","1,045"
Additional Paid-In Capital,918.5,918.5,918.5,918.5,918.5,918.5,918.5,918.5,,,918.5,918.5,918.5,918.5,918.5,918.5,918.5,918.5,918.5,918.5
Retained Earnings (Accumulated Deficit),51.6,130.4,147.0,134.2,75.1,117.1,37.7,-61.0,,,47.8,49.0,37.7,25.3,-0.74,-39.1,-61.0,-108.7,-124.5,-159.3
Shareholders' Equity,"1,820","2,081","2,111","2,098","2,039","2,081","2,000","1,900",,,"2,010","2,011","2,000","1,987","1,962","1,925","1,900","1,854","1,833","1,798"
Cash from Operating Activities,19.4,335.9,413.3,146.4,29.2,227.3,-63.2,204.9,,,53.7,-78.4,,80.9,54.7,-13.8,83.1,25.3,17.3,-69.7
Cash from Investing Activities,-107.0,-75.8,7.10,-96.8,-63.4,-35.7,-63.0,-92.3,,,5.34,-16.5,,-27.5,-33.6,-22.7,-8.50,-11.2,0.082,-1.86
Cash from Financing Activities,91.9,-251.2,-385.2,-98.0,62.6,-173.8,137.2,-108.6,,,-28.6,97.9,,-36.8,-35.3,36.3,-72.7,-0.94,-32.9,65.3
Net Change in Cash,4.36,8.89,35.2,-48.4,28.8,17.8,11.0,3.57,,,30.3,3.00,,16.9,-13.6,1.04,-0.87,12.0,-20.6,-6.03
Free Cashflows,-44.3,222.2,223.1,59.8,-15.4,191.9,-118.4,112.3,,,53.5,-98.2,,42.2,20.4,-30.1,79.8,10.6,14.4,-71.7
Free Cashflow per Share,-0.052,0.22,0.21,0.057,-0.015,0.18,-0.11,0.11,,,0.051,-0.094,,0.040,0.020,-0.029,0.076,0.010,0.014,-0.069
