,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,9.73,14.2,10.5,9.16,12.6,16.2,18.7,17.3,,,15.9,17.4,17.1,17.0,19.4,20.7,19.0,17.9,17.0,16.5
Earnings per Share,0.15,0.17,0.21,0.17,0.21,0.40,0.38,0.48,,,0.10,0.082,0.083,0.13,0.14,0.11,0.100,0.13,0.12,0.10
Revenue per Share,2.57,2.75,3.51,3.82,4.13,4.63,5.12,6.24,,,1.28,1.21,1.32,1.60,1.58,1.50,1.57,1.83,1.82,1.61
Dividend per Share,0.098,0.010,0.012,,,0.14,0.17,0.20,,,,,0.17,,,,0.20,,,
Capital Expenditures per Share,0.24,0.44,0.59,0.32,0.29,0.63,0.66,0.52,,,0.14,0.14,0.25,0.12,0.11,0.13,0.15,0.13,0.16,0.19
Book Value per Share,1.36,2.21,2.45,3.35,3.55,2.94,3.18,3.49,,,3.01,3.09,3.18,3.31,3.28,3.39,3.49,3.62,3.55,3.65
Price to Earnings Ratio,38.1,83.7,46.7,53.9,37.4,42.4,41.1,38.0,,,37.1,40.4,41.1,41.3,43.8,43.3,38.0,34.0,33.4,37.2
Price to Book Value Ratio,4.87,6.19,4.48,2.42,2.63,5.42,4.94,4.95,,,5.13,5.27,4.94,5.01,6.40,5.76,4.95,4.89,4.37,4.44
EV to EBITDA,17.3,43.1,26.3,25.1,19.4,26.9,27.2,26.0,,,21.6,28.1,27.2,26.5,26.6,26.9,26.0,23.9,24.0,22.5
Dividend Payout Ratio,65.4%,5.8%,5.4%,,,36.1%,44.1%,41.1%,,,,,44.1%,,,,41.1%,,,
Common Shares Outstanding,"3,264","4,036","4,202","4,202","4,202","4,202","4,202","4,202",,,"4,202","4,202","4,202","4,202","4,202","4,202","4,202","4,202","4,202","4,202"
Total Revenue,"8,383","11,090","14,737","16,034","17,373","19,465","21,523","26,202",,,"5,357","5,082","5,531","6,705","6,621","6,299","6,578","7,701","7,659","6,751"
"Cost of Revenue, Total","6,877","9,166","12,113","13,205","14,045","14,980","16,544","20,096",,,"4,077","3,916","4,305","5,120","5,003","4,836","5,137","6,039","5,934","5,144"
Gross Profit,"1,505","1,924","2,623","2,829","3,328","4,484","4,979","6,106",,,"1,280","1,165","1,227","1,585","1,617","1,462","1,441","1,662","1,725","1,608"
"Selling/General/Administrative Expenses, Total",702.9,958.6,"1,388","1,844","2,125","2,245","2,865","3,467",,,703.7,716.8,787.5,835.0,843.1,858.8,930.2,936.3,"1,029",993.4
Operating Income,802.5,965.2,"1,235",984.9,"1,203","2,239","2,139","2,663",,,576.0,448.5,464.0,750.3,774.1,603.7,535.0,725.7,696.8,614.1
Net Income,490.6,627.9,885.0,701.3,880.6,"1,676","1,609","2,003",,,432.3,343.4,348.9,566.1,574.5,443.4,419.1,541.7,520.1,437.9
EBITDA,"1,023","1,247","1,617","1,663","1,919","2,817","2,889","3,471",,,758.6,638.5,673.9,945.6,975.7,805.2,744.4,945.7,919.2,850.0
Gross Profit Margin,18.0%,17.3%,17.8%,17.6%,19.2%,23.0%,23.1%,23.3%,,,23.9%,22.9%,22.2%,23.6%,24.4%,23.2%,21.9%,21.6%,22.5%,23.8%
