,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,10.9,10.9,14.2,18.4,19.6,20.0,17.0,12.4,,,20.2,19.4,18.9,16.7,15.2,14.9,14.5,13.7,11.9,10.3
Earnings per Share,0.54,0.69,0.44,0.97,1.20,2.95,1.20,0.75,,,0.27,0.14,0.20,0.20,0.16,0.12,0.26,0.21,-0.086,0.35
Revenue per Share,17.6,19.6,17.7,8.82,8.63,10.1,8.73,8.65,,,2.09,2.11,2.17,2.14,2.13,2.23,2.14,2.14,2.02,1.93
Dividend per Share,0.40,0.55,0.50,0.55,0.60,1.70,0.70,0.60,,,,,0.70,,,,0.60,,,
Capital Expenditures per Share,1.34,1.60,1.04,0.39,0.24,2.18,0.38,0.28,,,0.10,0.062,0.16,0.096,0.12,0.040,0.025,0.038,0.030,0.11
Book Value per Share,18.6,19.3,18.9,19.4,19.5,20.7,21.4,21.4,,,20.9,21.1,21.4,21.6,21.0,21.2,21.4,21.6,21.0,21.4
Price to Earnings Ratio,19.3,14.8,25.0,13.3,12.8,6.44,15.8,18.3,,,11.4,13.7,15.8,19.8,20.9,21.0,18.3,17.7,19.1,13.9
Price to Book Value Ratio,0.57,0.55,0.65,0.68,0.79,0.92,0.85,0.64,,,0.92,0.88,0.85,0.67,0.72,0.64,0.64,0.60,0.47,0.47
EV to EBITDA,4.55,4.28,5.24,5.62,6.75,5.80,8.94,9.35,,,7.57,8.60,8.94,9.34,8.86,9.16,9.35,7.66,7.84,4.80
Dividend Payout Ratio,73.5%,79.8%,112.5%,56.7%,50.0%,57.7%,58.5%,80.3%,,,,,58.5%,,,,80.3%,,,
Common Shares Outstanding,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,,,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
Total Revenue,"1,895","2,114","1,909",952.6,931.7,"1,091",942.7,933.7,,,226.2,227.5,234.4,230.7,230.5,241.4,231.1,231.1,217.9,208.7
"Cost of Revenue, Total","1,700","1,892","1,728",797.4,755.4,852.4,746.2,758.7,,,176.9,186.4,189.2,190.2,185.2,196.2,187.2,192.5,181.2,178.0
Gross Profit,195.3,222.1,181.0,155.2,176.3,239.1,196.5,175.0,,,49.2,41.0,45.2,40.5,45.4,45.2,43.9,38.6,36.7,30.7
"Selling/General/Administrative Expenses, Total",163.7,193.7,191.6,95.7,103.0,141.4,151.8,155.3,,,46.4,34.7,34.7,36.2,52.4,35.6,31.0,32.6,46.4,33.0
Operating Income,31.6,28.4,-10.6,59.4,73.3,97.8,44.7,19.7,,,2.82,6.30,10.5,4.30,-7.08,9.56,12.9,6.03,-9.74,-2.31
Net Income,58.8,74.4,48.0,94.7,90.0,307.2,129.3,80.7,,,29.5,15.3,21.5,22.0,17.8,12.9,28.0,22.2,-9.28,37.5
EBITDA,209.3,200.0,149.7,210.6,195.8,168.3,108.2,92.2,,,18.2,21.8,27.0,22.3,11.0,28.0,30.9,23.6,7.57,14.9
Gross Profit Margin,10.3%,10.5%,9.5%,16.3%,18.9%,21.9%,20.8%,18.7%,,,21.8%,18.0%,19.3%,17.6%,19.7%,18.7%,19.0%,16.7%,16.8%,14.7%
Operating Margin,1.7%,1.3%,-0.6%,6.2%,7.9%,9.0%,4.7%,2.1%,,,1.2%,2.8%,4.5%,1.9%,-3.1%,4.0%,5.6%,2.6%,-4.5%,-1.1%
Net Profit Margin,3.1%,3.5%,2.5%,9.9%,9.7%,28.1%,13.7%,8.6%,,,13.0%,6.7%,9.2%,9.5%,7.7%,5.4%,12.1%,9.6%,-4.3%,18.0%
Return on Assets,2.4%,2.9%,1.9%,3.7%,3.5%,11.9%,4.8%,2.9%,,,6.8%,5.7%,4.8%,3.2%,2.8%,2.7%,3.0%,3.0%,2.0%,2.9%
Return on Equity,2.9%,3.6%,2.4%,4.5%,4.3%,13.7%,5.6%,3.5%,,,1.3%,0.7%,0.9%,0.9%,0.8%,0.6%,1.2%,1.0%,-0.4%,1.6%
Return on Total Capital,2.9%,3.6%,2.4%,4.5%,4.3%,13.7%,5.6%,3.5%,,,7.9%,6.5%,5.6%,3.8%,3.4%,3.2%,3.5%,3.5%,2.4%,3.4%
SG&A to Sale,8.6%,9.2%,10.0%,10.1%,11.1%,13.0%,16.1%,16.6%,,,20.5%,15.3%,14.8%,15.7%,22.7%,14.8%,13.4%,14.1%,21.3%,15.8%
Depreciation & Amortisation,177.7,171.6,160.3,151.1,122.5,70.5,63.5,72.5,,,15.4,15.5,16.5,18.0,18.1,18.4,18.0,17.6,17.3,17.2
Tax Rate,9.2%,3.5%,-3.3%,-0.4%,-10.9%,16.3%,13.0%,3.3%,,,7.9%,22.1%,9.9%,8.7%,-6.3%,-7.1%,8.5%,8.2%,197.6%,-205.4%
Current Ratio,5.45,4.90,5.43,5.74,5.95,7.80,7.94,6.68,,,7.91,9.45,7.94,7.68,6.92,6.13,6.68,7.26,5.52,4.74
Quick Ratio,2.40,1.74,1.73,2.59,2.87,1.74,4.07,1.22,,,3.76,4.67,4.07,4.09,2.03,1.52,1.22,1.12,1.01,1.22
Days Inventory Outstanding,91.8,83.2,82.1,161.8,105.4,35.2,36.6,42.5,,,37.5,36.4,35.2,35.9,38.7,45.9,50.6,48.9,47.9,49.3
Days Sale Outstanding,77.1,77.4,72.2,160.2,79.0,76.9,77.5,58.9,,,66.9,75.0,77.5,82.9,61.2,60.3,58.9,57.9,66.0,67.5
Days Payable Outstanding,21.2,19.1,38.9,78.3,41.4,16.8,35.9,32.8,,,31.0,28.8,31.9,34.3,43.8,53.7,44.0,33.5,39.0,40.6
Cash Conversion Cycle,170.6,118.3,125.1,235.7,226.8,73.7,86.4,78.3,,,88.8,79.7,79.6,82.2,57.5,51.1,77.5,73.1,66.7,80.6
Debt to Asset Ratio,0.12,0.14,0.14,0.14,0.13,0.10,0.13,0.12,,,0.10,0.092,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.13
Debt to Equity Ratio,0.15,0.18,0.17,0.18,0.16,0.12,0.16,0.14,,,0.12,0.11,0.16,0.16,0.16,0.15,0.14,0.13,0.16,0.15
Interest Coverage Ratio,"16,456",,,"12,311","49,725",,16.1,3.43,,,,,3.77,2.75,,7.15,10.2,4.94,,
Cash and Short Term Investments,366.7,410.0,532.6,569.1,652.4,"1,064","1,146",798.2,,,"1,094","1,127","1,146","1,182",986.1,883.5,798.2,835.5,759.9,727.3
