,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.12,4.08,5.43,10.0,12.2,18.4,34.1,40.1,,,12.9,19.4,30.8,37.4,34.7,35.0,36.5,44.5,45.8,41.6
Earnings per Share,-0.63,0.099,0.50,0.68,0.80,0.97,1.28,1.99,,,0.31,0.33,0.36,0.47,0.51,0.54,0.48,0.62,0.51,0.50
Revenue per Share,3.74,3.65,3.86,4.16,4.59,5.27,5.78,6.27,,,1.43,1.46,1.51,1.49,1.54,1.60,1.64,1.63,1.66,1.68
Dividend per Share,,0.040,0.20,0.28,0.33,0.40,0.53,0.82,,,,,0.53,,,,0.82,,,
Capital Expenditures per Share,0.12,0.060,0.044,0.041,0.038,0.10,0.095,0.036,,,0.013,0.044,0.038,0.000,0.011,0.011,0.014,0.033,0.020,0.008
Book Value per Share,1.89,2.01,2.38,2.86,3.39,4.00,4.88,6.34,,,4.19,4.52,4.88,5.35,5.32,5.86,6.34,6.96,6.65,7.15
Price to Earnings Ratio,,40.2,6.48,13.0,10.3,13.5,20.7,15.3,,,11.0,14.4,20.7,23.8,19.0,18.1,15.3,18.9,21.3,19.5
Price to Book Value Ratio,1.04,2.01,1.46,3.39,2.57,3.40,6.29,5.56,,,2.70,4.11,6.29,6.58,6.76,5.20,5.56,6.22,6.43,5.52
EV to EBITDA,-21.1,32.4,21.7,21.7,22.1,24.4,25.7,19.0,,,18.5,18.9,25.7,28.6,21.3,21.8,19.0,21.4,24.8,22.9
Dividend Payout Ratio,,40.4%,40.2%,40.4%,40.4%,41.3%,41.4%,41.1%,,,,,41.4%,,,,41.1%,,,
Common Shares Outstanding,"2,578","2,578","2,578","2,578","2,578","2,578","2,578","2,578",,,"2,578","2,578","2,578","2,578","2,578","2,578","2,578","2,578","2,578","2,578"
Total Revenue,"4,876","7,078","6,319","7,511","8,676","9,909","11,131","13,797",,,"2,698","2,841","3,028","3,277","3,436","3,535","3,549","3,785","3,529","3,515"
"Cost of Revenue, Total",,,,,,,,,,,,,,,,,,,,
Gross Profit,"4,657","6,957","5,712","7,190","8,267","9,514","10,812","13,520",,,"2,622","2,747","2,949","3,181","3,406","3,441","3,492","3,699","3,401","3,423"
"Selling/General/Administrative Expenses, Total","6,226","5,842","4,424","5,027","5,758","6,470","6,670","7,023",,,"1,751","1,813","1,428","1,811","1,836","1,825","1,551","1,839","1,913","1,932"
