,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,54.0,56.3,56.9,62.0,61.5,69.0,82.0,86.3,,,61.5,65.0,67.5,84.5,85.0,94.0,79.8,74.8,75.1,77.0
Earnings per Share,2.03,3.11,3.85,3.48,3.39,2.99,3.35,2.59,,,0.56,0.60,1.14,0.95,0.53,0.60,0.52,1.04,0.33,0.43
Revenue per Share,6.49,7.42,8.03,7.58,7.79,7.55,8.01,8.10,,,1.86,1.80,2.13,2.29,1.90,1.88,2.03,2.31,1.82,1.75
Dividend per Share,1.40,2.00,2.35,2.09,2.04,1.80,2.02,1.70,,,,,2.02,,,,1.70,,,
Capital Expenditures per Share,0.066,0.45,0.40,0.60,17.1,0.78,1.77,1.58,,,0.23,0.16,1.38,0.079,0.17,0.68,0.64,0.087,0.074,0.27
Book Value per Share,89.5,70.9,74.3,75.5,59.6,61.0,62.6,63.0,,,60.8,61.4,62.6,63.6,62.0,62.7,63.0,64.0,62.7,63.1
Price to Earnings Ratio,21.2,17.8,13.6,16.7,17.7,20.4,20.0,26.6,,,20.1,21.3,20.0,19.8,30.8,27.6,26.6,26.1,30.1,34.0
Price to Book Value Ratio,0.42,0.73,0.74,0.78,1.02,0.98,1.07,1.10,,,1.00,1.07,1.07,1.05,1.60,1.42,1.10,1.09,1.19,1.26
EV to EBITDA,12.7,14.6,12.3,14.6,15.6,15.4,17.1,22.5,,,15.6,15.6,17.1,16.7,27.4,0.00,22.5,0.00,20.5,21.3
Dividend Payout Ratio,68.9%,64.3%,61.0%,60.1%,60.2%,60.2%,60.3%,65.6%,,,,,60.3%,,,,65.6%,,,
Common Shares Outstanding,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,,,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
Total Revenue,133.0,152.1,164.5,155.5,159.7,154.7,164.2,166.1,,,38.1,36.9,43.7,46.9,39.0,38.6,41.6,47.4,37.3,36.0
"Cost of Revenue, Total",53.7,57.5,57.4,55.3,55.5,56.1,62.9,66.4,,,15.8,16.2,16.3,16.5,16.9,16.2,16.7,15.6,18.2,17.3
Gross Profit,79.2,94.6,107.1,100.2,104.3,98.6,101.3,99.8,,,22.3,20.7,27.4,30.4,22.1,22.4,24.9,31.8,19.1,18.6
"Selling/General/Administrative Expenses, Total",28.2,32.9,32.0,32.8,37.8,35.4,38.1,42.1,,,10.1,9.22,11.1,8.90,10.5,9.71,12.9,9.48,12.7,10.1
Operating Income,51.1,61.7,75.1,67.4,66.4,63.2,63.2,57.7,,,12.2,11.5,16.3,21.5,11.5,12.7,12.0,22.3,6.41,8.54
Net Income,41.7,63.8,79.0,71.3,69.5,61.3,68.6,53.0,,,11.5,12.4,23.5,19.4,10.8,12.2,10.6,21.4,6.86,8.88
EBITDA,63.0,66.4,80.4,72.6,72.8,72.4,76.1,75.9,,,15.3,14.7,19.7,25.7,15.9,17.1,17.2,26.5,10.7,13.8
Gross Profit Margin,59.6%,62.2%,65.1%,64.5%,65.3%,63.7%,61.7%,60.1%,,,58.5%,56.1%,62.6%,64.8%,56.5%,58.0%,59.9%,67.0%,51.2%,51.8%
Operating Margin,38.4%,40.6%,45.6%,43.3%,41.6%,40.8%,38.5%,34.7%,,,31.9%,31.1%,37.3%,45.8%,29.5%,32.8%,28.9%,47.0%,17.2%,23.7%
Net Profit Margin,31.3%,42.0%,48.0%,45.9%,43.5%,39.6%,41.8%,31.9%,,,30.2%,33.5%,53.7%,41.4%,27.8%,31.6%,25.4%,45.1%,18.4%,24.7%
Return on Assets,2.3%,3.5%,4.5%,4.0%,4.3%,4.3%,4.7%,3.6%,,,4.2%,4.1%,4.7%,4.5%,4.5%,4.5%,3.6%,3.7%,3.4%,3.2%
Return on Equity,2.3%,4.4%,5.2%,4.6%,5.7%,4.9%,5.3%,4.1%,,,0.9%,1.0%,1.8%,1.5%,0.9%,0.9%,0.8%,1.6%,0.5%,0.7%
Return on Total Capital,2.3%,4.4%,5.2%,4.6%,5.7%,4.9%,5.3%,4.1%,,,4.9%,4.7%,5.3%,5.1%,5.2%,5.1%,4.1%,4.2%,4.0%,3.7%
SG&A to Sale,21.2%,21.7%,19.5%,21.1%,23.7%,22.9%,23.2%,25.3%,,,26.6%,25.0%,25.4%,19.0%,27.0%,25.1%,31.0%,20.0%,34.0%,28.0%
Depreciation & Amortisation,12.0,4.75,5.33,5.25,6.35,9.26,12.9,18.2,,,3.19,3.25,3.45,4.26,4.35,4.47,5.13,4.22,4.26,5.23
Tax Rate,29.2%,19.3%,17.4%,17.9%,18.0%,18.6%,11.2%,21.9%,,,18.4%,17.5%,-6.3%,20.1%,19.9%,19.4%,29.1%,19.8%,18.9%,21.8%
Current Ratio,2.64,1.95,3.01,4.22,5.07,4.05,2.70,1.17,,,3.92,2.91,2.70,2.80,1.70,1.68,1.17,2.26,3.01,4.29
Quick Ratio,1.41,0.49,0.068,0.19,1.04,1.56,1.06,0.34,,,1.44,1.10,1.06,0.67,0.12,0.12,0.34,0.14,2.12,2.69
