,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,6.70,5.60,6.08,,,,,,5.53,5.73,5.33,5.58
Earnings per Share,0.97,0.87,0.72,0.75,0.44,0.22,0.48,0.44,,,,,,0.24,0.042,0.061,0.10
Revenue per Share,1.00,0.95,0.95,0.95,0.65,0.61,0.56,0.56,,,,,,0.28,0.071,0.088,0.12
Dividend per Share,0.81,0.74,0.71,0.71,0.47,0.33,0.48,0.44,,,,,,,0.26,0.00,0.17
Capital Expenditures per Share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,0.00,0.00,0.00,0.00
Book Value per Share,10.6,10.7,10.7,10.7,10.4,10.2,8.97,9.11,,,,,,9.21,9.25,9.01,9.11
Price to Earnings Ratio,,,,,,,11.2,11.6,,,,,,21.4,19.6,15.2,11.6
Price to Book Value Ratio,,,,,,,0.57,0.61,,,,,,0.59,0.59,0.56,0.61
EV to EBITDA,,,,,,,,12.3,,,,,,22.9,21.2,16.6,12.3
Dividend Payout Ratio,84.1%,84.5%,98.5%,94.8%,107.6%,144.5%,99.9%,98.9%,,,,,,,95.0%,0.0%,38.9%
Common Shares Outstanding,409.4,409.4,409.4,409.4,409.4,409.4,409.4,409.4,,,,,,409.4,409.4,409.4,409.4
Total Revenue,408.5,386.9,388.3,389.3,266.8,248.1,231.0,227.2,,,,,,112.7,28.9,36.1,49.6
"Cost of Revenue, Total",22.5,21.0,21.0,21.0,20.6,8.22,5.25,6.71,,,,,,1.66,1.68,1.68,1.68
Gross Profit,386.0,366.0,367.4,368.3,246.2,239.9,225.8,220.5,,,,,,111.1,27.2,34.4,47.9
"Selling/General/Administrative Expenses, Total",16.6,38.2,16.8,12.1,9.73,29.0,8.43,9.64,,,,,,2.58,2.69,2.07,2.31
Operating Income,369.4,327.8,350.6,356.2,236.5,211.0,217.3,210.9,,,,,,108.5,24.5,32.3,45.6
Net Income,395.3,356.1,295.0,307.1,178.9,92.1,198.2,180.2,,,,,,96.6,17.2,24.9,41.5
EBITDA,369.4,327.8,350.6,356.2,236.5,211.0,217.3,210.9,,,,,,108.5,24.5,32.3,45.6
Gross Profit Margin,94.5%,94.6%,94.6%,94.6%,92.3%,96.7%,97.7%,97.0%,,,,,,98.5%,94.2%,95.3%,96.6%
Operating Margin,90.4%,84.7%,90.3%,91.5%,88.6%,85.0%,94.1%,92.8%,,,,,,96.2%,84.9%,89.6%,91.9%
Net Profit Margin,96.8%,92.0%,76.0%,78.9%,67.0%,37.1%,85.8%,79.3%,,,,,,85.7%,59.4%,69.2%,83.8%
Return on Assets,9.1%,8.1%,6.7%,7.0%,4.1%,2.2%,4.6%,4.1%,,,,,,2.2%,2.6%,3.2%,4.1%
Return on Equity,9.1%,8.2%,6.8%,7.0%,4.2%,2.2%,5.4%,4.8%,,,,,,2.6%,0.5%,0.7%,1.1%
Return on Total Capital,9.1%,8.2%,6.8%,7.0%,4.2%,2.2%,4.7%,4.2%,,,,,,2.2%,2.6%,3.2%,4.2%
SG&A to Sale,4.1%,9.9%,4.3%,3.1%,3.6%,11.7%,3.7%,4.2%,,,,,,2.3%,9.3%,5.7%,4.7%
Depreciation & Amortisation,,,,,,,,,,,,,,,,,
Tax Rate,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,0.0%,0.0%,0.0%,0.0%
Current Ratio,15.3,5.67,5.27,8.31,3.20,1.49,1.87,0.46,,,,,,5.74,4.02,0.34,0.46
Quick Ratio,7.17,3.24,3.19,5.09,0.00,0.00,0.00,0.00,,,,,,0.47,0.00,0.00,0.00
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,0.00,0.00,0.00,0.00
Days Sale Outstanding,87.6,87.4,87.1,90.4,,,,,,,,,,49.1,,,
Days Payable Outstanding,199.7,343.0,476.9,395.0,346.7,"1,769","4,850","3,615",,,,,,"6,079","3,754","2,920","2,470"
Cash Conversion Cycle,-111.3,-381.0,-394.4,-218.5,-312.4,"-2,587","-5,652","-2,806",,,,,,"-6,030","-4,472","-2,850","-2,806"
