,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,7.23,10.5,9.55,10.9,9.75,12.3,11.5,8.75,,,13.7,14.2,13.1,11.4,9.90,9.05,8.93,9.20,9.30,8.50
Earnings per Share,0.48,0.68,0.70,0.72,0.72,0.58,0.85,0.61,,,0.32,0.17,0.11,0.17,0.100,0.19,0.16,0.18,0.061,0.081
Revenue per Share,5.62,6.56,6.74,6.83,7.06,6.82,7.05,7.50,,,1.67,1.66,1.85,1.81,1.82,1.89,1.98,1.84,1.62,1.65
Dividend per Share,0.24,0.37,0.50,0.63,0.58,0.90,0.80,0.56,,,0.35,0.00,0.45,0.00,0.20,0.00,0.36,,,0.20
Capital Expenditures per Share,0.025,0.031,0.095,0.16,0.12,0.072,0.074,0.14,,,0.009,0.022,0.037,0.017,0.017,0.030,0.073,0.059,0.044,0.038
Book Value per Share,1.82,2.20,2.53,2.69,2.95,2.96,2.87,2.85,,,2.94,2.75,2.87,3.04,2.64,2.63,2.85,3.04,2.76,2.63
Price to Earnings Ratio,9.43,14.0,11.4,13.8,13.4,17.5,14.6,14.6,,,13.3,15.8,14.6,13.7,15.7,15.9,14.6,13.8,14.9,16.1
Price to Book Value Ratio,2.22,4.76,3.40,3.80,3.37,3.14,4.22,3.05,,,4.59,4.46,4.22,3.32,3.45,3.27,3.05,2.97,3.19,2.96
EV to EBITDA,3.65,8.91,7.87,9.40,9.42,9.80,15.9,10.1,,,12.0,16.3,15.9,14.7,14.2,11.1,10.1,9.28,10.8,12.0
Dividend Payout Ratio,50.1%,54.3%,71.2%,88.0%,80.1%,156.0%,94.2%,91.1%,,,43.0%,0.0%,53.0%,0.0%,36.0%,0.0%,58.6%,,,41.3%
Common Shares Outstanding,598.2,598.2,598.2,598.2,598.2,598.2,598.2,598.2,,,598.2,598.2,598.2,598.2,598.2,598.2,598.2,598.2,598.2,598.2
Total Revenue,"3,363","3,923","4,030","4,085","4,223","4,082","4,219","4,484",,,999.4,995.4,"1,105","1,083","1,091","1,128","1,183","1,101",971.6,988.8
"Cost of Revenue, Total","2,422","2,819","2,870","2,928","3,039","2,933","3,056","3,224",,,727.4,728.6,814.5,785.1,778.7,802.4,857.5,788.4,668.2,703.1
Gross Profit,941.0,"1,104","1,160","1,157","1,184","1,149","1,163","1,261",,,272.0,266.7,290.8,298.1,312.2,325.3,325.3,312.4,303.3,285.7
"Selling/General/Administrative Expenses, Total",536.7,585.8,655.3,626.8,630.8,628.3,722.2,810.2,,,191.7,169.6,204.2,169.8,244.0,191.0,206.5,177.0,251.3,222.1
Operating Income,404.3,517.8,505.0,530.4,552.9,521.2,440.7,450.4,,,80.3,97.1,86.5,128.3,68.2,134.3,118.9,135.4,52.0,63.6
Net Income,287.4,407.8,420.0,428.4,433.2,345.1,507.8,367.9,,,191.1,104.4,67.7,100.6,59.7,110.9,96.3,108.5,36.7,48.4
EBITDA,417.2,531.0,520.4,548.9,581.0,559.4,482.6,498.7,,,90.2,108.5,97.7,139.7,79.9,146.6,131.8,148.7,66.4,78.8
Gross Profit Margin,28.0%,28.1%,28.8%,28.3%,28.0%,28.2%,27.6%,28.1%,,,27.2%,26.8%,26.3%,27.5%,28.6%,28.8%,27.5%,28.4%,31.2%,28.9%
Operating Margin,12.0%,13.2%,12.5%,13.0%,13.1%,12.8%,10.4%,10.0%,,,8.0%,9.8%,7.8%,11.8%,6.3%,11.9%,10.0%,12.3%,5.4%,6.4%
Net Profit Margin,8.5%,10.4%,10.4%,10.5%,10.3%,8.5%,12.0%,8.2%,,,19.1%,10.5%,6.1%,9.3%,5.5%,9.8%,8.1%,9.9%,3.8%,4.9%
Return on Assets,17.3%,21.3%,19.7%,18.9%,18.0%,13.6%,19.9%,14.4%,,,18.6%,20.5%,20.8%,17.7%,13.0%,14.0%,14.7%,14.2%,13.5%,11.7%
Return on Equity,26.4%,30.9%,27.7%,26.7%,24.5%,19.5%,29.6%,21.5%,,,10.9%,6.3%,3.9%,5.5%,3.8%,7.0%,5.6%,6.0%,2.2%,3.1%
