,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,23.4,23.7,23.8,27.1,23.9,23.6,31.5,28.6,,,23.7,23.8,24.7,28.8,35.4,31.3,28.1,29.0,31.1,26.5
Earnings per Share,0.18,0.32,0.34,0.42,0.48,0.51,0.70,1.04,,,0.18,0.22,0.15,0.23,0.28,0.32,0.22,0.27,0.30,0.34
Revenue per Share,5.55,5.85,6.30,6.23,6.64,6.90,7.71,8.93,,,1.98,2.11,1.94,1.98,2.26,2.45,2.23,2.23,2.49,2.44
Dividend per Share,0.030,0.12,0.13,0.17,0.19,0.24,0.82,1.04,,,0.14,0.00,0.68,,0.50,0.00,0.54,,0.57,0.00
Capital Expenditures per Share,0.12,0.12,0.15,0.081,0.11,0.086,0.079,0.16,,,0.017,0.012,0.030,0.032,0.056,0.040,0.029,0.031,0.012,0.028
Book Value per Share,3.56,4.03,4.24,4.51,4.79,5.05,5.45,5.28,,,5.24,5.32,5.45,5.68,5.26,5.10,5.28,5.57,5.34,5.10
Price to Earnings Ratio,122.9,73.2,69.1,54.9,49.7,45.7,34.4,25.7,,,39.5,32.2,34.4,38.1,40.5,32.5,25.7,23.9,26.6,24.2
Price to Book Value Ratio,6.20,5.68,5.55,5.17,4.93,4.58,4.53,4.88,,,4.52,4.43,4.53,4.80,5.79,5.89,4.88,4.89,5.38,4.67
EV to EBITDA,43.4,33.2,35.5,33.0,30.8,28.8,21.8,18.9,,,25.0,21.2,21.8,20.8,23.9,23.2,18.9,18.4,19.3,17.7
Dividend Payout Ratio,16.6%,35.8%,38.6%,40.2%,39.9%,47.5%,117.2%,99.9%,,,23.6%,0.0%,97.2%,,57.0%,0.0%,51.9%,,51.3%,0.0%
Common Shares Outstanding,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,,,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5
Total Revenue,"1,927","2,032","2,189","2,165","2,308","2,397","2,679","3,101",,,689.5,734.7,675.0,689.6,785.5,851.2,773.8,774.5,865.8,846.4
"Cost of Revenue, Total","1,073","1,013","1,061","1,012","1,099","1,125","1,307","1,495",,,348.4,363.1,328.9,322.2,387.3,430.2,355.1,349.1,408.9,388.1
Gross Profit,853.8,"1,020","1,128","1,152","1,209","1,272","1,372","1,607",,,341.0,371.6,346.1,367.4,398.1,421.0,418.7,425.4,456.9,458.3
"Selling/General/Administrative Expenses, Total",718.2,823.6,947.8,953.1,996.8,"1,051","1,067","1,156",,,261.3,273.5,284.5,267.3,277.1,284.4,326.9,304.4,327.3,310.4
Operating Income,135.6,196.3,180.2,199.4,212.1,221.1,305.3,450.9,,,79.7,98.0,61.6,100.1,121.0,136.6,91.8,121.0,129.5,147.9
Net Income,62.8,111.5,117.1,146.9,165.5,175.7,243.1,361.6,,,63.2,77.9,51.0,79.4,96.5,110.3,75.5,95.2,104.8,116.6
EBITDA,190.5,252.7,237.3,256.1,270.5,279.9,359.5,499.7,,,93.6,111.6,74.3,112.1,133.3,149.0,103.9,132.6,141.3,159.8
Gross Profit Margin,44.3%,50.2%,51.5%,53.2%,52.4%,53.1%,51.2%,51.8%,,,49.5%,50.6%,51.3%,53.3%,50.7%,49.5%,54.1%,54.9%,52.8%,54.1%
Operating Margin,7.0%,9.7%,8.2%,9.2%,9.2%,9.2%,11.4%,14.5%,,,11.6%,13.3%,9.1%,14.5%,15.4%,16.0%,11.9%,15.6%,15.0%,17.5%
Net Profit Margin,3.3%,5.5%,5.4%,6.8%,7.2%,7.3%,9.1%,11.7%,,,9.2%,10.6%,7.6%,11.5%,12.3%,13.0%,9.8%,12.3%,12.1%,13.8%
Return on Assets,3.1%,5.1%,5.1%,6.4%,7.3%,7.9%,10.5%,14.5%,,,9.2%,11.3%,10.4%,11.2%,12.6%,14.0%,14.3%,14.2%,13.9%,13.5%
Return on Equity,5.1%,8.0%,8.0%,9.4%,10.0%,10.0%,12.8%,19.7%,,,3.5%,4.2%,2.7%,4.0%,5.3%,6.2%,4.1%,4.9%,5.6%,6.6%
Return on Total Capital,5.1%,8.0%,8.0%,9.4%,10.0%,10.0%,12.8%,19.7%,,,11.3%,13.7%,12.8%,13.8%,16.7%,19.0%,19.7%,19.5%,20.8%,22.1%
SG&A to Sale,37.3%,40.5%,43.3%,44.0%,43.2%,43.8%,39.8%,37.3%,,,37.9%,37.2%,42.2%,38.8%,35.3%,33.4%,42.3%,39.3%,37.8%,36.7%
Depreciation & Amortisation,54.9,56.4,57.1,56.7,58.4,58.7,54.2,48.8,,,13.9,13.6,12.7,12.0,12.3,12.4,12.1,11.6,11.7,11.9
Tax Rate,47.2%,36.0%,28.6%,21.0%,18.7%,19.4%,20.0%,19.8%,,,20.1%,20.4%,17.0%,20.6%,20.1%,19.9%,18.4%,20.4%,19.9%,20.4%
Current Ratio,1.95,2.07,2.16,2.55,3.44,4.18,4.63,3.05,,,5.65,5.10,4.63,4.88,4.11,3.32,3.05,3.17,2.66,2.18
Quick Ratio,0.68,0.69,0.54,0.60,0.84,1.07,1.92,1.15,,,1.77,1.93,1.92,2.03,1.57,1.24,1.15,1.09,0.83,0.61
Days Inventory Outstanding,311.0,389.0,390.3,434.0,394.0,372.9,296.9,255.5,,,345.0,292.3,273.6,266.0,263.3,248.1,256.6,282.9,310.6,349.6
Days Sale Outstanding,100.9,88.5,61.4,52.1,52.8,48.5,47.8,54.8,,,54.7,58.2,47.8,53.6,58.7,60.4,54.8,59.4,57.5,55.9
Days Payable Outstanding,53.1,42.9,40.0,43.1,39.1,41.2,39.7,41.1,,,37.2,39.9,42.1,45.6,48.3,45.4,44.7,47.6,53.1,51.7
Cash Conversion Cycle,375.6,443.8,418.9,450.8,404.4,380.3,300.2,258.8,,,356.5,304.3,283.8,265.8,271.0,261.5,268.5,288.4,312.9,360.4
Debt to Asset Ratio,0.42,0.38,0.36,0.32,0.25,0.22,0.21,0.29,,,0.17,0.19,0.21,0.20,0.23,0.27,0.29,0.29,0.34,0.41
Debt to Equity Ratio,0.72,0.62,0.56,0.47,0.33,0.28,0.26,0.42,,,0.21,0.23,0.26,0.25,0.30,0.38,0.42,0.40,0.52,0.69
