,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.51,3.05,4.95,4.43,5.44,8.85,11.7,10.9,,,8.43,9.75,11.2,12.3,11.9,11.3,10.9,10.9,11.2,10.1
Earnings per Share,0.016,0.14,0.33,0.34,0.25,0.29,0.57,1.20,,,0.12,0.15,0.18,0.26,0.29,0.34,0.30,0.30,0.36,0.33
Revenue per Share,2.66,2.99,3.11,3.10,2.82,2.85,3.93,5.72,,,0.83,1.04,1.22,1.41,1.44,1.46,1.40,1.42,1.34,1.28
Dividend per Share,0.030,0.12,0.20,0.20,0.15,0.15,0.25,0.60,,,,,0.25,,,,0.60,,,
Capital Expenditures per Share,0.030,0.084,0.033,0.26,1.09,1.11,0.33,0.11,,,0.098,0.097,0.050,0.022,0.011,0.035,0.037,0.068,0.065,0.051
Book Value per Share,1.89,1.99,2.72,2.84,3.00,3.14,3.17,4.12,,,3.19,3.32,3.17,3.43,3.47,3.81,4.12,4.42,4.18,4.52
Price to Earnings Ratio,72.9,11.8,9.17,14.6,13.6,25.5,17.5,9.20,,,20.7,20.3,17.5,17.4,13.2,9.84,9.20,7.97,7.91,7.63
Price to Book Value Ratio,0.59,1.25,1.09,1.50,1.14,2.47,3.63,2.43,,,2.75,2.76,3.63,3.09,3.23,2.49,2.43,2.31,2.49,2.10
EV to EBITDA,3.54,3.49,3.56,7.00,7.94,15.7,13.2,6.67,,,13.0,15.0,13.2,12.5,9.83,7.46,6.67,5.93,6.47,5.53
Dividend Payout Ratio,192.0%,83.5%,60.3%,58.9%,59.5%,50.9%,44.2%,50.2%,,,,,44.2%,,,,50.2%,,,
Common Shares Outstanding,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,,,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0
Total Revenue,"1,730","1,945","2,021","2,012","1,835","1,853","2,552","3,719",,,539.7,677.0,791.1,919.0,938.7,950.5,911.1,923.1,869.6,830.5
"Cost of Revenue, Total","1,630","1,763","1,705","1,696","1,587","1,562","2,075","2,749",,,445.2,551.3,632.1,709.1,696.3,675.5,668.0,677.1,581.0,557.8
Gross Profit,100.0,182.3,315.1,316.2,248.4,291.0,476.9,970.4,,,94.5,125.8,159.0,210.0,242.4,275.0,243.1,246.0,288.7,272.7
"Selling/General/Administrative Expenses, Total",61.3,69.5,68.4,72.7,73.4,74.2,93.6,115.7,,,22.4,23.4,27.5,24.1,28.6,28.3,35.1,30.2,29.9,30.1
Operating Income,38.7,112.8,246.8,243.6,175.0,216.8,383.3,854.7,,,72.1,102.4,131.5,185.9,213.8,246.7,208.0,215.8,258.8,242.6
Net Income,10.2,93.5,215.5,220.7,164.0,191.5,367.9,777.2,,,76.5,98.5,114.1,167.4,188.4,223.5,197.8,197.6,235.3,217.3
