,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.52,8.38,8.08,6.25,6.64,8.55,6.45,6.55,,,8.43,7.98,7.48,5.98,5.68,5.43,5.70,6.88,7.35,5.90
Earnings per Share,0.15,0.28,0.42,0.46,2.15,0.41,0.33,0.58,,,0.070,0.070,0.11,0.090,0.44,0.049,0.011,0.060,0.25,0.040
Revenue per Share,1.31,1.45,1.56,1.75,1.98,2.67,2.66,2.31,,,0.70,0.68,0.67,0.61,0.60,0.58,0.59,0.56,0.56,0.57
Dividend per Share,0.048,0.090,0.25,0.15,1.90,0.55,0.55,0.58,,,0.20,0.15,0.20,0.30,0.00,0.00,0.28,,,0.30
Capital Expenditures per Share,0.32,0.20,0.24,0.37,0.50,0.64,0.49,0.50,,,0.12,0.12,0.13,0.21,0.095,0.12,0.10,0.070,0.058,0.082
Book Value per Share,0.98,1.41,1.60,1.70,2.23,1.72,2.04,2.17,,,1.70,1.66,2.04,2.08,2.08,2.11,2.17,2.22,2.22,2.26
Price to Earnings Ratio,16.2,23.9,18.4,19.2,1.27,21.5,20.9,10.3,,,19.6,21.0,20.9,17.1,7.54,7.48,10.2,10.7,18.3,14.4
Price to Book Value Ratio,2.85,4.82,4.95,3.38,1.56,4.90,3.02,2.49,,,4.83,4.29,3.02,2.08,2.67,2.11,2.49,3.24,2.89,2.21
EV to EBITDA,3.92,9.62,8.80,9.26,4.07,13.0,9.89,7.17,,,11.4,11.3,9.89,8.10,7.17,7.19,7.17,7.64,8.77,8.62
Dividend Payout Ratio,32.4%,31.8%,59.4%,32.6%,88.4%,134.1%,166.7%,100.0%,,,50.2%,44.3%,60.7%,88.4%,0.0%,0.0%,47.5%,,,83.2%
Common Shares Outstanding,"7,244","7,137","7,137","6,995","7,133","5,937","6,671","7,985",,,"6,378","6,495","6,671","7,418","7,697","7,908","7,985","8,139","8,151","8,154"
Total Revenue,"9,498","10,369","11,165","12,268","14,137","15,825","17,715","18,419",,,"4,453","4,402","4,453","4,504","4,629","4,592","4,693","4,586","4,585","4,662"
"Cost of Revenue, Total","4,638","4,686","4,475","4,713","8,407","9,711","11,031","11,267",,,"2,917","2,906","2,283","2,734","2,810","2,815","2,907","2,794","2,910","3,023"
Gross Profit,"4,860","5,683","6,690","7,555","5,730","6,114","6,683","7,152",,,"1,537","1,496","2,170","1,770","1,819","1,777","1,785","1,792","1,676","1,638"
"Selling/General/Administrative Expenses, Total","2,504","2,372","2,563","2,889","3,347","3,926","4,187","4,752",,,"1,032","1,021","1,179","1,211","1,202","1,255","1,084","1,283","1,349","1,168"
Operating Income,"2,184","2,932","3,920","4,504","2,160","1,850","2,272","2,169",,,445.9,418.3,942.0,501.2,554.7,461.6,651.4,448.2,266.9,410.4
Net Income,"1,072","2,028","3,003","3,271","15,710","3,002","2,693","4,913",,,552.2,531.5,916.4,757.7,"3,644",388.1,123.1,559.5,"2,221",342.3
EBITDA,"3,992","4,607","5,795","6,554","4,192","4,462","5,959","6,619",,,"1,339","1,360","1,954","1,507","1,624","1,587","1,900","1,692","1,542","1,717"
Gross Profit Margin,51.2%,54.8%,59.9%,61.6%,40.5%,38.6%,37.7%,38.8%,,,34.5%,34.0%,48.7%,39.3%,39.3%,38.7%,38.0%,39.1%,36.5%,35.1%
Operating Margin,23.0%,28.3%,35.1%,36.7%,15.3%,11.7%,12.8%,11.8%,,,10.0%,9.5%,21.2%,11.1%,12.0%,10.1%,13.9%,9.8%,5.8%,8.8%
Net Profit Margin,11.3%,19.6%,26.9%,26.7%,111.1%,19.0%,15.2%,26.7%,,,12.4%,12.1%,20.6%,16.8%,78.7%,8.5%,2.6%,12.2%,48.4%,7.3%
Return on Assets,5.5%,10.3%,14.5%,14.6%,42.6%,6.1%,5.5%,9.5%,,,6.6%,5.6%,5.4%,5.4%,11.0%,10.8%,9.3%,8.9%,6.3%,6.3%
Return on Equity,15.1%,20.2%,26.4%,27.5%,98.9%,29.3%,19.8%,28.3%,,,5.1%,4.9%,6.7%,4.9%,22.7%,2.3%,0.7%,3.1%,12.3%,1.9%
Return on Total Capital,12.7%,15.3%,22.0%,24.9%,94.3%,19.5%,15.3%,22.0%,,,20.3%,17.6%,15.3%,13.6%,27.7%,25.8%,22.0%,20.7%,14.0%,13.6%
SG&A to Sale,26.4%,22.9%,23.0%,23.5%,23.7%,24.8%,23.6%,25.8%,,,23.2%,23.2%,26.5%,26.9%,26.0%,27.3%,23.1%,28.0%,29.4%,25.1%
Depreciation & Amortisation,"1,808","1,675","1,875","2,051","2,032","2,612","3,687","4,450",,,893.3,942.2,"1,012","1,006","1,070","1,126","1,249","1,243","1,275","1,306"
