,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.73,1.32,1.38,2.00,2.84,2.92,2.34,2.02,,,2.81,2.75,2.58,2.50,2.51,2.33,2.04,2.02,2.11,1.89
Earnings per Share,0.018,0.037,0.048,0.047,0.057,0.051,0.060,0.049,,,0.014,0.021,0.016,0.013,0.013,0.015,0.008,0.007,0.010,0.026
Revenue per Share,0.15,0.38,0.36,0.39,0.43,0.44,0.47,0.50,,,0.11,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.13
Dividend per Share,0.019,0.025,0.025,0.030,0.032,0.035,0.036,0.040,,,,,0.036,,,,0.040,,,
Capital Expenditures per Share,0.024,0.022,0.030,0.049,0.055,0.10,0.082,0.036,,,0.061,0.006,0.009,0.013,0.008,0.009,0.006,0.014,0.041,0.011
Book Value per Share,0.30,0.35,0.34,0.39,0.42,0.52,0.53,0.54,,,0.49,0.52,0.53,0.54,0.51,0.54,0.54,0.59,0.57,0.58
Price to Earnings Ratio,29.5,29.7,19.3,34.6,40.1,57.1,42.3,39.3,,,48.3,44.9,41.2,40.6,37.3,37.8,39.2,38.9,50.8,36.7
Price to Book Value Ratio,2.32,4.04,2.92,3.99,6.48,5.73,4.55,3.58,,,5.80,4.95,4.55,4.06,5.01,3.70,3.58,2.93,3.36,3.11
EV to EBITDA,23.1,12.0,12.1,18.1,20.4,32.0,24.8,21.3,,,28.5,28.1,24.8,22.9,21.9,22.3,21.3,24.0,28.6,24.9
Dividend Payout Ratio,102.7%,66.9%,52.5%,63.3%,56.3%,68.5%,60.0%,81.8%,,,,,58.3%,,,,81.8%,,,
Common Shares Outstanding,"10,481","10,481","12,577","12,577","12,608","13,164","13,197","13,199",,,"13,164","13,164","13,197","13,197","13,197","13,197","13,199","13,199","13,199","13,199"
Total Revenue,"1,623","4,031","4,570","4,960","5,469","5,824","6,196","6,570",,,"1,431","1,714","1,640","1,656","1,584","1,694","1,636","1,553","1,623","1,748"
"Cost of Revenue, Total","1,137","2,755","3,063","3,351","3,579","3,845","4,149","4,529",,,984.5,"1,079","1,091","1,127","1,088","1,175","1,139","1,182","1,159","1,230"
Gross Profit,485.9,"1,276","1,506","1,609","1,890","1,979","2,047","2,040",,,446.7,634.9,549.0,529.1,495.5,518.6,497.2,371.3,464.6,517.2
