,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,53.4,75.2,64.7,72.4,56.7,62.6,60.8,59.6,,,64.5,60.2,60.2,58.3,56.6,60.8,62.2,61.1,61.5,58.8
Earnings per Share,-5.63,1.08,7.08,7.03,1.42,0.97,3.16,2.47,,,1.64,1.11,-0.13,0.72,1.44,0.80,-0.50,-0.26,0.79,-0.18
Revenue per Share,56.1,59.3,67.2,68.8,79.1,82.1,69.3,68.3,,,17.9,16.5,17.5,16.1,17.3,17.5,17.4,17.0,18.8,17.4
Dividend per Share,,0.86,2.57,2.66,1.83,0.94,1.41,1.46,,,,,1.41,,,,1.46,,,
Capital Expenditures per Share,1.70,0.37,0.33,2.14,0.96,1.10,0.27,0.054,,,0.067,0.18,0.016,0.005,0.032,0.007,0.010,0.009,0.026,0.047
Book Value per Share,51.8,60.7,61.8,64.3,61.1,59.9,62.1,60.2,,,61.5,63.0,62.1,62.3,60.1,62.2,60.2,60.8,60.7,60.0
Price to Earnings Ratio,,49.6,8.23,9.60,39.8,52.2,19.3,24.8,,,13.7,13.0,19.3,17.3,16.3,21.1,24.8,38.4,70.8,
Price to Book Value Ratio,0.87,0.90,0.91,1.08,0.97,0.87,0.97,1.02,,,0.91,0.91,0.97,0.87,0.86,0.96,1.02,0.99,0.99,0.90
EV to EBITDA,-12.1,15.2,4.11,4.92,17.7,25.0,12.5,20.6,,,10.1,8.68,12.5,11.7,11.8,12.4,20.6,31.9,28.2,110.1
Dividend Payout Ratio,,79.3%,36.3%,37.8%,128.8%,97.0%,44.7%,59.0%,,,,,44.7%,,,,59.0%,,,
Common Shares Outstanding,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Total Revenue,"1,962","2,075","2,352","2,409","2,769","2,873","2,426","2,391",,,626.4,579.2,610.9,562.9,606.9,610.8,610.7,595.2,658.7,610.6
"Cost of Revenue, Total","1,883","1,674","1,646","1,789","2,306","2,441","1,933","1,863",,,478.2,441.2,511.2,421.6,482.3,474.7,507.8,493.6,524.8,519.5
Gross Profit,79.0,400.5,705.5,619.7,462.9,432.2,492.6,528.2,,,148.2,138.1,99.7,141.2,124.6,136.1,102.9,101.7,133.9,91.2
"Selling/General/Administrative Expenses, Total",254.2,294.8,388.9,285.3,371.8,354.0,319.2,368.5,,,76.5,86.2,80.9,93.0,80.9,81.9,112.8,96.3,94.7,85.1
Operating Income,-180.3,98.7,310.1,326.5,67.9,38.1,129.5,104.7,,,62.6,46.2,-1.49,35.2,55.3,35.9,-21.6,-6.23,29.9,-13.0
Net Income,-197.2,37.8,247.8,246.1,49.7,34.0,110.6,86.5,,,57.5,38.9,-4.51,25.3,50.6,28.1,-17.5,-9.21,27.7,-6.21
EBITDA,-151.0,124.9,333.1,350.2,94.9,66.2,154.8,133.3,,,62.6,46.2,23.8,35.2,55.3,35.9,-14.4,0.70,36.5,-8.42
Gross Profit Margin,4.0%,19.3%,30.0%,25.7%,16.7%,15.0%,20.3%,22.1%,,,23.7%,23.8%,16.3%,25.1%,20.5%,22.3%,16.9%,17.1%,20.3%,14.9%
Operating Margin,-9.2%,4.8%,13.2%,13.6%,2.5%,1.3%,5.3%,4.4%,,,10.0%,8.0%,-0.2%,6.2%,9.1%,5.9%,-3.5%,-1.0%,4.5%,-2.1%
Net Profit Margin,-10.0%,1.8%,10.5%,10.2%,1.8%,1.2%,4.6%,3.6%,,,9.2%,6.7%,-0.7%,4.5%,8.3%,4.6%,-2.9%,-1.5%,4.2%,-1.0%
Return on Assets,-0.8%,0.1%,1.8%,4.2%,0.9%,0.6%,2.1%,1.7%,,,2.5%,3.0%,2.1%,2.2%,2.1%,1.8%,1.6%,1.0%,0.5%,-0.1%
Return on Equity,-10.9%,1.8%,11.5%,10.9%,2.3%,1.6%,5.1%,4.1%,,,2.7%,1.8%,-0.2%,1.2%,2.4%,1.3%,-0.8%,-0.4%,1.3%,-0.3%
Return on Total Capital,-10.8%,1.8%,11.4%,10.9%,2.3%,1.6%,5.1%,4.1%,,,6.4%,7.2%,5.1%,5.3%,5.2%,4.5%,4.1%,2.4%,1.4%,-0.2%
SG&A to Sale,13.0%,14.2%,16.5%,11.8%,13.4%,12.3%,13.2%,15.4%,,,12.2%,14.9%,13.2%,16.5%,13.3%,13.4%,18.5%,16.2%,14.4%,13.9%
Depreciation & Amortisation,29.3,26.2,23.0,23.6,27.0,28.1,25.3,28.6,,,,,25.3,,,,7.28,6.94,6.61,4.56
