,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.27,4.55,4.28,4.33,6.09,7.88,5.17,4.97,,,7.90,7.88,5.83,5.22,5.38,4.69,4.61,4.75,4.70,4.97
Earnings per Share,0.21,0.33,0.31,0.46,0.38,0.40,0.49,0.47,,,0.22,0.11,0.081,0.096,0.15,0.091,0.12,0.11,0.16,0.15
Revenue per Share,10.9,9.44,8.95,10.4,10.1,10.1,10.5,8.99,,,2.68,2.52,2.78,2.44,2.24,2.06,2.16,1.89,2.13,1.82
Dividend per Share,0.080,0.20,0.20,0.20,0.15,0.10,0.18,0.25,,,,,0.18,,,,0.25,,,
Capital Expenditures per Share,0.27,0.28,0.85,0.25,0.75,0.36,0.20,0.17,,,0.10,0.011,0.053,0.044,0.041,0.043,0.042,0.067,0.082,0.070
Book Value per Share,2.66,2.97,3.07,3.36,3.53,3.82,4.14,4.42,,,4.02,4.12,4.14,4.24,4.21,4.30,4.42,4.53,4.43,4.59
Price to Earnings Ratio,18.0,12.4,13.3,9.18,10.3,16.9,11.6,9.84,,,14.2,10.9,11.6,9.69,10.9,9.89,9.84,9.09,9.43,8.51
Price to Book Value Ratio,1.44,1.48,1.39,1.26,1.15,1.50,1.30,1.03,,,1.98,1.44,1.30,1.04,1.18,0.90,1.03,1.04,1.02,1.12
EV to EBITDA,7.40,6.29,6.04,5.88,6.73,10.8,8.33,5.51,,,8.19,10.6,8.33,6.76,7.07,6.58,5.51,5.94,6.15,5.20
Dividend Payout Ratio,39.0%,60.1%,65.5%,43.1%,39.5%,24.8%,36.5%,53.7%,,,,,36.5%,,,,53.7%,,,
Common Shares Outstanding,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,,,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0
Total Revenue,"8,960","7,740","7,343","8,534","8,291","8,320","8,639","7,372",,,"2,201","2,066","2,280","2,004","1,833","1,686","1,767","1,550","1,745","1,492"
"Cost of Revenue, Total","7,649","6,412","5,934","7,075","6,921","6,976","7,260","6,033",,,"1,760","1,748","1,962","1,713","1,461","1,427","1,432","1,278","1,379","1,185"
Gross Profit,"1,311","1,328","1,408","1,459","1,370","1,344","1,379","1,339",,,441.3,317.5,317.9,290.7,372.4,258.7,335.9,272.6,366.7,307.5
"Selling/General/Administrative Expenses, Total",842.3,769.4,832.0,882.2,888.3,839.6,859.4,829.5,,,211.5,211.9,228.8,181.0,186.8,177.9,202.6,164.4,196.9,156.3
Operating Income,498.0,558.9,576.5,576.4,481.6,504.6,519.7,509.4,,,229.8,105.6,89.0,109.7,185.6,80.7,133.4,108.2,169.8,151.2
Net Income,168.2,273.0,250.3,380.7,311.4,330.6,404.1,381.7,,,180.6,87.3,66.3,78.7,126.6,74.9,101.5,90.2,131.7,125.5
EBITDA,735.2,810.0,832.7,840.0,723.4,749.2,758.1,740.2,,,289.6,166.5,146.4,169.6,245.6,138.2,186.8,163.9,225.2,206.0
Gross Profit Margin,14.6%,17.2%,19.2%,17.1%,16.5%,16.2%,16.0%,18.2%,,,20.0%,15.4%,13.9%,14.5%,20.3%,15.3%,19.0%,17.6%,21.0%,20.6%
