,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,61.8,85.6,78.0,70.5,58.5,57.9,55.3,63.0,,,60.1,58.3,59.0,57.3,55.6,52.9,57.4,62.3,66.9,64.1
Earnings per Share,5.31,4.46,4.55,4.62,5.01,5.11,3.33,3.58,,,0.90,0.91,0.55,1.14,1.03,0.84,0.57,0.91,0.92,1.04
Revenue per Share,2.50,2.67,3.01,3.80,3.95,3.63,3.00,1.99,,,0.72,0.73,0.68,0.55,0.48,0.48,0.49,0.42,0.39,0.38
Dividend per Share,5.50,3.78,4.25,4.39,4.63,4.60,4.13,2.71,,,1.25,0.00,1.27,0.19,1.35,0.00,1.17,,1.35,0.00
Capital Expenditures per Share,0.75,0.65,0.79,1.99,0.40,0.34,0.099,0.029,,,0.027,0.027,0.026,0.002,0.016,0.005,0.006,0.003,0.005,0.004
Book Value per Share,6.60,7.03,7.43,7.70,7.95,8.47,9.02,9.60,,,8.71,8.37,9.02,8.58,9.61,9.02,9.60,10.7,10.4,10.1
Price to Earnings Ratio,9.89,16.0,16.1,17.2,11.6,10.4,17.1,15.5,,,16.3,15.2,17.2,15.8,15.3,13.9,15.5,17.3,19.8,17.1
Price to Book Value Ratio,8.94,11.5,10.4,10.0,8.02,6.58,6.43,5.99,,,6.60,6.72,6.43,6.21,5.62,5.29,5.99,5.88,6.29,5.66
EV to EBITDA,106.9,64.5,81.5,62.0,48.7,40.5,67.5,87.9,,,56.5,61.3,67.5,83.3,87.3,91.3,87.9,93.6,115.6,140.2
Dividend Payout Ratio,103.6%,84.8%,93.4%,95.0%,92.4%,90.0%,124.1%,75.7%,,,35.9%,0.0%,38.2%,5.4%,37.3%,0.0%,32.7%,,41.8%,0.0%
Common Shares Outstanding,"3,206","3,206","3,206","3,206","3,206","3,206","3,206","3,206",,,"3,206","3,206","3,206","3,206","3,206","3,206","3,206","3,206","3,206","3,206"
Total Revenue,"8,019","8,545","9,646","12,194","12,665","11,646","9,628","6,389",,,"2,319","2,350","2,191","1,767","1,528","1,537","1,558","1,335","1,253","1,222"
