,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,19.3,17.9,21.7,12.6,9.60,9.88,7.25,5.72,,,9.88,9.93,8.93,8.00,7.50,6.45,5.53,6.15,6.15,4.97
Earnings per Share,0.24,-6.35,-5.91,0.67,-6.61,-0.23,0.32,0.12,,,0.12,0.027,0.13,0.004,0.052,0.081,-0.022,-0.050,-0.096,0.36
Revenue per Share,24.8,23.1,18.6,17.3,11.8,7.50,7.35,7.65,,,1.97,1.73,1.95,1.71,1.86,1.94,2.14,2.03,2.02,2.13
Dividend per Share,1.00,,,0.10,0.050,0.050,0.075,0.050,,,,,0.075,,,,0.050,,,
Capital Expenditures per Share,5.82,2.05,1.67,5.34,0.73,0.32,1.10,0.91,,,0.29,0.34,0.36,0.35,0.28,0.11,0.16,0.098,0.098,0.046
Book Value per Share,36.0,26.4,18.3,18.6,11.9,11.5,10.8,10.7,,,11.1,10.9,10.8,10.5,10.9,10.8,10.7,10.4,10.0,10.3
Price to Earnings Ratio,74.8,,,24.1,,,27.7,47.7,,,115.7,88.1,27.7,28.1,33.7,22.8,47.7,85.4,,23.1
Price to Book Value Ratio,0.55,0.63,0.95,0.71,0.67,0.87,0.75,0.48,,,0.89,0.82,0.75,0.61,0.69,0.48,0.48,0.51,0.54,0.43
EV to EBITDA,10.0,13.2,16.8,13.3,24.2,18.1,13.6,15.3,,,14.0,14.8,13.6,13.1,15.9,15.3,15.3,16.4,21.0,18.6
Dividend Payout Ratio,408.8%,,,14.9%,-0.8%,-21.8%,23.2%,43.4%,,,,,23.2%,,,,43.4%,,,
Common Shares Outstanding,708.0,708.0,991.8,"1,301","1,822","1,822","1,822","1,822",,,"1,822","1,822","1,822","1,822","1,822","1,822","1,822","1,822","1,822","1,822"
Total Revenue,"17,565","16,347","18,463","22,554","21,426","13,662","13,392","13,946",,,"3,597","3,145","3,547","3,111","3,387","3,544","3,904","3,707","3,680","3,888"
"Cost of Revenue, Total","15,492","13,798","15,941","19,195","19,720","11,852","10,948","11,892",,,"2,862","2,630","2,736","2,739","2,884","2,863","3,406","3,302","3,265","3,339"
