,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,18.8,16.2,20.8,21.1,21.5,20.9,18.9,17.0,,,20.7,20.2,20.2,18.1,17.7,18.5,19.3,19.4,18.5,15.7
Earnings per Share,1.30,1.07,0.62,1.08,1.34,1.16,1.32,0.83,,,0.33,0.37,0.32,0.19,0.010,0.38,0.27,0.28,0.025,0.30
Revenue per Share,25.8,23.3,24.9,25.4,26.2,28.2,28.3,27.9,,,7.11,7.30,7.28,6.15,7.08,7.16,7.54,6.15,6.75,6.67
Dividend per Share,0.39,0.53,0.37,0.55,0.63,0.63,0.66,0.40,,,,0.32,0.34,,0.25,0.00,0.15,,0.25,0.00
Capital Expenditures per Share,0.88,0.79,0.92,0.68,0.62,0.78,1.19,1.04,,,0.29,0.32,0.36,0.26,0.28,0.25,0.25,0.21,0.25,0.26
Book Value per Share,6.39,8.11,8.61,9.15,9.48,9.06,9.28,9.06,,,9.35,9.33,9.28,9.34,9.01,8.90,9.06,9.07,8.91,8.76
Price to Earnings Ratio,13.3,15.6,27.5,19.7,14.9,17.5,15.3,22.2,,,17.1,15.4,15.3,14.3,19.6,19.4,21.6,19.2,18.2,15.9
Price to Book Value Ratio,2.77,1.97,2.00,2.20,2.21,2.36,2.04,2.13,,,2.14,2.13,2.04,1.69,1.99,1.82,2.13,2.02,1.87,1.54
EV to EBITDA,11.5,12.6,16.8,15.7,14.1,17.1,22.2,23.6,,,19.6,20.0,22.2,22.1,28.7,24.9,23.6,20.3,20.0,18.3
Dividend Payout Ratio,29.9%,48.9%,60.2%,50.7%,47.1%,54.4%,50.2%,48.1%,,,,26.7%,25.9%,,27.9%,0.0%,17.5%,,26.1%,0.0%
Common Shares Outstanding,"3,825","4,590","4,590","4,772","4,772","4,772","4,772","4,772",,,"4,772","4,772","4,772","4,772","4,772","4,772","4,772","4,772","4,772","4,772"
Total Revenue,"98,670","107,170","114,205","121,402","124,904","134,375","134,937","133,285",,,"33,940","34,852","34,718","29,329","33,775","34,169","35,971","29,369","32,214","31,838"
"Cost of Revenue, Total","82,253","90,336","98,590","102,382","104,937","114,448","115,628","114,393",,,"28,958","29,896","29,897","25,941","29,034","28,762","30,547","24,988","26,849","26,761"
Gross Profit,"16,417","16,835","15,615","19,020","19,967","19,927","19,310","18,892",,,"4,983","4,956","4,820","3,388","4,741","5,406","5,424","4,382","5,364","5,077"
"Selling/General/Administrative Expenses, Total","8,882","9,493","10,234","12,031","12,177","13,122","14,388","15,649",,,"3,277","3,578","3,827","3,295","4,956","3,540","3,841","3,362","5,652","3,518"
