,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,,,16.5,,,,,,,,,16.1,16.5,17.1,15.0
Earnings per Share,,,,0.62,0.37,0.32,0.27,0.65,,,0.077,0.16,0.11,0.17,0.16,0.19,0.10,0.12,0.11,0.074
Revenue per Share,,,,5.78,6.55,7.32,8.38,9.88,,,,,2.29,,2.51,2.52,2.46,2.43,2.55,2.64
Dividend per Share,,,,0.00,0.00,1.05,0.10,0.84,,,,,0.10,,0.31,0.34,0.00,,,
Capital Expenditures per Share,,,,1.77,0.71,0.32,0.48,0.38,,,,,0.23,,0.052,0.028,0.23,0.041,0.30,0.39
Book Value per Share,,,,0.95,1.33,0.90,1.22,1.56,,,,,1.22,,1.36,1.45,1.56,4.51,4.62,4.70
Price to Earnings Ratio,,,,,,,,23.9,,,,,,,,,24.5,22.9,30.3,35.3
Price to Book Value Ratio,,,,,,,,9.47,,,,,,,,,9.47,3.06,3.29,3.11
EV to EBITDA,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.3,14.5,11.7
Dividend Payout Ratio,,,,0.0%,0.0%,331.0%,36.8%,130.2%,,,,,22.9%,,52.8%,53.4%,0.0%,,,
Common Shares Outstanding,,,,300.0,300.0,300.0,300.0,300.0,,,,,300.0,,300.0,300.0,300.0,300.0,300.0,300.0
Total Revenue,,,,"1,733","1,966","2,197","2,513","2,965",,,605.8,641.2,686.2,716.0,753.3,757.0,738.3,730.5,765.2,793.2
"Cost of Revenue, Total",,,,"1,293","1,493","1,669","1,879","2,219",,,458.6,474.5,510.1,540.1,552.2,567.5,558.7,557.5,583.9,611.3
Gross Profit,,,,440.4,472.8,535.8,633.9,746.1,,,147.2,166.7,176.1,175.8,201.1,189.5,179.7,172.9,181.3,181.9
"Selling/General/Administrative Expenses, Total",,,,219.3,316.8,405.1,510.1,548.9,,,127.5,133.4,131.3,139.8,136.7,137.2,135.2,136.2,141.1,155.4
Operating Income,,,,221.1,156.0,130.7,123.7,197.2,,,19.7,33.3,44.8,36.0,64.4,52.3,44.5,36.7,40.2,26.6
Net Income,,,,186.8,110.1,92.5,81.8,140.2,,,10.8,22.1,32.6,24.1,46.9,37.7,31.5,32.1,33.2,22.1
EBITDA,,,,306.1,285.3,291.7,292.7,364.5,,,61.3,77.1,86.9,83.5,108.0,86.2,86.8,82.0,85.0,75.1
Gross Profit Margin,,,,25.4%,24.1%,24.4%,25.2%,25.2%,,,24.3%,26.0%,25.7%,24.6%,26.7%,25.0%,24.3%,23.7%,23.7%,22.9%
Operating Margin,,,,12.8%,7.9%,6.0%,4.9%,6.7%,,,3.2%,5.2%,6.5%,5.0%,8.5%,6.9%,6.0%,5.0%,5.3%,3.3%
Net Profit Margin,,,,10.8%,5.6%,4.2%,3.3%,4.7%,,,1.8%,3.5%,4.7%,3.4%,6.2%,5.0%,4.3%,4.4%,4.3%,2.8%
Return on Assets,,,,17.9%,9.9%,7.1%,5.4%,8.9%,,,,,5.0%,5.6%,16.7%,9.2%,9.0%,8.8%,7.2%,6.1%
Return on Equity,,,,65.2%,27.6%,34.4%,22.4%,29.9%,,,0.0%,0.0%,8.9%,0.0%,11.5%,8.7%,6.7%,2.4%,2.4%,1.6%
Return on Total Capital,,,,30.9%,27.4%,34.1%,22.3%,29.8%,,,0.0%,0.0%,21.6%,0.0%,30.8%,32.4%,29.8%,11.0%,9.7%,8.4%
SG&A to Sale,,,,12.6%,16.1%,18.4%,20.3%,18.5%,,,21.1%,20.8%,19.1%,19.5%,18.1%,18.1%,18.3%,18.7%,18.4%,19.6%
Depreciation & Amortisation,,,,85.0,129.3,161.0,169.0,167.3,,,41.6,43.8,42.1,47.5,43.6,33.9,42.3,45.3,44.7,48.5
Tax Rate,,,,19.7%,20.8%,18.4%,19.7%,18.7%,,,21.5%,17.9%,19.4%,18.6%,19.1%,18.4%,18.8%,3.1%,17.4%,16.5%
Current Ratio,,,,0.48,0.25,0.23,0.26,0.32,,,,,0.26,,0.27,0.31,0.32,1.43,1.37,1.26
Quick Ratio,,,,0.040,0.015,0.026,0.030,0.053,,,0.00,0.00,0.030,0.00,0.031,0.036,0.053,0.13,0.16,0.21
Days Inventory Outstanding,,,,3.39,9.22,15.5,17.1,16.8,,,,,18.8,17.9,8.25,15.9,16.7,16.9,16.3,14.7
Days Sale Outstanding,,,,3.05,1.80,4.57,4.83,6.61,,,,,4.81,,4.13,4.65,6.61,6.15,8.45,11.4
Days Payable Outstanding,,,,30.4,27.9,26.4,28.9,30.1,,,,,34.0,32.4,13.4,28.8,31.2,30.4,31.7,32.4
Cash Conversion Cycle,,,,-24.0,-17.9,-7.94,-12.7,-8.96,,,,,-10.4,22.5,-16.4,-11.7,-8.90,-6.41,-10.3,-6.63
Debt to Asset Ratio,,,,0.73,0.66,0.81,0.77,0.70,,,,,0.77,,0.73,0.72,0.70,0.26,0.28,0.29
Debt to Equity Ratio,,,,2.65,1.93,4.39,3.35,2.34,,,,,3.35,,2.71,2.58,2.34,0.35,0.38,0.40
Interest Coverage Ratio,,,,108.4,9.15,7.52,5.06,8.01,,,3.34,5.24,6.41,5.67,10.0,8.58,7.71,10.3,558.8,590.4
Cash and Short Term Investments,,,,129.3,74.5,128.3,133.7,142.6,,,,,133.7,,121.6,161.3,142.6,372.1,398.9,368.9
"Total Receivables, Net",,,,14.5,9.67,27.5,33.3,53.6,,,,,33.3,,31.6,37.1,53.6,50.2,69.2,94.3
Total Inventory,,,,12.0,63.4,78.8,97.1,107.7,,,,,97.1,,93.9,94.9,107.7,99.0,104.0,82.6
Total Current Assets,,,,171.0,163.1,249.4,286.3,319.3,,,,,286.3,,278.4,324.0,319.3,538.1,596.1,571.1
"Property/Plant/Equipment, Total - Net",,,,710.6,805.2,738.4,786.3,722.8,,,,,786.3,,713.4,715.9,722.8,730.9,765.5,841.6
Total Assets,,,,"1,046","1,168","1,450","1,589","1,564",,,,,"1,589",,"1,509","1,559","1,564","1,819","1,918","1,972"
