,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.11,1.60,2.74,2.12,3.82,4.13,2.56,1.68,,,3.57,3.06,2.75,2.62,2.55,2.27,2.20,1.54,1.15,0.92
Earnings per Share,0.074,0.093,0.009,0.036,-0.53,0.82,0.30,-0.10,,,-0.049,0.045,0.17,0.15,-0.003,0.036,-0.28,0.11,0.022,-0.24
Revenue per Share,9.38,8.19,10.3,11.9,9.17,10.5,10.7,9.57,,,3.11,1.93,3.71,2.32,2.74,2.22,2.29,2.93,1.15,1.08
Dividend per Share,0.040,0.050,,0.050,,0.15,0.080,,,,,,0.080,,,,,,,
Capital Expenditures per Share,0.035,0.015,0.20,0.27,0.34,0.20,0.21,0.40,,,0.033,0.037,0.11,0.11,0.092,0.063,0.13,0.12,0.027,0.081
Book Value per Share,1.69,1.74,1.70,1.73,1.16,1.98,2.13,1.95,,,1.92,1.97,2.13,2.28,2.19,2.23,1.95,2.06,1.72,1.49
Price to Earnings Ratio,13.6,13.9,114.4,72.8,,5.27,9.00,,,,5.20,7.63,8.88,8.41,6.55,6.02,,,,
Price to Book Value Ratio,0.57,0.90,0.56,1.22,1.07,2.14,1.16,0.88,,,1.70,1.31,1.16,0.82,1.09,0.86,0.88,0.57,0.59,0.50
EV to EBITDA,14.4,15.5,10.5,31.1,-17.8,7.45,12.5,54.9,,,7.89,10.7,12.5,13.5,11.5,12.1,54.9,38.5,65.0,-24.5
Dividend Payout Ratio,54.0%,53.9%,,138.9%,,18.3%,26.7%,,,,,,26.3%,,,,,,,
Common Shares Outstanding,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,750.0,750.0
Total Revenue,"4,691","4,097","5,168","5,951","4,584","5,231","5,359","4,786",,,"1,557",965.6,"1,855","1,160","1,368","1,111","1,147","1,467",862.4,811.5
"Cost of Revenue, Total","4,497","3,902","4,888","5,715","4,562","4,447","4,985","4,579",,,"1,528",892.1,"1,706","1,043","1,256","1,050","1,230","1,351",778.1,939.9
Gross Profit,193.7,195.2,279.9,236.4,22.3,784.0,374.5,207.2,,,29.5,73.5,149.3,117.3,112.2,60.8,-83.0,115.3,84.4,-128.4
"Selling/General/Administrative Expenses, Total",97.6,94.5,134.2,148.3,163.1,209.7,185.9,211.6,,,43.8,43.5,58.0,54.0,55.2,53.5,48.9,47.5,62.2,60.4
Operating Income,96.1,100.7,145.8,88.0,-198.4,574.3,188.6,-4.40,,,-14.3,30.1,91.3,63.2,56.9,7.32,-131.9,67.8,22.2,-188.8
Net Income,37.0,46.4,4.28,18.1,-263.7,412.3,147.8,-51.8,,,-24.6,22.3,79.4,73.8,-1.62,18.0,-142.0,56.2,12.3,-176.7
EBITDA,128.6,124.9,171.2,121.3,-158.1,631.2,257.1,64.7,,,2.43,47.5,109.6,79.4,73.2,26.1,-114.0,87.4,46.2,-166.6
Gross Profit Margin,4.1%,4.8%,5.4%,4.0%,0.5%,15.0%,7.0%,4.3%,,,1.9%,7.6%,8.0%,10.1%,8.2%,5.5%,-7.2%,7.9%,9.8%,-15.8%
Operating Margin,2.0%,2.5%,2.8%,1.5%,-4.3%,11.0%,3.5%,-0.1%,,,-0.9%,3.1%,4.9%,5.4%,4.2%,0.7%,-11.5%,4.6%,2.6%,-23.3%
Net Profit Margin,0.8%,1.1%,0.1%,0.3%,-5.8%,7.9%,2.8%,-1.1%,,,-1.6%,2.3%,4.3%,6.4%,-0.1%,1.6%,-12.4%,3.8%,1.4%,-21.8%
Return on Assets,1.7%,1.9%,0.2%,0.5%,-6.8%,11.3%,3.8%,-1.3%,,,7.8%,4.7%,4.0%,4.1%,4.5%,4.0%,-1.2%,-1.7%,-1.3%,-5.4%
Return on Equity,4.4%,5.3%,0.5%,2.1%,-45.7%,41.6%,13.9%,-5.3%,,,-2.6%,2.3%,7.5%,6.5%,-0.1%,1.6%,-14.6%,5.5%,1.0%,-15.8%
Return on Total Capital,4.2%,5.3%,0.5%,2.0%,-43.9%,40.7%,13.6%,-4.8%,,,31.0%,17.6%,13.6%,13.1%,14.9%,14.2%,-4.8%,-6.1%,-4.0%,-21.0%
SG&A to Sale,2.1%,2.3%,2.6%,2.5%,3.6%,4.0%,3.5%,4.4%,,,2.8%,4.5%,3.1%,4.7%,4.0%,4.8%,4.3%,3.2%,7.2%,7.4%
Depreciation & Amortisation,32.5,24.3,25.5,33.3,40.3,56.9,68.6,69.1,,,16.8,17.4,18.3,16.2,16.2,18.8,17.9,19.6,24.0,22.1
Tax Rate,20.4%,24.6%,26.4%,26.5%,12.8%,18.7%,19.3%,-18.9%,,,-26.7%,18.5%,10.5%,21.1%,53.7%,34.8%,11.9%,35.2%,42.3%,14.2%
Current Ratio,1.04,1.08,1.03,0.92,0.81,0.95,0.95,0.93,,,0.93,0.94,0.95,0.97,0.97,0.99,0.93,0.93,1.02,0.96
Quick Ratio,0.30,0.48,0.27,0.16,0.15,0.16,0.14,0.13,,,0.15,0.14,0.14,0.16,0.18,0.13,0.13,0.11,0.067,0.10
Days Inventory Outstanding,72.2,82.4,70.6,116.9,172.3,157.7,152.5,177.6,,,167.1,154.7,151.4,136.6,148.8,164.0,191.5,159.9,187.9,229.5
Days Sale Outstanding,36.4,72.5,27.7,36.5,26.7,33.4,24.7,31.3,,,26.7,27.4,24.7,25.5,35.7,25.3,31.3,22.1,16.8,30.6
Days Payable Outstanding,5.58,10.5,7.74,34.1,48.7,15.0,26.2,38.1,,,9.50,14.7,31.7,24.3,21.8,28.7,28.5,28.9,41.7,42.8
Cash Conversion Cycle,95.6,126.8,108.0,83.4,191.7,174.2,139.6,176.4,,,184.5,159.7,135.5,153.0,145.0,170.5,191.0,156.9,157.2,221.2
Debt to Asset Ratio,0.65,0.66,0.64,0.81,0.82,0.75,0.71,0.77,,,0.74,0.74,0.71,0.68,0.74,0.74,0.77,0.73,0.72,0.76
Debt to Equity Ratio,1.90,1.95,1.76,4.21,4.69,3.04,2.48,3.37,,,2.80,2.84,2.48,2.14,2.82,2.78,3.37,2.77,2.57,3.20
Interest Coverage Ratio,1.80,1.77,2.46,1.28,,8.94,2.49,,,,,1.69,4.64,3.49,2.96,0.36,,3.01,1.07,
Cash and Short Term Investments,55.9,58.3,17.2,69.5,116.9,222.5,66.6,85.4,,,146.5,104.7,66.6,93.2,197.0,176.7,85.4,354.3,361.1,230.6
"Total Receivables, Net",467.2,813.8,392.2,594.3,335.0,478.6,363.3,410.3,,,400.0,389.9,363.3,387.4,523.4,381.4,410.3,308.7,211.5,359.5
Total Inventory,938.2,824.7,"1,067","2,593","1,713","2,131","2,036","2,421",,,"1,919","2,101","2,036","1,833","2,158","2,384","2,421","1,860","2,681","2,726"
Total Current Assets,"1,629","1,821","1,519","3,338","2,168","2,836","2,473","2,923",,,"2,473","2,603","2,473","2,326","2,913","2,957","2,923","2,532","3,264","3,325"
"Property/Plant/Equipment, Total - Net",551.1,536.8,629.1,780.0,970.7,"1,077","1,109","1,265",,,"1,090","1,096","1,109","1,146","1,180","1,193","1,265","1,320","1,310","1,307"
Total Assets,"2,445","2,562","2,339","4,517","3,283","4,005","3,704","4,251",,,"3,658","3,776","3,704","3,572","4,187","4,214","4,251","3,883","4,609","4,720"
Accounts Payable,87.8,136.5,70.7,998.2,220.2,146.4,568.9,386.7,,,84.2,297.4,568.9,118.0,467.4,327.7,386.7,386.2,622.2,385.5
Accrued Expenses,16.2,7.40,11.0,9.36,18.1,12.5,11.1,18.9,,,11.5,11.7,11.1,10.2,11.4,14.0,18.9,10.1,12.4,10.2
Debt Due,"1,429","1,452","1,368","2,569","2,412","2,678","1,935","2,646",,,"2,466","2,330","1,935","2,166","2,430","2,580","2,646","2,244","2,466","3,006"
Total Current Liabilities,"1,568","1,682","1,479","3,610","2,664","2,976","2,595","3,146",,,"2,661","2,763","2,595","2,396","2,997","2,997","3,146","2,719","3,188","3,466"
Long Term Debt,28.9,,,25.0,23.8,21.7,23.3,109.9,,,10.7,7.68,23.3,13.7,66.5,77.4,109.9,100.6,90.2,76.9
Total Liabilities,"1,601","1,693","1,491","3,651","2,706","3,014","2,640","3,277",,,"2,696","2,792","2,640","2,434","3,089","3,098","3,277","2,853","3,316","3,566"
Common Stock,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,750.0,750.0
Additional Paid-In Capital,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,,,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5
Retained Earnings (Accumulated Deficit),100.7,125.8,105.1,122.8,-165.9,247.1,321.0,229.2,,,218.2,240.5,321.0,394.8,353.2,371.2,229.2,285.4,298.1,121.4
Shareholders' Equity,844.1,869.3,848.6,866.3,577.5,990.5,"1,064",972.6,,,961.6,983.9,"1,064","1,138","1,097","1,115",972.6,"1,029","1,292","1,115"
Cash from Operating Activities,-96.9,-91.4,168.1,-803.3,168.9,-18.3,770.8,-604.7,,,370.2,90.7,427.0,-209.3,-27.7,-272.9,-94.9,748.1,-453.5,-606.7
Cash from Investing Activities,-185.7,108.5,-73.0,-350.6,2.22,-27.5,-107.4,-135.8,,,-17.1,6.12,-85.0,-27.5,-46.4,3.50,-65.3,-61.6,-20.8,-61.1
Cash from Financing Activities,308.8,-14.6,-136.2,"1,206",-195.8,222.0,-820.0,759.1,,,-276.4,-139.0,-379.3,263.4,177.5,250.2,68.1,-417.5,480.8,537.2
Net Change in Cash,26.2,2.45,-41.1,52.3,-24.8,176.2,-156.6,18.7,,,76.8,-42.1,-37.3,26.6,103.4,-19.2,-92.1,269.0,6.48,-130.5
Free Cashflows,-114.6,-99.0,68.8,-940.0,-3.01,-116.6,668.1,-804.2,,,353.7,72.1,371.1,-265.8,-73.7,-304.5,-160.2,686.4,-474.0,-667.7
Free Cashflow per Share,-0.23,-0.20,0.14,-1.88,-0.006,-0.23,1.34,-1.61,,,0.71,0.14,0.74,-0.53,-0.15,-0.61,-0.32,1.37,-0.63,-0.89
