,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6
Price Average,1.80,3.14,1.74,2.34,1.33,0.84,0.73,0.55,,,0.67,0.59,0.55,,,0.45,0.43,0.38,
Earnings per Share,0.063,0.10,0.090,0.004,0.008,-0.29,-0.50,0.12,,,-0.052,-0.38,-0.005,-0.022,-0.021,-0.023,,-0.027,0.043
Revenue per Share,1.70,1.86,0.91,0.87,0.75,0.51,0.41,0.34,,,0.11,0.11,0.13,0.10,0.077,0.096,,0.074,0.078
Dividend per Share,,,0.020,0.028,0.030,,,,,,,,,,,,,,
Capital Expenditures per Share,0.070,0.13,0.026,0.055,0.041,0.007,0.002,0.012,,,0.000,0.001,0.00,0.001,0.004,0.008,0.00,0.003,0.000
Book Value per Share,0.67,0.85,1.00,1.00,0.96,0.49,0.003,0.058,,,0.53,0.14,0.003,-0.032,-0.060,-0.084,0.058,0.032,0.074
Price to Earnings Ratio,13.7,34.0,13.2,710.0,171.3,,,1.68,,,,,,,,,,,
Price to Book Value Ratio,1.13,2.76,1.30,2.35,1.55,2.04,147.0,3.45,,,1.18,3.52,147.0,,,,3.45,,
EV to EBITDA,4.74,8.79,5.01,15.4,27.3,-8.92,-7.40,-25.9,,,-4.88,-5.22,-7.40,0.00,0.00,0.00,-25.9,0.00,-5.71
Dividend Payout Ratio,,,22.2%,700.0%,375.0%,,,,,,,,,,,,,,
Common Shares Outstanding,"1,648","1,648","3,304","3,316","4,068","4,068","4,068","4,068",,,"4,068","4,068","4,068","3,597","4,150","4,068","4,068","4,018","4,068"
Total Revenue,"2,794","3,061","3,006","2,876","3,053","2,084","1,652","1,382",,,456.7,437.9,526.3,364.0,321.3,392.0,,297.9,316.4
"Cost of Revenue, Total","1,637","1,841","1,795","1,965","2,210","2,000","1,491","1,030",,,464.2,408.2,352.1,268.7,250.2,318.7,,261.0,292.2
Gross Profit,"1,157","1,221","1,210",911.1,843.3,83.3,161.4,352.1,,,-7.52,29.7,174.2,95.3,71.2,73.3,,36.9,24.2
"Selling/General/Administrative Expenses, Total",847.3,887.5,844.9,788.3,863.5,907.0,807.4,854.0,,,194.2,225.1,165.9,160.6,136.9,170.4,,135.2,164.5
Operating Income,309.7,360.5,385.9,138.8,-5.38,-823.8,-595.3,-348.7,,,-183.7,-176.7,8.30,-44.0,-16.0,-73.7,,-71.1,-117.6
