,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,1.93,2.28,9.33,11.3,8.50,,,12.0,14.8,13.8,13.1,12.6,9.79,7.85,8.75,8.83,7.63
Earnings per Share,-0.007,0.021,0.025,0.030,0.19,0.27,0.84,1.36,,,0.10,0.24,0.39,0.20,0.42,0.36,0.38,0.29,0.30,0.28
Revenue per Share,0.00,0.083,0.18,0.24,0.89,1.38,3.83,6.54,,,0.51,0.73,2.30,1.01,1.58,1.52,2.43,1.32,1.34,1.47
Dividend per Share,0.00,0.00,0.00,0.097,0.11,0.059,0.40,0.39,,,0.033,0.00,0.37,,0.027,0.060,0.30,,0.21,0.00
Capital Expenditures per Share,0.00,0.003,0.010,0.013,0.025,0.11,0.10,0.22,,,0.034,0.028,0.035,0.030,0.035,0.046,0.11,0.11,0.099,0.17
Book Value per Share,0.013,0.091,0.13,0.12,0.76,0.95,2.11,3.05,,,1.11,1.33,2.11,2.31,2.37,2.75,3.05,3.51,3.50,3.59
Price to Earnings Ratio,,,,,9.35,9.60,17.2,5.47,,,28.3,24.6,17.8,14.4,10.0,5.56,5.47,4.87,5.89,5.48
Price to Book Value Ratio,,,,,2.39,3.21,5.85,2.25,,,11.1,9.69,5.85,4.73,4.87,2.40,2.25,2.19,2.23,1.95
EV to EBITDA,,,,0.00,7.60,10.0,17.5,5.30,,,22.7,24.8,17.5,11.9,10.3,6.89,5.30,6.03,6.80,6.00
Dividend Payout Ratio,0.0%,0.0%,0.0%,318.4%,57.9%,21.7%,47.9%,28.4%,,,8.8%,0.0%,45.6%,,2.1%,4.4%,22.0%,,15.3%,0.0%
Common Shares Outstanding,"2,310","2,310","2,310","2,310","2,310","2,313","2,439","2,449",,,"2,314","2,318","2,439","2,444","2,444","2,449","2,449","2,449","2,449","2,449"
Total Revenue,0.00,192.4,418.9,559.4,"2,055","3,199","9,347","16,011",,,"1,176","1,693","5,599","2,474","3,872","3,720","5,945","3,240","3,277","3,593"
"Cost of Revenue, Total",,109.0,224.0,320.2,"1,149","1,724","5,662","8,611",,,625.7,886.1,"3,691","1,209","2,139","1,923","3,340","1,702","1,614","1,797"
Gross Profit,,83.4,194.9,239.3,906.3,"1,475","3,684","7,400",,,550.7,806.8,"1,908","1,265","1,732","1,797","2,605","1,538","1,664","1,796"
"Selling/General/Administrative Expenses, Total",14.7,50.8,111.6,148.2,404.3,666.4,"1,452","2,872",,,243.5,367.0,642.1,386.5,599.5,664.5,"1,221",733.9,647.2,705.9
Operating Income,-15.1,32.6,83.3,91.1,502.0,808.5,"2,232","4,528",,,307.2,439.8,"1,266",878.4,"1,133","1,133","1,384",803.8,"1,017","1,090"
