,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,29.3,26.5,24.8,25.5,31.0,60.0,76.1,69.0,,,60.3,77.4,81.1,78.5,78.9,71.1,72.9,70.5,68.1,67.5
Earnings per Share,2.07,2.71,2.63,2.33,2.67,3.44,6.57,4.87,,,4.67,0.65,0.83,0.91,1.19,1.49,0.97,0.93,1.26,0.78
Revenue per Share,6.75,8.17,8.41,8.38,8.23,9.16,11.8,9.94,,,4.57,2.41,2.73,2.49,2.57,2.88,2.31,2.19,2.67,2.05
Dividend per Share,0.23,0.23,0.23,0.23,0.23,0.45,0.65,0.70,,,0.10,0.00,0.55,,0.20,0.00,0.50,,0.20,0.00
Capital Expenditures per Share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Book Value per Share,30.2,34.3,35.6,39.2,41.2,45.5,50.7,50.7,,,49.3,50.0,50.7,51.6,50.1,51.1,50.7,51.7,52.3,53.2
Price to Earnings Ratio,11.4,10.9,8.47,10.7,8.74,9.09,11.3,14.4,,,7.47,9.78,10.8,9.88,21.0,14.6,15.3,14.8,14.2,16.4
Price to Book Value Ratio,0.76,0.81,0.64,0.65,0.59,0.91,1.52,1.40,,,1.17,1.50,1.52,1.31,1.44,1.45,1.40,1.33,1.24,1.32
EV to EBITDA,10.4,10.6,7.81,9.45,8.37,9.00,21.6,15.3,,,16.5,23.2,21.6,18.6,17.5,14.5,15.3,15.4,14.2,16.0
Dividend Payout Ratio,11.1%,8.5%,8.7%,9.9%,8.6%,13.1%,9.9%,14.4%,,,1.5%,0.0%,8.0%,,5.6%,0.0%,11.0%,,4.3%,0.0%
Common Shares Outstanding,494.0,494.0,494.0,494.0,494.0,494.0,494.0,571.5,,,494.0,494.0,494.0,494.0,568.0,568.0,571.5,571.9,571.9,571.9
Total Revenue,"3,332","4,037","4,155","4,138","4,068","4,524","5,825","5,684",,,"2,260","1,191","1,346","1,230","1,457","1,638","1,321","1,252","1,524","1,171"
"Cost of Revenue, Total","1,871","2,247","2,293","2,423","2,190","2,237","2,319","2,397",,,535.1,610.9,657.3,559.7,624.7,607.4,666.1,572.4,636.2,569.3
Gross Profit,"1,462","1,789","1,862","1,715","1,878","2,288","3,506","3,287",,,"1,725",579.8,689.1,669.9,832.3,"1,030",654.6,679.8,888.2,601.8
"Selling/General/Administrative Expenses, Total",340.6,398.0,411.9,476.2,493.1,490.9,527.2,410.0,,,171.3,153.9,63.2,98.1,98.3,100.6,13.1,98.4,111.7,97.5
Operating Income,"1,130","1,391","1,450","1,237","1,385","1,798","2,978","2,877",,,"1,554",426.0,625.9,571.8,734.0,929.5,641.5,581.4,776.5,504.4
Net Income,"1,022","1,337","1,300","1,150","1,317","1,698","3,499","2,595",,,"2,306",369.3,471.4,514.5,672.2,853.3,555.3,529.7,722.4,448.1
EBITDA,"1,210","1,480","1,572","1,386","1,556","1,976","3,171","3,079",,,"1,601",476.0,674.5,620.9,784.5,981.1,692.3,633.0,827.8,555.2
Gross Profit Margin,43.9%,44.3%,44.8%,41.4%,46.2%,50.6%,60.2%,57.8%,,,76.3%,48.7%,51.2%,54.5%,57.1%,62.9%,49.6%,54.3%,58.3%,51.4%
Operating Margin,33.9%,34.5%,34.9%,29.9%,34.0%,39.7%,51.1%,50.6%,,,68.7%,35.8%,46.5%,46.5%,50.4%,56.8%,48.6%,46.4%,50.9%,43.1%
Net Profit Margin,30.7%,33.1%,31.3%,27.8%,32.4%,37.5%,60.1%,45.7%,,,102.1%,31.0%,35.0%,41.8%,46.1%,52.1%,42.0%,42.3%,47.4%,38.3%
Return on Assets,6.5%,7.4%,6.6%,5.5%,5.9%,7.0%,11.7%,7.0%,,,10.9%,9.5%,10.0%,10.4%,5.7%,7.0%,6.9%,6.7%,6.8%,5.7%
Return on Equity,6.8%,7.9%,7.4%,5.9%,6.5%,7.5%,14.0%,9.0%,,,9.5%,1.5%,1.9%,2.0%,2.4%,2.9%,1.9%,1.8%,2.4%,1.5%
Return on Total Capital,6.8%,7.7%,7.2%,5.7%,6.0%,7.3%,11.6%,7.0%,,,11.3%,11.2%,11.6%,12.0%,6.6%,7.5%,7.0%,7.0%,7.3%,6.2%
SG&A to Sale,10.2%,9.9%,9.9%,11.5%,12.1%,10.8%,9.1%,7.2%,,,7.6%,12.9%,4.7%,8.0%,6.7%,6.1%,1.0%,7.9%,7.3%,8.3%
Depreciation & Amortisation,79.1,88.5,121.8,149.3,171.0,178.2,192.6,202.0,,,47.1,50.0,48.6,49.1,50.5,51.6,50.8,51.6,51.3,50.9
Tax Rate,0.0%,-1.0%,1.3%,-0.5%,-0.7%,0.7%,-1.4%,0.9%,,,-0.5%,-6.5%,-1.0%,0.2%,0.3%,3.2%,-1.5%,-0.1%,-0.1%,0.2%
Current Ratio,0.28,0.22,0.18,0.44,0.84,0.27,0.094,0.83,,,0.20,0.099,0.094,0.095,0.094,0.19,0.83,0.24,0.13,0.33
Quick Ratio,0.22,0.18,0.13,0.34,0.31,0.18,0.066,0.18,,,0.058,0.060,0.066,0.057,0.064,0.14,0.18,0.19,0.10,0.13
Days Inventory Outstanding,3.49,2.92,0.38,0.31,0.34,0.38,0.39,0.29,,,0.46,0.43,0.40,0.37,0.34,0.36,0.29,0.19,0.18,0.19
Days Sale Outstanding,37.3,21.5,16.6,24.9,17.4,16.1,18.4,15.0,,,18.9,17.4,18.4,15.3,18.7,26.8,15.1,16.1,14.7,26.5
Days Payable Outstanding,16.0,25.5,12.0,0.00,0.00,0.00,1.03,1.44,,,0.00,0.00,1.03,2.48,1.98,0.83,0.68,0.92,0.85,0.67
Cash Conversion Cycle,30.5,33.8,37.2,38.8,43.0,35.8,41.9,44.6,,,47.7,47.9,47.4,45.3,41.6,53.2,49.8,36.5,36.3,47.3
Debt to Asset Ratio,0.10,0.12,0.12,0.11,0.12,0.10,0.28,0.25,,,0.30,0.29,0.28,0.28,0.19,0.21,0.25,0.24,0.24,0.24
Debt to Equity Ratio,0.12,0.14,0.14,0.13,0.13,0.12,0.39,0.34,,,0.44,0.42,0.39,0.39,0.23,0.27,0.34,0.31,0.31,0.31
Interest Coverage Ratio,36.5,27.7,23.7,21.5,29.7,41.1,20.5,15.0,,,66.7,7.81,11.6,10.6,12.7,25.3,14.8,10.4,14.0,9.10
Cash and Short Term Investments,62.1,58.5,67.6,81.2,337.5,104.1,98.8,851.5,,,646.8,107.7,98.8,87.1,84.0,95.3,851.5,43.9,56.1,586.3
"Total Receivables, Net",340.9,237.8,189.4,282.7,194.3,199.1,293.2,233.1,,,277.3,261.0,293.2,252.2,267.1,417.0,233.1,250.4,230.6,383.1
Total Inventory,33.4,2.53,2.22,1.90,2.22,2.43,2.56,1.31,,,2.67,2.55,2.56,2.29,2.34,2.54,1.31,1.25,1.23,1.29
Total Current Assets,436.5,298.8,259.3,365.8,534.0,305.7,416.4,"1,096",,,977.8,427.3,416.4,423.4,391.9,556.9,"1,096",325.8,303.8,994.9
"Property/Plant/Equipment, Total - Net","2,043","2,397","3,141","3,265","3,544","4,011","4,971","4,985",,,"4,149","4,240","4,971","4,997","5,003","4,988","4,985","5,265","5,270","5,416"
Total Assets,"16,657","19,292","20,000","21,854","23,088","25,126","34,910","38,788",,,"35,061","35,042","34,910","35,433","35,160","36,873","38,788","38,878","39,169","40,368"
Accounts Payable,163.7,150.7,,,,,13.1,5.76,,,,,13.1,19.0,7.66,3.44,5.76,6.66,4.91,4.03
