,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,5.52,5.27,6.48,,,5.03,4.84,4.79,4.92,5.36,5.34,5.03,5.88,7.20,7.38
Earnings per Share,,0.068,0.077,0.095,0.14,0.13,0.12,0.089,,,0.029,0.043,0.031,0.035,0.032,0.016,0.006,0.056,0.030,0.050
Revenue per Share,,0.43,0.51,0.55,0.70,0.75,0.76,0.98,,,0.18,0.21,0.19,0.20,0.20,0.28,0.30,0.37,0.35,0.40
Dividend per Share,,0.00,0.00,0.037,0.36,0.034,0.11,0.084,,,,0.050,0.055,,0.055,0.00,0.029,,0.070,0.00
Capital Expenditures per Share,,0.00,0.00,0.046,0.013,0.32,0.80,1.19,,,0.20,0.26,0.18,0.41,0.35,0.21,0.22,0.11,0.14,0.035
Book Value per Share,,0.39,0.47,0.57,0.69,0.94,2.36,2.34,,,2.34,2.38,2.36,2.40,2.37,2.33,2.34,2.40,2.40,2.38
Price to Earnings Ratio,,,,,,44.7,39.2,54.3,,,37.7,37.9,38.2,36.0,39.9,44.4,54.3,49.1,59.8,46.0
Price to Book Value Ratio,,,,,,5.99,2.01,2.05,,,2.10,2.00,2.01,2.02,2.32,2.07,2.05,2.32,2.96,2.75
EV to EBITDA,,,,,0.00,0.00,26.0,29.1,,,23.8,23.7,26.0,25.2,27.6,32.4,29.1,22.8,25.0,24.2
Dividend Payout Ratio,,0.0%,0.0%,38.7%,253.0%,26.1%,87.2%,94.9%,,,,39.8%,44.5%,,39.2%,0.0%,32.9%,,64.4%,0.0%
Common Shares Outstanding,,546.0,546.0,546.0,546.0,546.0,546.0,546.0,,,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0
Total Revenue,,233.7,277.2,300.9,382.5,409.8,413.0,532.9,,,99.2,113.0,105.8,109.2,108.2,153.0,162.6,204.6,189.5,218.7
"Cost of Revenue, Total",,146.2,177.1,199.5,275.8,273.5,282.8,386.2,,,68.1,75.4,72.7,71.6,74.9,109.1,130.6,137.3,140.0,149.0
Gross Profit,,87.5,100.1,101.5,106.7,136.3,130.2,146.7,,,31.1,37.6,33.2,37.6,33.3,43.9,32.0,67.3,49.5,69.7
"Selling/General/Administrative Expenses, Total",,33.5,42.3,43.0,51.1,55.3,61.3,91.8,,,15.9,14.5,14.3,14.7,17.0,33.3,26.8,29.6,30.9,36.6
Operating Income,,55.6,59.3,58.5,55.6,80.9,68.9,54.9,,,15.2,23.2,18.8,22.8,16.3,10.6,5.15,37.6,18.5,33.1
Net Income,,37.0,41.9,48.5,45.0,67.9,63.0,48.4,,,14.7,22.1,16.9,19.0,17.3,8.86,3.26,30.7,16.6,27.2
EBITDA,,55.6,59.3,74.3,70.9,94.8,80.7,94.0,,,18.2,26.1,21.7,25.9,19.6,23.7,25.6,58.9,40.1,55.1
Gross Profit Margin,,37.4%,36.1%,33.7%,27.9%,33.3%,31.5%,27.5%,,,31.4%,33.3%,31.3%,34.4%,30.8%,28.7%,19.7%,32.9%,26.1%,31.9%
Operating Margin,,23.8%,21.4%,19.4%,14.5%,19.8%,16.7%,10.3%,,,15.3%,20.5%,17.8%,20.9%,15.1%,6.9%,3.2%,18.4%,9.8%,15.2%
Net Profit Margin,,15.8%,15.1%,16.1%,11.8%,16.6%,15.3%,9.1%,,,14.8%,19.6%,15.9%,17.4%,16.0%,5.8%,2.0%,15.0%,8.7%,12.4%
Return on Assets,,9.9%,10.5%,11.1%,9.3%,11.0%,5.2%,2.8%,,,4.0%,4.2%,3.9%,4.3%,4.5%,3.6%,2.7%,3.3%,3.3%,4.4%
Return on Equity,,17.3%,16.4%,15.5%,11.9%,13.2%,4.9%,3.8%,,,1.1%,1.7%,1.3%,1.5%,1.3%,0.7%,0.3%,2.3%,1.3%,2.1%
Return on Total Capital,,12.1%,12.3%,12.7%,10.1%,11.7%,4.9%,3.3%,,,4.6%,4.9%,4.9%,5.6%,5.8%,4.4%,3.3%,4.0%,3.9%,5.3%
SG&A to Sale,,14.3%,15.3%,14.3%,13.4%,13.5%,14.8%,17.2%,,,16.0%,12.8%,13.5%,13.5%,15.7%,21.8%,16.5%,14.5%,16.3%,16.7%
Depreciation & Amortisation,,,,15.8,15.3,13.9,11.8,39.2,,,3.01,2.89,2.84,3.02,3.28,13.1,20.5,21.3,21.6,21.9
Tax Rate,,22.7%,19.5%,20.7%,21.5%,19.7%,18.7%,18.6%,,,19.8%,19.9%,17.0%,18.9%,19.3%,17.4%,16.3%,19.8%,19.6%,19.9%
Current Ratio,,1.51,1.75,2.55,4.02,1.51,1.42,0.46,,,3.93,2.67,1.42,0.86,0.44,0.48,0.46,0.44,0.48,0.40
Quick Ratio,,1.25,1.11,2.05,1.74,0.98,0.95,0.19,,,2.40,1.47,0.95,0.34,0.35,0.36,0.19,0.24,0.32,0.21
Days Inventory Outstanding,,26.3,24.3,23.0,15.3,14.4,13.5,12.6,,,12.7,12.9,13.3,13.4,13.8,15.0,14.9,13.1,11.8,11.7
Days Sale Outstanding,,22.9,29.7,21.0,17.3,17.8,16.6,22.1,,,19.3,19.9,16.6,18.6,16.2,38.3,22.1,24.1,24.7,24.4
Days Payable Outstanding,,51.2,72.6,60.7,21.9,21.5,20.5,18.4,,,19.4,21.6,22.0,20.1,18.4,23.5,23.9,19.7,18.3,19.2
Cash Conversion Cycle,,-1.99,-54.0,17.2,10.1,10.6,9.55,8.64,,,11.9,9.02,10.4,11.3,13.2,10.7,21.7,13.3,16.7,13.6
Debt to Asset Ratio,,0.43,0.39,0.31,0.26,0.29,0.24,0.30,,,0.15,0.17,0.24,0.22,0.21,0.28,0.30,0.27,0.26,0.26
Debt to Equity Ratio,,0.75,0.65,0.45,0.36,0.40,0.31,0.42,,,0.18,0.21,0.31,0.29,0.27,0.40,0.42,0.37,0.36,0.35
Interest Coverage Ratio,,,,11.4,13.8,27.7,24.9,10.8,,,22.0,33.2,26.9,37.4,39.6,8.35,1.86,13.7,7.17,13.1
Cash and Short Term Investments,,68.6,94.7,127.4,197.6,167.7,518.5,99.1,,,738.8,643.4,518.5,278.8,118.7,107.4,99.1,68.8,48.0,27.9
"Total Receivables, Net",,14.7,22.6,17.3,18.1,19.9,18.8,32.3,,,21.4,22.4,18.8,21.7,19.4,50.0,32.3,41.4,48.1,51.8
Total Inventory,,10.6,13.0,12.1,11.0,10.5,10.4,16.3,,,9.55,10.1,10.4,10.7,11.6,15.3,16.3,16.1,17.2,18.6
Total Current Assets,,100.6,130.3,157.8,226.9,199.6,548.3,149.1,,,771.1,676.6,548.3,312.1,150.5,176.4,149.1,128.4,116.2,100.5
"Property/Plant/Equipment, Total - Net",,270.2,275.4,280.1,268.8,499.9,"1,109","1,640",,,715.2,860.1,"1,109","1,329","1,457","1,575","1,640","1,637","1,630","1,619"
