,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.09,2.22,3.08,3.03,2.82,3.15,2.53,2.00,,,3.17,3.05,2.92,2.67,2.74,2.41,2.13,2.13,2.03,2.00
Earnings per Share,0.013,0.030,-0.015,0.012,0.008,0.005,0.003,0.018,,,0.001,0.003,-0.001,0.001,0.002,0.006,0.009,0.002,0.005,0.006
Revenue per Share,0.089,0.12,0.062,0.080,0.069,0.060,0.088,0.12,,,0.021,0.031,0.013,0.019,0.025,0.036,0.044,0.032,0.052,0.030
Dividend per Share,0.010,0.003,,,0.020,,,0.020,,,,,,,,,0.020,,,
Capital Expenditures per Share,0.000,0.001,0.001,0.000,0.000,0.003,0.000,0.001,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Book Value per Share,1.18,1.21,1.19,1.20,1.21,1.19,1.20,1.21,,,1.20,1.20,1.20,1.20,1.20,1.21,1.21,1.22,1.20,1.21
Price to Earnings Ratio,66.2,68.5,,241.6,315.0,462.1,808.3,123.2,,,318.7,227.6,808.7,785.9,522.4,273.5,123.2,101.9,85.7,74.7
Price to Book Value Ratio,0.69,1.92,1.06,2.21,1.99,2.13,2.29,1.57,,,2.44,2.34,2.29,2.04,1.95,1.69,1.57,1.71,1.61,1.39
EV to EBITDA,47.4,28.0,-77.7,275.8,"10,799",-413.6,"2,800",117.7,,,868.3,382.3,"2,800","3,317",850.9,322.6,117.7,107.5,79.4,84.5
Dividend Payout Ratio,78.2%,9.7%,,,250.0%,,,113.0%,,,,,,,,,113.1%,,,
Common Shares Outstanding,"1,025","1,025","1,025","1,025","1,025","1,025","1,025","1,025",,,"1,025","1,025","1,025","1,025","1,025","1,025","1,025","1,025","1,025","1,025"
Total Revenue,91.1,123.7,63.8,81.6,70.3,61.8,90.5,127.8,,,21.5,31.8,13.6,19.0,26.0,36.6,44.8,33.2,53.2,31.3
"Cost of Revenue, Total",47.8,55.9,30.6,43.7,40.3,38.5,57.2,77.0,,,12.7,19.9,9.16,12.4,16.6,21.8,27.6,20.9,33.2,18.3
Gross Profit,43.4,67.7,33.2,37.8,30.1,23.4,33.3,50.8,,,8.80,11.9,4.47,6.68,9.40,14.8,17.2,12.3,19.9,12.9
"Selling/General/Administrative Expenses, Total",26.1,27.6,48.3,29.0,30.3,30.0,33.8,36.8,,,8.93,9.66,6.92,6.95,7.66,8.61,10.9,9.87,11.7,9.70
Operating Income,17.2,40.1,-15.1,8.88,-0.27,-6.57,-0.47,14.0,,,-0.14,2.20,-2.45,-0.27,1.75,6.14,6.40,2.42,8.18,3.24
Net Income,12.8,30.7,-15.5,12.1,8.20,5.46,3.48,18.1,,,0.86,2.60,-0.73,0.63,2.21,5.99,9.30,2.43,5.47,6.26
EBITDA,17.8,40.4,-14.6,9.39,0.21,-5.53,0.94,15.3,,,0.23,2.56,-2.12,0.056,2.07,6.46,6.73,2.76,8.53,3.60
Gross Profit Margin,47.6%,54.8%,52.0%,46.4%,42.7%,37.8%,36.8%,39.8%,,,41.0%,37.3%,32.8%,35.1%,36.2%,40.3%,38.5%,37.0%,37.4%,41.4%
Operating Margin,18.9%,32.4%,-23.6%,10.9%,-0.4%,-10.6%,-0.5%,11.0%,,,-0.6%,6.9%,-17.9%,-1.4%,6.7%,16.8%,14.3%,7.3%,15.4%,10.4%
Net Profit Margin,14.1%,24.8%,-24.3%,14.9%,11.7%,8.8%,3.8%,14.2%,,,4.0%,8.2%,-5.4%,3.3%,8.5%,16.4%,20.8%,7.3%,10.3%,20.0%
Return on Assets,1.0%,2.4%,-1.2%,1.0%,0.6%,0.4%,0.3%,1.4%,,,0.8%,1.0%,0.3%,0.3%,0.4%,0.6%,1.4%,1.5%,1.8%,1.8%
Return on Equity,1.1%,2.5%,-1.3%,1.0%,0.7%,0.4%,0.3%,1.5%,,,0.1%,0.2%,-0.1%,0.1%,0.2%,0.5%,0.7%,0.2%,0.4%,0.5%
Return on Total Capital,1.1%,2.5%,-1.3%,1.0%,0.7%,0.4%,0.3%,1.5%,,,0.8%,1.1%,0.3%,0.3%,0.4%,0.7%,1.5%,1.6%,1.9%,1.9%
