,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,1.76,4.64,6.53,4.49,4.36,,,6.35,6.48,5.50,4.65,4.32,3.87,3.37,4.43,4.84,4.49
Earnings per Share,0.11,-0.48,0.30,0.23,-0.37,0.27,0.28,0.12,,,0.11,0.13,0.010,-0.022,0.041,0.099,0.000,0.039,0.092,0.11
Revenue per Share,1.40,1.78,3.08,3.35,3.41,4.05,5.05,5.49,,,1.21,1.38,1.31,1.28,1.31,1.45,1.45,1.31,1.29,1.34
Dividend per Share,0.17,0.00,0.00,0.00,,,0.10,0.083,,,0.050,0.00,0.050,,,0.070,0.013,,0.070,0.00
Capital Expenditures per Share,0.18,0.30,0.29,0.16,0.14,0.14,0.37,0.69,,,0.035,0.11,0.15,0.19,0.17,0.16,0.17,0.064,0.059,0.073
Book Value per Share,0.28,0.36,0.51,0.76,0.91,1.20,1.44,1.53,,,1.34,1.48,1.44,1.42,1.42,1.56,1.53,1.55,1.71,1.74
Price to Earnings Ratio,,,,,,22.6,17.9,25.5,,,25.6,22.7,18.1,20.9,26.7,28.9,25.8,18.2,21.4,19.5
Price to Book Value Ratio,,,,,1.73,5.54,3.27,1.96,,,4.44,3.86,3.27,2.70,2.95,1.95,1.96,2.92,2.23,2.41
EV to EBITDA,,,0.00,0.00,-17.0,15.2,11.2,12.7,,,11.0,11.5,11.2,11.5,12.0,13.0,12.7,10.3,11.3,8.96
Dividend Payout Ratio,153.6%,0.0%,0.0%,0.0%,,,35.7%,69.2%,,,20.8%,0.0%,18.1%,,,54.4%,11.0%,,30.3%,0.0%
Common Shares Outstanding,"5,100","5,100","5,100","5,100","5,100","5,100","5,109","5,113",,,"5,109","5,109","5,109","5,113","5,113","5,113","5,113","5,177","5,608","5,608"
Total Revenue,"7,156","9,073","15,730","17,067","17,388","20,669","25,814","28,077",,,"6,195","7,045","6,703","6,555","6,696","7,409","7,417","6,784","7,245","7,508"
"Cost of Revenue, Total","6,291","10,217","13,919","15,121","18,106","18,005","22,548","25,716",,,"5,123","5,795","6,250","6,294","6,041","6,511","6,869","6,080","6,204","6,363"
Gross Profit,865.2,"-1,144","1,811","1,947",-718.7,"2,664","3,266","2,361",,,"1,072","1,250",453.0,260.2,655.2,897.8,548.0,703.7,"1,041","1,144"
"Selling/General/Administrative Expenses, Total",278.2,410.3,632.9,876.6,905.7,945.3,"1,371","1,623",,,349.8,376.7,309.9,375.1,336.3,386.0,526.2,408.3,417.0,426.6
Operating Income,587.0,"-1,554","1,178","1,070","-1,624","1,719","1,896",737.8,,,722.1,872.9,143.1,-114.9,318.9,511.8,21.8,295.4,623.6,717.8
Net Income,560.0,-947.0,"1,034",922.2,"-1,574","1,447","1,516",645.5,,,600.8,701.4,77.8,-110.8,222.1,525.9,8.15,204.2,518.5,589.5
EBITDA,696.9,"-1,307","1,544","1,602",-766.9,"2,593","3,044","2,136",,,981.2,"1,166",472.1,189.1,655.6,876.6,414.8,681.1,976.6,"1,203"
Gross Profit Margin,12.1%,-12.6%,11.5%,11.4%,-4.1%,12.9%,12.7%,8.4%,,,17.3%,17.7%,6.8%,4.0%,9.8%,12.1%,7.4%,10.4%,14.4%,15.2%
Operating Margin,8.2%,-17.1%,7.5%,6.3%,-9.3%,8.3%,7.3%,2.6%,,,11.7%,12.4%,2.1%,-1.8%,4.8%,6.9%,0.3%,4.4%,8.6%,9.6%
Net Profit Margin,7.8%,-10.4%,6.6%,5.4%,-9.1%,7.0%,5.9%,2.3%,,,9.7%,10.0%,1.2%,-1.7%,3.3%,7.1%,0.1%,3.0%,7.2%,7.9%
Return on Assets,10.1%,-14.2%,11.5%,7.9%,-12.1%,10.2%,8.8%,3.1%,,,7.9%,8.4%,8.2%,6.4%,4.3%,3.4%,2.9%,4.2%,5.5%,5.7%
Return on Equity,39.5%,-51.7%,40.0%,23.7%,-33.8%,23.6%,20.6%,8.2%,,,8.8%,9.3%,1.1%,-1.5%,3.1%,6.6%,0.1%,2.5%,5.4%,6.0%
Return on Total Capital,29.3%,-33.9%,27.3%,20.4%,-28.2%,20.2%,15.7%,5.8%,,,16.5%,15.2%,15.7%,12.5%,8.6%,6.3%,5.8%,8.5%,9.9%,11.3%
SG&A to Sale,3.9%,4.5%,4.0%,5.1%,5.2%,4.6%,5.3%,5.8%,,,5.6%,5.3%,4.6%,5.7%,5.0%,5.2%,7.1%,6.0%,5.8%,5.7%
Depreciation & Amortisation,109.9,247.5,366.0,532.1,857.4,873.7,"1,148","1,399",,,259.1,293.5,329.0,304.0,336.7,364.8,393.1,385.8,353.0,485.2
Tax Rate,-5.2%,13.9%,2.9%,3.9%,15.4%,6.3%,6.7%,0.5%,,,7.7%,9.4%,-23.4%,22.6%,-45.0%,4.5%,96.4%,-8.6%,8.6%,2.6%
Current Ratio,0.92,0.77,0.78,0.89,0.70,0.86,0.98,0.81,,,0.90,1.06,0.98,0.91,0.84,0.81,0.81,0.80,0.89,0.81
