,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,10.7,15.1,11.2,11.3,10.2,11.6,9.75,6.98,,,10.7,11.4,10.3,8.58,8.95,8.85,8.30,8.00,7.20,5.95
Earnings per Share,0.42,1.27,0.74,0.29,-0.25,0.71,0.71,0.72,,,0.080,0.40,0.11,0.17,0.27,0.16,0.11,0.092,-0.13,0.099
Revenue per Share,19.0,18.3,17.2,17.2,16.1,16.2,19.9,20.0,,,4.23,5.84,5.88,4.56,4.81,5.01,5.63,3.92,3.47,3.83
Dividend per Share,0.50,0.60,0.70,0.35,0.20,0.35,0.35,0.45,,,,,0.35,,,,0.45,,,
Capital Expenditures per Share,0.16,0.44,0.36,0.26,0.55,0.40,0.30,0.25,,,0.042,0.15,0.068,0.040,0.10,0.034,0.077,0.077,0.049,0.043
Book Value per Share,9.96,10.8,11.0,10.4,9.83,10.3,10.7,11.0,,,10.2,10.6,10.7,10.8,10.7,10.9,11.0,11.1,10.5,10.6
Price to Earnings Ratio,18.9,15.6,12.0,43.4,,16.2,14.2,11.3,,,22.1,14.7,14.2,10.5,9.73,11.2,11.3,11.4,28.2,29.1
Price to Book Value Ratio,0.77,1.49,0.83,0.96,0.84,1.04,0.83,0.72,,,1.01,1.01,0.83,0.73,0.88,0.73,0.72,0.71,0.61,0.51
EV to EBITDA,8.42,9.13,7.75,19.6,-105.1,15.6,12.8,7.08,,,15.5,11.3,12.8,8.95,6.54,8.91,7.08,7.66,19.4,15.6
Dividend Payout Ratio,117.9%,47.4%,94.2%,119.6%,-80.9%,49.4%,49.6%,62.3%,,,,,49.6%,,,,62.3%,,,
Common Shares Outstanding,397.9,397.9,397.9,397.9,397.9,397.9,397.9,397.9,,,397.9,397.9,397.9,397.9,397.9,397.9,397.9,397.9,397.9,397.9
Total Revenue,"7,574","7,284","6,858","6,834","6,422","6,428","7,902","7,960",,,"1,683","2,323","2,339","1,814","1,914","1,994","2,238","1,560","1,379","1,524"
"Cost of Revenue, Total","6,957","6,407","5,977","6,298","6,121","5,908","7,235","7,284",,,"1,594","2,077","2,123","1,695","1,698","1,854","2,037","1,461","1,375","1,430"
Gross Profit,617.7,877.0,880.9,536.4,301.2,519.9,667.8,676.2,,,89.2,245.9,216.0,119.3,215.5,139.7,201.8,99.6,3.74,94.4
