,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,8.18,7.05,10.3,8.27,6.20,8.48,7.45,4.42,,,8.77,9.33,9.00,6.95,6.23,5.73,4.88,4.81,4.69,3.85
Earnings per Share,-0.94,-2.33,-1.99,0.44,0.53,-1.66,0.64,-0.43,,,0.20,0.29,0.47,-0.23,-0.052,-0.11,-0.035,-0.033,0.014,-0.37
Revenue per Share,16.5,16.3,15.8,16.1,14.3,12.6,13.6,14.4,,,3.35,3.54,3.59,4.90,4.91,5.33,3.92,5.07,5.12,4.89
Dividend per Share,,,,0.10,0.050,,0.10,,,,,,0.10,,,,,,,
Capital Expenditures per Share,0.00,0.51,0.55,0.084,0.61,1.10,1.54,2.16,,,0.57,-0.28,1.18,0.17,0.14,0.97,0.88,0.14,0.13,1.38
Book Value per Share,15.5,12.9,11.2,11.7,13.0,11.1,10.8,10.1,,,10.4,10.5,10.8,10.1,10.5,10.2,10.1,9.92,9.61,9.26
Price to Earnings Ratio,,,,23.8,10.6,,14.1,,,,,,14.1,8.39,12.0,68.1,,,,
Price to Book Value Ratio,0.46,0.57,0.58,0.78,0.46,0.64,0.70,0.45,,,0.75,0.82,0.70,0.48,0.59,0.47,0.45,0.43,0.42,0.38
EV to EBITDA,-11.6,32.5,22.3,7.21,5.48,34.8,5.76,6.75,,,16.7,7.07,5.76,4.84,4.26,6.33,6.75,5.85,4.92,6.13
Dividend Payout Ratio,,,,22.9%,9.4%,,15.5%,,,,,,15.5%,,,,,,,
Common Shares Outstanding,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,,,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8
Total Revenue,"13,684","13,548","13,112","13,314","11,883","10,441","11,252","11,963",,,"2,775","2,930","2,973","4,059","4,070","4,419","3,249","4,206","4,240","4,056"
"Cost of Revenue, Total","14,236","13,345","12,866","11,934","10,944","10,659","10,178","11,494",,,"2,436","2,449","2,651","4,024","3,949","4,281","3,076","3,976","3,979","4,123"
Gross Profit,-552.0,202.7,245.8,"1,381",938.7,-218.5,"1,074",468.2,,,338.9,481.3,322.2,35.7,120.7,138.6,173.2,230.2,261.4,-67.1
"Selling/General/Administrative Expenses, Total","1,288","1,177","1,092","1,107",933.0,940.6,887.5,921.7,,,222.5,225.0,217.8,228.7,227.8,235.4,229.8,234.6,239.8,234.9
Operating Income,"-1,840",-974.5,-846.5,274.0,5.71,"-1,185",182.3,-453.5,,,116.4,256.4,99.9,-193.0,-107.0,-96.8,-56.6,-4.35,21.5,-301.9
Net Income,-780.6,"-1,929","-1,653",361.6,441.5,"-1,375",533.3,-357.7,,,162.8,241.7,389.8,-191.7,-43.2,-93.5,-29.4,-27.7,11.2,-306.5
