,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,23.1,32.1,29.8,44.1,46.5,80.3,55.8,23.2,,,83.4,95.1,77.1,57.5,45.4,33.9,25.8,28.0,26.3,17.5
Earnings per Share,0.93,1.12,0.71,-0.042,0.36,0.48,2.11,0.78,,,0.86,0.88,-0.051,0.37,0.26,0.32,-0.18,0.17,0.16,0.099
Revenue per Share,5.24,5.93,6.02,5.51,5.83,6.39,8.78,8.14,,,2.69,2.77,1.70,2.01,1.91,2.28,1.95,1.66,1.74,1.59
Dividend per Share,0.71,1.00,,0.032,0.34,0.27,1.39,0.45,,,0.49,0.00,0.90,,,,0.45,,,
Capital Expenditures per Share,0.092,0.23,0.37,0.57,1.81,1.16,0.49,0.52,,,0.40,-0.043,0.074,0.11,0.17,0.10,0.14,0.036,0.040,0.041
Book Value per Share,3.34,3.80,4.09,4.45,6.64,7.14,10.1,10.2,,,8.47,8.96,10.1,10.6,10.0,10.4,10.2,10.4,10.2,10.2
Price to Earnings Ratio,11.0,33.2,27.3,,104.7,117.7,38.2,33.4,,,54.1,42.4,38.5,20.9,27.6,31.9,33.4,35.9,48.4,56.2
Price to Book Value Ratio,4.38,9.72,4.54,9.38,6.10,7.53,6.29,2.19,,,9.92,9.41,6.29,3.55,4.10,2.24,2.19,2.37,2.00,1.37
EV to EBITDA,6.08,21.1,15.3,401.5,37.3,42.8,25.0,12.2,,,27.5,31.9,25.0,18.5,16.9,14.0,12.2,13.6,20.8,18.4
Dividend Payout Ratio,76.4%,89.4%,,-76.1%,94.3%,56.7%,65.7%,57.8%,,,35.9%,0.0%,42.9%,,,,57.9%,,,
Common Shares Outstanding,350.3,360.0,360.0,372.5,417.3,417.3,438.9,441.6,,,420.5,421.2,438.9,441.2,441.5,441.6,441.6,441.6,441.5,442.7
