,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6
Price Average,12.5,12.3,13.0,12.6,12.1,15.4,16.4,13.3,12.8,,16.9,17.7,16.8,15.4,14.9,13.9,13.3,13.4,11.8
Earnings per Share,1.23,0.61,0.96,0.92,0.71,0.96,1.37,1.07,0.82,,0.43,0.41,0.25,0.21,0.34,0.27,0.29,0.12,0.21
Revenue per Share,6.82,2.32,5.25,5.08,4.55,4.98,6.09,,4.76,,1.89,1.68,1.21,1.02,1.81,1.34,1.57,0.81,1.28
Dividend per Share,1.08,0.60,0.92,0.92,0.70,0.92,1.23,,,,,,1.23,,,,1.00,,
Capital Expenditures per Share,0.059,0.029,0.011,0.046,0.055,0.15,0.078,,0.058,,0.007,0.002,0.063,0.015,0.006,0.013,0.005,0.048,0.004
Book Value per Share,3.75,3.31,3.70,3.72,3.60,3.88,4.33,,3.64,,3.65,4.07,4.33,4.53,3.62,3.89,4.12,4.26,3.47
Price to Earnings Ratio,10.8,19.3,13.6,14.5,15.8,13.5,12.8,12.2,14.5,,12.9,12.1,12.8,11.4,11.8,12.2,12.1,12.2,13.7
Price to Book Value Ratio,3.12,3.32,3.30,3.12,2.89,3.09,3.56,,3.10,,4.58,4.20,3.56,3.18,3.95,3.34,3.06,3.07,3.48
EV to EBITDA,5.40,41.7,8.22,10.6,10.2,9.49,9.04,0.00,9.98,,7.86,9.28,9.04,8.31,9.25,9.96,8.37,8.65,11.4
Dividend Payout Ratio,87.7%,98.2%,95.8%,100.0%,98.6%,95.8%,89.8%,,,,,,90.1%,,,,90.2%,,
Common Shares Outstanding,140.0,140.0,140.0,140.0,142.4,142.4,142.4,,142.4,,142.4,142.4,142.4,142.4,142.4,142.4,142.4,142.4,142.4
Total Revenue,954.9,324.3,735.0,711.7,647.8,709.4,867.7,764.6,677.2,,269.3,239.8,171.7,144.9,257.9,190.1,223.8,116.0,181.8
"Cost of Revenue, Total",630.3,247.3,478.9,488.8,454.5,484.5,552.0,503.6,465.1,,172.4,147.9,113.7,93.3,170.3,126.3,151.1,81.8,125.9
Gross Profit,324.6,77.1,256.1,222.8,193.3,224.9,315.7,261.0,212.1,,96.9,91.9,58.0,51.6,87.6,63.8,72.7,34.2,55.9
"Selling/General/Administrative Expenses, Total",82.2,56.5,80.0,76.3,68.6,68.8,84.9,82.0,76.6,,23.3,21.8,18.5,18.2,24.1,21.2,20.0,16.4,21.7
Operating Income,242.5,20.6,176.1,146.5,124.7,156.1,230.8,179.1,135.5,,73.6,70.0,39.6,33.4,63.5,42.6,52.6,17.8,34.2
Net Income,172.4,85.5,135.0,129.2,99.8,137.3,194.7,152.4,115.0,,61.3,58.5,36.0,29.6,48.9,37.8,41.6,17.4,29.9
EBITDA,253.7,31.8,187.6,156.0,133.8,171.1,245.3,194.2,148.2,,79.0,72.8,43.0,36.2,67.6,47.1,56.0,20.7,37.8
Gross Profit Margin,34.0%,23.8%,34.8%,31.3%,29.8%,31.7%,36.4%,34.1%,31.3%,,36.0%,38.3%,33.8%,35.6%,34.0%,33.6%,32.5%,29.5%,30.8%
Operating Margin,25.4%,6.4%,24.0%,20.6%,19.2%,22.0%,26.6%,23.4%,20.0%,,27.3%,29.2%,23.0%,23.1%,24.6%,22.4%,23.5%,15.4%,18.8%
Net Profit Margin,18.0%,26.4%,18.4%,18.1%,15.4%,19.4%,22.4%,19.9%,17.0%,,22.8%,24.4%,21.0%,20.4%,19.0%,19.9%,18.6%,15.0%,16.4%
Return on Assets,26.0%,15.3%,22.7%,20.0%,15.6%,20.6%,27.6%,21.6%,37.1%,,28.7%,29.3%,27.6%,24.8%,23.7%,22.1%,21.4%,18.5%,17.1%
Return on Equity,32.8%,18.5%,26.1%,24.8%,19.5%,24.9%,31.6%,0.0%,22.2%,,11.8%,10.1%,5.8%,4.6%,9.5%,6.8%,7.1%,2.9%,6.0%
Return on Total Capital,32.8%,18.5%,26.1%,24.8%,19.5%,24.9%,31.6%,0.0%,22.2%,,38.1%,34.3%,31.6%,28.7%,33.6%,27.5%,26.9%,24.0%,25.6%
SG&A to Sale,8.6%,17.4%,10.9%,10.7%,10.6%,9.7%,9.8%,10.7%,11.3%,,8.7%,9.1%,10.8%,12.5%,9.4%,11.1%,9.0%,14.1%,12.0%
Depreciation & Amortisation,11.2,11.2,11.6,9.42,9.09,15.0,14.5,15.2,12.7,,5.40,2.84,3.40,2.78,4.08,4.52,3.34,2.91,3.59
Tax Rate,30.3%,20.1%,18.7%,18.7%,19.7%,18.2%,19.2%,19.1%,19.6%,,19.5%,19.5%,18.1%,19.2%,19.4%,19.7%,20.0%,19.8%,19.6%
Current Ratio,10.4,6.99,4.30,4.92,4.51,4.28,6.22,,6.00,,3.90,5.81,6.22,5.49,3.35,4.53,3.46,3.89,3.04
Quick Ratio,4.76,5.28,2.62,1.07,1.03,0.97,3.92,0.00,1.24,,1.53,1.70,3.92,0.84,1.15,1.12,1.77,0.54,0.84
Days Inventory Outstanding,75.3,129.8,88.7,134.5,167.2,151.1,121.3,133.0,102.0,,123.5,117.4,113.3,130.5,134.6,146.1,175.5,214.5,238.5
Days Sale Outstanding,20.1,68.5,56.8,54.6,68.7,65.5,46.5,,53.2,,86.6,68.2,46.5,42.3,83.6,63.9,65.9,41.1,78.1
Days Payable Outstanding,10.4,2.88,12.8,17.6,18.7,28.4,22.3,24.5,7.66,,21.4,21.8,15.8,16.5,16.1,13.7,22.2,29.6,25.1
Cash Conversion Cycle,116.5,188.0,109.6,178.2,208.1,180.4,157.1,189.7,113.3,,168.7,178.5,156.5,158.0,183.8,209.9,205.7,243.3,278.2
Debt to Asset Ratio,0.097,0.13,0.21,0.18,0.20,0.20,0.15,,0.16,,0.22,0.16,0.15,0.16,0.25,0.19,0.26,0.23,0.29
Debt to Equity Ratio,0.11,0.15,0.27,0.23,0.25,0.25,0.17,,0.20,,0.29,0.19,0.17,0.20,0.34,0.24,0.35,0.30,0.41
Interest Coverage Ratio,134.7,32.4,153.5,136.9,206.5,320.5,370.8,134.3,40.5,,391.3,399.0,340.5,148.4,187.0,65.3,28.1,34.1,58.2
Cash and Short Term Investments,364.9,291.4,302.8,206.2,209.8,228.3,304.0,,114.0,,147.3,211.0,304.0,314.7,180.0,176.3,207.1,214.8,90.5
"Total Receivables, Net",52.5,60.9,114.5,106.5,121.9,127.2,110.5,,98.6,,211.4,162.4,110.5,95.7,186.6,133.9,147.4,88.6,152.4
Total Inventory,84.9,91.0,141.8,218.5,197.9,203.3,163.6,,259.9,,175.7,179.1,163.6,213.6,173.9,229.4,290.8,331.6,302.3
Total Current Assets,504.8,445.1,563.4,534.1,533.6,561.8,582.7,,475.1,,537.5,555.9,582.7,626.8,543.9,542.5,649.3,638.9,548.7
"Property/Plant/Equipment, Total - Net",60.4,53.5,44.5,44.0,45.6,53.7,57.9,,57.5,,52.2,50.7,57.9,58.3,57.3,57.2,56.5,60.8,59.3
