,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,16.1,16.6,20.5,27.1,36.5,37.5,27.7,25.0,,,38.9,33.0,29.1,26.8,25.6,25.5,25.5,24.7,24.5,23.9
Earnings per Share,0.47,-0.24,0.71,1.73,2.30,3.66,2.89,3.01,,,0.82,0.31,0.57,0.85,0.45,0.89,0.82,1.08,0.38,0.43
Revenue per Share,155.4,141.9,134.2,135.1,124.7,116.9,129.3,135.5,,,33.6,27.7,28.7,38.0,34.7,30.9,31.7,36.8,33.2,28.9
Dividend per Share,0.25,,0.38,1.00,1.25,2.00,1.50,1.63,,,,,1.50,,,,1.63,,,
Capital Expenditures per Share,1.34,1.53,0.60,0.24,0.39,0.31,0.74,0.93,,,0.12,0.16,0.25,0.20,0.15,0.38,0.21,0.19,0.20,0.064
Book Value per Share,23.3,23.7,24.4,25.8,27.5,29.9,30.8,32.5,,,29.9,30.2,30.8,31.6,30.5,31.5,32.5,33.6,32.3,33.1
Price to Earnings Ratio,33.7,,20.3,13.1,11.5,11.2,10.4,8.71,,,9.65,9.33,10.4,10.1,11.3,8.91,8.71,7.49,7.58,8.68
Price to Book Value Ratio,0.73,0.61,0.64,0.95,1.06,1.27,0.87,0.74,,,1.16,1.00,0.87,0.77,0.81,0.80,0.74,0.72,0.74,0.71
EV to EBITDA,7.62,7.32,0.00,6.27,7.51,5.11,8.17,7.18,,,6.81,7.96,8.17,7.65,7.51,8.35,7.18,6.57,7.54,7.23
Dividend Payout Ratio,52.7%,,53.6%,57.8%,54.3%,54.7%,51.9%,53.9%,,,,,51.9%,,,,53.9%,,,
Common Shares Outstanding,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,,,48.0,48.0,48.0,48.0,48.1,48.0,48.0,48.0,48.0,47.5
Total Revenue,"7,461","6,809","6,440","6,484","5,985","5,612","6,208","6,502",,,"1,612","1,332","1,377","1,824","1,671","1,484","1,523","1,767","1,592","1,372"
"Cost of Revenue, Total","7,094","6,529","6,081","6,112","5,554","5,115","5,779","6,044",,,"1,499","1,248","1,280","1,708","1,566","1,375","1,395","1,625","1,488","1,260"
Gross Profit,367.6,279.5,359.4,372.6,430.7,497.3,429.0,458.3,,,113.2,83.9,96.3,115.7,105.3,109.1,128.3,142.5,104.6,112.0
"Selling/General/Administrative Expenses, Total",289.0,252.1,298.6,238.3,285.5,234.2,241.9,248.3,,,60.8,59.2,61.4,63.8,61.8,57.6,65.1,66.5,69.4,63.8
Operating Income,78.6,27.4,60.9,134.3,145.2,227.8,187.1,181.1,,,52.4,24.8,34.9,51.9,48.6,33.6,46.9,71.6,25.3,32.4
Net Income,22.8,-11.3,34.1,83.1,110.6,175.5,138.8,144.6,,,39.2,14.7,27.3,40.6,21.8,42.7,39.5,51.8,18.1,20.4
EBITDA,332.7,256.9,240.1,292.2,279.9,335.2,264.0,250.0,,,72.8,46.6,48.9,69.8,66.7,51.1,62.3,88.2,42.4,49.6
Gross Profit Margin,4.9%,4.1%,5.6%,5.7%,7.2%,8.9%,6.9%,7.0%,,,7.0%,6.3%,7.0%,6.3%,6.3%,7.3%,8.4%,8.1%,6.6%,8.2%
Operating Margin,1.1%,0.4%,0.9%,2.1%,2.4%,4.1%,3.0%,2.8%,,,3.3%,1.9%,2.5%,2.8%,2.9%,2.3%,3.1%,4.0%,1.6%,2.4%
