,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,46.5,48.9,44.6,43.4,44.8,49.5,54.5,58.1,,,48.4,53.4,55.0,56.4,55.0,53.1,54.4,54.5,57.8,59.8
Earnings per Share,2.81,2.86,3.23,3.78,4.25,4.13,4.53,5.29,,,1.60,0.99,1.01,1.06,1.52,1.16,1.55,0.97,1.79,1.06
Revenue per Share,72.6,80.2,82.6,81.7,89.0,100.3,96.2,100.0,,,23.5,23.7,25.3,23.5,25.0,25.2,26.2,23.9,25.9,25.9
Dividend per Share,0.90,1.00,1.00,1.00,1.10,1.30,1.50,1.50,,,0.50,0.00,1.00,0.00,0.50,0.00,1.00,,0.60,0.00
Capital Expenditures per Share,1.21,0.69,0.62,0.35,0.46,0.38,0.46,0.50,,,0.00,0.065,0.23,0.091,0.18,0.16,0.060,0.041,1.41,0.11
Book Value per Share,25.9,29.0,29.9,35.0,37.1,41.2,49.0,52.1,,,43.4,46.5,49.0,50.0,49.3,51.4,52.1,52.7,53.4,54.0
Price to Earnings Ratio,12.1,18.7,12.5,10.7,9.42,11.0,11.7,10.2,,,10.3,11.5,11.7,12.1,11.5,10.9,10.2,10.2,10.3,11.0
Price to Book Value Ratio,1.35,1.72,1.39,1.22,1.14,1.17,1.05,1.03,,,1.06,1.13,1.05,1.11,1.08,1.01,1.03,1.02,1.05,1.04
EV to EBITDA,8.66,12.7,9.61,7.83,6.40,6.46,7.00,6.91,,,6.16,7.77,7.00,7.23,7.63,6.55,6.91,7.46,7.26,8.57
Dividend Payout Ratio,32.0%,35.0%,31.0%,26.5%,25.9%,31.5%,33.1%,28.4%,,,11.3%,0.0%,22.1%,0.0%,10.9%,0.0%,18.9%,,11.0%,0.0%
Common Shares Outstanding,318.4,318.4,323.4,327.8,330.0,330.0,330.0,330.0,,,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0
Total Revenue,"23,133","25,540","26,713","26,786","29,367","33,108","31,734","32,997",,,"7,770","7,812","8,355","7,771","8,262","8,315","8,648","7,889","8,540","8,561"
"Cost of Revenue, Total","18,772","20,749","21,678","21,767","24,098","27,427","26,113","27,084",,,"6,365","6,438","6,868","6,397","6,813","6,782","7,092","6,455","7,008","7,012"
Gross Profit,"4,361","4,792","5,035","5,019","5,269","5,681","5,620","5,912",,,"1,405","1,374","1,487","1,374","1,449","1,532","1,556","1,434","1,532","1,549"
"Selling/General/Administrative Expenses, Total","3,406","3,789","3,927","3,700","3,838","4,187","3,830","4,086",,,973.4,973.8,924.3,961.4,"1,030","1,060","1,036","1,022","1,058","1,097"
Operating Income,954.3,"1,003","1,108","1,319","1,431","1,496","1,841","1,826",,,484.7,392.9,567.7,413.0,419.0,471.8,520.6,412.3,473.4,451.4
Net Income,930.2,959.9,"1,036","1,232","1,400","1,363","1,489","1,743",,,525.7,325.3,333.7,349.8,501.0,381.5,511.0,318.5,589.1,349.5
EBITDA,"1,117","1,170","1,238","1,443","1,582","1,626","1,985","1,980",,,484.7,429.0,605.5,451.4,460.2,509.4,559.0,449.8,511.9,491.5
Gross Profit Margin,18.9%,18.8%,18.8%,18.7%,17.9%,17.2%,17.7%,17.9%,,,18.1%,17.6%,17.8%,17.7%,17.5%,18.4%,18.0%,18.2%,17.9%,18.1%
Operating Margin,4.1%,3.9%,4.1%,4.9%,4.9%,4.5%,5.8%,5.5%,,,6.2%,5.0%,6.8%,5.3%,5.1%,5.7%,6.0%,5.2%,5.5%,5.3%
Net Profit Margin,4.0%,3.8%,3.9%,4.6%,4.8%,4.1%,4.7%,5.3%,,,6.8%,4.2%,4.0%,4.5%,6.1%,4.6%,5.9%,4.0%,6.9%,4.1%
Return on Assets,7.0%,6.3%,6.3%,7.0%,7.1%,6.3%,6.1%,6.6%,,,6.4%,6.4%,6.0%,6.1%,6.1%,6.2%,6.7%,6.5%,6.9%,6.8%
Return on Equity,11.3%,10.4%,10.7%,10.8%,11.4%,10.0%,9.2%,10.1%,,,3.7%,2.1%,2.1%,2.1%,3.1%,2.2%,3.0%,1.8%,3.3%,2.0%
Return on Total Capital,11.3%,10.4%,10.7%,10.8%,11.4%,10.0%,9.2%,10.1%,,,10.2%,9.7%,9.2%,9.3%,9.3%,9.2%,10.1%,9.8%,10.2%,9.9%
SG&A to Sale,14.7%,14.8%,14.7%,13.8%,13.1%,12.6%,12.1%,12.4%,,,12.5%,12.5%,11.1%,12.4%,12.5%,12.8%,12.0%,13.0%,12.4%,12.8%
Depreciation & Amortisation,163.0,167.5,129.7,124.1,150.6,129.7,143.9,154.2,,,,36.0,37.7,38.4,41.2,37.6,38.3,37.5,38.5,40.1
Tax Rate,23.9%,22.9%,20.9%,19.1%,17.1%,15.8%,19.7%,17.3%,,,13.6%,19.5%,27.8%,18.3%,12.8%,19.1%,19.3%,20.1%,12.2%,20.2%
Current Ratio,1.24,1.31,1.38,1.48,1.48,1.49,1.44,1.47,,,1.44,1.46,1.44,1.52,1.49,1.54,1.47,1.54,1.47,1.54
Quick Ratio,0.75,0.96,1.00,1.15,1.19,1.04,1.11,1.10,,,1.11,1.15,1.11,1.13,1.15,1.13,1.10,1.21,1.13,1.24
Days Inventory Outstanding,14.7,14.6,13.1,13.2,12.7,10.2,11.1,11.9,,,9.98,10.0,10.9,11.4,10.8,10.8,11.9,12.3,11.7,11.7
Days Sale Outstanding,65.8,82.7,79.3,90.2,91.3,81.1,82.0,78.1,,,67.8,76.1,82.0,68.8,74.3,73.4,78.1,68.5,71.4,70.0
Days Payable Outstanding,67.1,32.8,31.3,65.1,63.9,62.5,69.3,67.2,,,28.6,58.9,64.7,65.1,62.1,63.0,65.2,64.8,63.9,60.6
Cash Conversion Cycle,5.02,86.2,30.4,30.6,33.5,25.1,26.0,22.7,,,22.5,23.3,21.8,25.8,18.1,21.3,19.6,23.9,15.2,27.0
Debt to Asset Ratio,0.42,0.43,0.41,0.39,0.40,0.40,0.37,0.35,,,0.36,0.35,0.37,0.33,0.34,0.33,0.35,0.32,0.33,0.30
Debt to Equity Ratio,0.72,0.77,0.70,0.65,0.67,0.69,0.58,0.54,,,0.56,0.55,0.58,0.49,0.52,0.51,0.54,0.47,0.49,0.44
Interest Coverage Ratio,614.6,669.6,364.9,315.3,493.0,"6,018","6,391","4,617",,,"7,344","5,110","6,705","4,819","4,318","4,504","4,820","4,001","5,161","2,122"
Cash and Short Term Investments,"1,008","1,459","1,764","2,220","2,780","4,647","3,841","3,904",,,"3,459","3,360","3,841","3,758","3,573","3,919","3,904","3,508","3,355","2,767"
