,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,,5.18,8.40,,,,,,,,5.18,6.57,8.00,8.70,9.48
Earnings per Share,,,,0.093,0.054,0.088,0.021,0.16,,,-0.019,0.001,0.011,0.024,0.027,0.030,0.041,0.045,0.055,0.064
Revenue per Share,,,,0.50,0.55,0.65,0.79,1.01,,,,,0.21,0.24,0.24,0.25,0.27,0.29,0.29,0.31
Dividend per Share,,,,0.00,0.00,0.053,0.12,,,,,,0.12,0.00,0.00,0.00,,,,
Capital Expenditures per Share,,,,0.085,0.00,0.73,0.38,0.092,,,,,0.045,0.021,0.024,0.027,0.020,0.019,0.005,0.14
Book Value per Share,,,,0.16,0.14,0.20,0.20,1.70,,,,,0.20,0.20,0.42,0.27,1.70,1.74,1.80,1.86
Price to Earnings Ratio,,,,,,,,41.5,,,,,,,,48.8,56.0,49.9,47.0,45.4
Price to Book Value Ratio,,,,,,,,4.24,,,,,,,,15.6,4.24,4.24,4.89,5.15
EV to EBITDA,,,,,,,0.00,15.3,,,0.00,0.00,0.00,0.00,0.00,0.00,15.3,22.6,18.8,22.7
Dividend Payout Ratio,,,,0.0%,0.0%,60.4%,565.2%,,,,,,1294.6%,0.0%,0.0%,0.0%,,,,
Common Shares Outstanding,,,,940.0,940.0,940.0,940.0,940.0,,,,,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0
Total Revenue,,,,474.2,517.9,608.6,746.3,947.4,,,164.0,199.4,198.1,226.1,226.9,237.4,257.0,268.6,272.4,289.7
"Cost of Revenue, Total",,,,290.1,335.3,366.7,491.4,567.2,,,113.2,136.8,128.2,140.3,139.8,135.4,151.7,151.2,155.9,160.8
Gross Profit,,,,184.1,182.5,241.9,255.0,380.2,,,50.8,62.6,69.8,85.8,87.1,102.0,105.3,117.5,116.5,128.9
"Selling/General/Administrative Expenses, Total",,,,85.2,122.0,158.4,196.6,238.7,,,47.5,51.6,49.9,54.6,53.9,63.7,66.5,74.3,62.4,68.8
Operating Income,,,,98.9,60.5,83.5,58.4,141.5,,,3.32,10.9,19.9,31.2,33.2,38.3,38.8,43.1,54.1,60.1
Net Income,,,,87.9,50.4,69.8,17.9,103.5,,,-8.00,0.53,10.5,22.9,20.8,27.9,32.0,42.5,52.0,60.4
EBITDA,,,,124.8,60.5,124.8,158.4,258.9,,,26.7,37.1,47.1,59.3,62.0,68.8,69.4,73.3,85.4,92.6
Gross Profit Margin,,,,38.8%,35.2%,39.8%,34.2%,40.1%,,,31.0%,31.4%,35.3%,37.9%,38.4%,43.0%,41.0%,43.7%,42.8%,44.5%
Operating Margin,,,,20.8%,11.7%,13.7%,7.8%,14.9%,,,2.0%,5.5%,10.1%,13.8%,14.6%,16.1%,15.1%,16.1%,19.9%,20.7%
Net Profit Margin,,,,18.5%,9.7%,11.5%,2.4%,10.9%,,,-4.9%,0.3%,5.3%,10.1%,9.2%,11.7%,12.4%,15.8%,19.1%,20.8%
Return on Assets,,,,15.2%,6.7%,5.8%,1.1%,5.0%,,,,,1.0%,3.0%,5.2%,4.1%,4.8%,5.0%,5.8%,6.8%
Return on Equity,,,,57.6%,38.6%,37.2%,9.6%,6.5%,,,0.0%,0.0%,5.6%,12.3%,5.2%,10.8%,2.0%,2.6%,3.1%,3.4%
Return on Total Capital,,,,31.7%,16.5%,11.0%,3.1%,6.5%,,,0.0%,0.0%,3.1%,13.9%,5.8%,10.5%,6.5%,7.5%,9.1%,10.6%
SG&A to Sale,,,,18.0%,23.6%,26.0%,26.3%,25.2%,,,29.0%,25.9%,25.2%,24.1%,23.8%,26.8%,25.9%,27.7%,22.9%,23.8%
Depreciation & Amortisation,,,,26.0,,41.3,100.0,117.4,,,23.4,26.1,27.1,28.1,28.8,30.5,30.6,30.2,31.3,32.5
Tax Rate,,,,1.6%,2.2%,1.2%,3.6%,1.3%,,,-1.4%,45.8%,0.1%,0.5%,2.1%,2.6%,0.2%,0.7%,1.6%,0.7%
Current Ratio,,,,1.13,0.83,0.24,0.23,1.80,,,,,0.23,,0.64,0.48,1.80,1.88,1.75,1.86
Quick Ratio,,,,0.98,0.55,0.060,0.12,1.06,,,0.00,0.00,0.12,0.00,0.49,0.37,1.06,1.19,1.19,1.12
Days Inventory Outstanding,,,,10.4,11.4,11.9,7.51,5.33,,,,,6.66,3.16,3.13,5.34,4.55,4.37,3.77,3.71
Days Sale Outstanding,,,,31.8,15.7,19.3,16.6,14.7,,,,,16.6,,51.5,3.51,14.7,27.2,55.3,4.86
Days Payable Outstanding,,,,2.23,0.97,2.20,3.12,2.42,,,,,2.95,1.40,6.00,7.84,2.89,3.40,7.49,8.08
Cash Conversion Cycle,,,,40.6,34.1,24.0,20.9,17.1,,,,,20.5,11.1,17.2,28.5,11.4,20.8,34.8,27.2
Debt to Asset Ratio,,,,0.73,0.86,0.87,0.89,0.34,,,,,0.89,,0.81,0.86,0.34,0.34,0.41,0.34
Debt to Equity Ratio,,,,2.78,6.12,6.83,8.26,0.52,,,,,8.26,,4.23,6.27,0.52,0.51,0.69,0.53
Interest Coverage Ratio,,,,10.3,6.91,8.63,1.95,4.17,,,0.44,1.46,2.75,4.49,3.07,3.98,5.90,71.9,45.4,90.4
Cash and Short Term Investments,,,,205.2,267.8,67.9,145.7,883.7,,,,,145.7,145.7,445.4,356.7,883.7,910.9,"1,226","1,093"
"Total Receivables, Net",,,,41.3,22.2,32.2,33.9,38.0,,,,,33.9,,120.0,8.54,38.0,73.6,156.8,14.5
Total Inventory,,,,8.24,12.8,11.2,8.97,7.59,,,,,8.97,,9.35,6.56,7.59,6.24,6.04,6.56
Total Current Assets,,,,260.5,312.6,127.3,196.4,942.1,,,,,196.4,,581.2,377.7,942.1,"1,001","1,399","1,123"
"Property/Plant/Equipment, Total - Net",,,,298.1,557.8,"1,252","1,430","1,386",,,,,"1,430",,"1,403","1,397","1,386","1,375","1,350","1,442"
Total Assets,,,,577.5,930.3,"1,469","1,725","2,425",,,,,"1,725",,"2,086","1,873","2,425","2,481","2,854","2,674"
Accounts Payable,,,,1.77,,4.43,3.97,3.56,,,,,3.97,,17.9,5.43,3.56,7.20,17.2,10.2
Accrued Expenses,,,,7.63,,17.5,22.4,21.5,,,,,22.4,,34.6,28.3,21.5,38.6,29.5,22.4
Debt Due,,,,18.8,24.2,104.1,400.6,3.38,,,,,400.6,0.00,245.3,247.9,3.38,2.88,2.17,3.48
Total Current Liabilities,,,,231.0,375.0,537.2,848.8,523.7,,,,,848.8,,905.0,787.1,523.7,532.5,799.3,603.2
Long Term Debt,,,,124.3,174.8,446.1,383.3,1.42,,,,,383.3,,545.6,521.0,1.42,0.82,0.55,4.33
