,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.05,1.79,1.87,2.00,2.11,1.70,1.50,1.14,,,1.67,1.59,1.71,1.65,1.65,1.48,1.31,1.35,1.17,0.93
Earnings per Share,-0.022,0.13,0.34,-0.031,0.15,0.18,0.022,0.091,,,-0.048,-0.034,0.15,-0.031,-0.069,-0.043,0.22,-0.077,-0.089,-0.11
Revenue per Share,1.22,2.37,1.24,1.83,3.12,3.02,2.60,2.99,,,0.57,0.65,0.84,0.77,0.73,0.63,1.21,0.39,0.31,0.23
Dividend per Share,0.008,0.020,0.057,0.057,0.016,0.053,0.030,0.032,,,,,0.030,,,,0.032,,,
Capital Expenditures per Share,0.011,0.014,0.018,0.032,0.098,0.26,0.36,0.00,,,0.086,0.11,0.098,0.070,0.041,0.027,-0.12,0.032,0.042,0.043
Book Value per Share,1.07,1.21,1.50,1.42,1.51,1.66,1.63,1.65,,,1.53,1.50,1.63,1.61,1.50,1.46,1.65,1.57,1.45,1.34
Price to Earnings Ratio,,10.4,3.59,,12.7,9.42,77.2,13.9,,,35.0,16.7,37.0,39.7,78.1,116.0,16.2,39.1,84.0,
Price to Book Value Ratio,0.49,1.40,0.96,1.10,1.27,1.01,1.00,0.76,,,1.06,0.99,1.00,0.99,1.08,0.84,0.76,0.87,0.66,0.66
EV to EBITDA,10.7,5.39,-14.1,57.5,10.1,24.5,34.4,17.6,,,-22.8,-35.3,34.4,31.0,30.4,56.8,17.6,33.8,60.5,218.6
Dividend Payout Ratio,-36.6%,15.0%,16.7%,-181.4%,10.8%,29.4%,137.0%,35.1%,,,,,65.7%,,,,40.8%,,,
Common Shares Outstanding,891.0,891.0,891.0,888.9,877.0,877.0,889.7,"1,067",,,889.7,889.7,889.7,889.7,889.7,889.7,"1,067","1,067","1,067","1,067"
Total Revenue,"1,084","2,110","1,103","1,629","2,735","2,650","2,317","3,188",,,504.6,574.8,744.6,684.4,651.6,558.0,"1,294",418.1,330.6,247.7
"Cost of Revenue, Total",671.9,"1,306",696.3,"1,085","1,720","1,775","1,492","2,152",,,359.0,396.1,410.9,506.8,480.3,439.5,725.6,320.7,277.1,234.8
Gross Profit,411.6,804.3,406.4,543.6,"1,014",875.2,825.0,"1,035",,,145.6,178.7,333.7,177.5,171.3,118.5,568.0,97.5,53.5,12.9
"Selling/General/Administrative Expenses, Total",325.9,461.3,569.8,516.0,649.9,771.3,714.7,865.5,,,186.5,184.0,157.5,178.7,220.7,205.4,260.7,189.1,166.5,157.9
Operating Income,85.7,343.0,-163.4,27.6,364.5,103.8,110.3,169.9,,,-40.8,-5.38,176.2,-1.13,-49.4,-86.9,307.3,-91.6,-113.0,-145.0
Net Income,-19.7,120.2,302.7,-27.8,131.7,158.9,18.6,82.4,,,-42.8,-30.1,114.7,-27.0,-61.3,-38.1,208.8,-82.1,-94.5,-116.3
EBITDA,154.8,412.6,-115.8,45.5,388.4,169.0,146.9,236.8,,,-34.1,6.40,187.7,10.4,-35.1,-68.5,330.1,-78.5,-100.0,-127.7
Gross Profit Margin,38.0%,38.1%,36.9%,33.4%,37.1%,33.0%,35.6%,32.5%,,,28.9%,31.1%,44.8%,25.9%,26.3%,21.2%,43.9%,23.3%,16.2%,5.2%
