,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,27.5,30.5,27.1,37.6,37.1,41.3,36.0,25.8,,,40.4,43.4,38.0,35.8,34.5,33.5,32.9,32.3,28.0,21.3
Earnings per Share,-3.17,2.12,0.15,1.80,3.00,2.12,1.11,0.52,,,0.63,0.47,0.019,0.12,0.57,-0.11,-0.075,-2.55,0.65,-0.43
Revenue per Share,14.2,15.7,17.0,19.7,21.1,17.4,16.2,16.3,,,4.19,4.08,4.14,3.94,4.38,4.04,3.99,4.67,8.05,7.69
Dividend per Share,,1.50,0.75,1.25,2.00,1.50,1.00,0.50,,,,,1.00,,,,0.50,,,
Capital Expenditures per Share,0.042,0.029,0.083,0.038,0.12,0.035,0.059,0.016,,,0.017,0.006,0.006,0.008,0.00,0.007,0.002,0.002,0.003,0.004
Book Value per Share,43.6,48.8,45.3,48.2,48.9,49.5,50.2,48.0,,,48.5,49.7,50.2,50.1,48.1,48.9,48.0,46.3,46.3,44.9
Price to Earnings Ratio,,13.6,144.5,19.7,11.6,16.7,33.4,63.9,,,21.1,28.9,33.4,28.9,28.2,52.4,63.9,,,
Price to Book Value Ratio,0.53,0.61,0.51,0.83,0.75,0.72,0.74,0.67,,,0.78,0.94,0.74,0.67,0.70,0.68,0.67,0.68,0.50,0.41
EV to EBITDA,-11.8,-77.7,7.67,6.48,8.76,12.2,23.8,65.4,,,12.5,22.8,23.8,20.0,19.7,36.9,65.4,-9.62,-9.84,-4.93
Dividend Payout Ratio,,70.8%,492.6%,69.5%,66.7%,70.6%,90.3%,96.8%,,,,,90.3%,,,,96.8%,,,
Common Shares Outstanding,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Total Revenue,170.8,187.8,204.3,235.9,252.6,208.5,194.3,196.1,,,50.2,48.9,49.7,47.3,52.5,48.4,47.9,56.1,96.6,92.3
"Cost of Revenue, Total",147.5,97.2,129.3,142.8,155.6,129.1,132.0,146.0,,,30.5,32.3,34.6,35.5,33.6,40.5,36.4,83.0,74.6,87.1
Gross Profit,23.4,90.6,75.1,93.1,97.0,79.4,62.2,50.1,,,19.8,16.7,15.0,11.8,18.9,7.91,11.4,-26.9,22.0,5.23
"Selling/General/Administrative Expenses, Total",50.7,52.4,47.5,45.3,50.9,46.9,45.1,41.9,,,10.9,9.92,13.9,9.34,10.9,9.71,11.9,10.3,12.2,10.2
Operating Income,-28.7,36.7,25.0,45.2,43.4,30.0,14.6,5.69,,,8.03,6.19,0.53,1.85,7.20,-2.33,-1.03,-38.3,8.74,-6.98
Net Income,-38.0,25.4,1.83,21.6,36.0,25.5,13.3,6.20,,,7.55,5.66,0.23,1.48,6.88,-1.27,-0.89,-30.6,7.84,-5.14
EBITDA,-24.6,40.7,28.8,48.8,46.4,33.1,17.1,6.49,,,8.03,6.19,3.07,1.85,7.20,-2.33,-0.84,-38.1,8.92,-6.80
Gross Profit Margin,13.7%,48.3%,36.7%,39.5%,38.4%,38.1%,32.0%,25.5%,,,39.3%,34.1%,30.2%,25.0%,36.0%,16.3%,23.9%,-48.0%,22.8%,5.7%
Operating Margin,-16.8%,19.6%,12.2%,19.1%,17.2%,14.4%,7.5%,2.9%,,,16.0%,12.6%,1.1%,3.9%,13.7%,-4.8%,-2.2%,-68.2%,9.0%,-7.6%
Net Profit Margin,-22.3%,13.5%,0.9%,9.1%,14.2%,12.2%,6.8%,3.2%,,,15.0%,11.6%,0.5%,3.1%,13.1%,-2.6%,-1.9%,-54.5%,8.1%,-5.6%
Return on Assets,-4.4%,3.0%,0.2%,2.7%,4.5%,3.2%,1.6%,0.8%,,,2.5%,2.0%,1.7%,1.8%,1.8%,0.9%,0.8%,-3.1%,-2.8%,-3.2%
Return on Equity,-7.3%,4.3%,0.3%,3.7%,6.1%,4.3%,2.2%,1.1%,,,1.3%,0.9%,0.0%,0.2%,1.2%,-0.2%,-0.2%,-5.5%,1.4%,-1.0%
Return on Total Capital,-7.3%,4.3%,0.3%,3.7%,6.1%,4.3%,2.2%,1.1%,,,3.5%,2.7%,2.2%,2.5%,2.5%,1.2%,1.1%,-4.7%,-4.5%,-5.3%
SG&A to Sale,29.7%,27.9%,23.3%,19.2%,20.2%,22.5%,23.2%,21.4%,,,21.7%,20.3%,28.1%,19.7%,20.8%,20.0%,24.9%,18.3%,12.6%,11.0%
Depreciation & Amortisation,4.12,3.99,3.85,3.62,3.03,3.06,2.55,0.80,,,,,2.55,,,,0.19,0.18,0.18,0.18
Tax Rate,-12.3%,17.7%,75.9%,16.9%,17.1%,15.1%,8.8%,-9.0%,,,5.9%,8.6%,56.0%,19.5%,4.6%,45.6%,13.3%,20.1%,10.3%,26.3%
Current Ratio,1.30,1.44,0.72,0.57,0.48,0.55,0.62,0.43,,,0.84,0.73,0.62,0.66,0.59,0.47,0.43,0.49,0.47,0.50
Quick Ratio,0.15,0.20,0.16,0.13,0.14,0.13,0.17,0.17,,,0.14,0.17,0.17,0.13,0.14,0.13,0.17,0.15,0.11,0.10
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,34.6,36.6,38.4,36.0,35.9,39.3,52.9,59.8,,,43.5,53.5,52.9,44.8,43.8,44.0,59.8,80.0,47.7,46.7
Days Payable Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,5.26,2.00,0.00,0.00,3.95,7.72,6.21,6.37,,,6.34,6.64,6.81,5.11,5.13,6.13,6.18,6.17,10.8,11.5
Debt to Asset Ratio,0.37,0.33,0.32,0.29,0.26,0.26,0.25,0.28,,,0.26,0.26,0.25,0.26,0.26,0.27,0.28,0.37,0.37,0.42
Debt to Equity Ratio,0.58,0.49,0.47,0.40,0.36,0.35,0.34,0.39,,,0.35,0.34,0.34,0.35,0.35,0.36,0.39,0.58,0.59,0.72
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,8.95,24.4,12.1,19.9,13.4,18.0,39.5,11.9,,,79.3,59.1,39.5,55.0,41.9,25.1,11.9,56.5,65.9,81.4
"Total Receivables, Net",16.2,18.8,21.5,23.2,24.8,22.5,28.2,32.1,,,23.4,28.4,28.2,24.1,23.8,23.9,32.1,44.9,32.5,37.4
Total Inventory,,,,,,,,,,,,,,,,,,,,
Total Current Assets,139.6,137.9,98.5,101.7,87.3,95.4,105.0,83.4,,,144.8,124.7,105.0,118.9,100.8,86.5,83.4,145.2,140.7,179.0
"Property/Plant/Equipment, Total - Net",59.8,56.1,53.3,50.1,48.5,45.9,44.1,43.5,,,45.1,44.5,44.1,43.9,43.7,43.6,43.5,43.3,43.1,43.0
Total Assets,824.9,869.9,799.2,810.4,798.1,803.7,807.5,799.5,,,786.2,802.0,807.5,810.7,778.3,799.1,799.5,879.9,886.1,928.5
Accounts Payable,,,,,,,,,,,,,,,,,,,,
Accrued Expenses,,,,12.2,10.6,11.3,11.0,11.5,,,8.58,10.7,11.0,9.40,8.74,9.16,11.5,25.4,16.0,17.6
Debt Due,0.00,0.00,2.02,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Current Liabilities,107.5,96.0,136.1,178.6,180.6,173.4,168.7,193.0,,,171.9,171.3,168.7,179.3,172.2,184.1,193.0,295.0,300.6,359.1
Long Term Debt,,,,,,,,,,,,,,,,,,,,
Total Liabilities,302.0,284.4,255.7,232.1,211.3,209.8,205.4,223.0,,,203.9,205.7,205.4,209.2,201.2,212.6,223.0,324.1,330.5,390.2
Common Stock,60.0,60.0,60.0,60.0,120.0,120.0,120.0,120.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
Additional Paid-In Capital,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,,,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0
Retained Earnings (Accumulated Deficit),159.4,203.8,187.2,198.4,159.1,158.3,156.0,150.8,,,147.8,153.4,156.0,157.5,152.4,151.1,150.8,120.2,122.0,116.9
Shareholders' Equity,522.9,585.5,543.5,578.3,586.8,593.9,602.1,576.5,,,582.3,596.3,602.1,601.5,577.1,586.6,576.5,555.8,555.5,538.3
Cash from Operating Activities,1.50,-36.5,5.06,-4.76,10.1,28.9,40.2,-15.5,,,62.7,-20.2,-19.4,15.6,-1.15,-16.7,-13.2,44.6,15.4,15.6
Cash from Investing Activities,10.8,51.9,-1.40,23.6,-1.60,-0.36,-0.59,-0.19,,,-0.20,-0.066,-0.073,-0.091,0.00,-0.082,-0.021,-0.019,-0.030,-0.048
Cash from Financing Activities,-12.0,,-16.0,-11.0,-15.0,-24.0,-18.0,-12.0,,,-18.0,0.00,0.00,,-12.0,0.00,0.00,,-6.00,0.00
Net Change in Cash,0.32,15.4,-12.3,7.83,-6.46,4.53,21.6,-27.7,,,44.5,-20.2,-19.5,15.5,-13.1,-16.8,-13.2,44.6,9.41,15.5
Free Cashflows,1.00,-36.8,4.07,-5.22,8.68,28.5,39.5,-15.7,,,62.5,-20.2,-19.5,15.5,-1.15,-16.8,-13.2,44.6,15.4,15.5
Free Cashflow per Share,0.083,-3.07,0.34,-0.43,0.72,2.37,3.29,-1.31,,,5.21,-1.69,-1.63,1.29,-0.096,-1.40,-1.10,3.72,1.28,1.30
