,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,14.7,12.4,12.2,13.4,9.75,8.00,6.85,5.85,,,7.95,7.85,7.73,7.38,7.43,6.73,6.07,6.00,5.95,5.65
Earnings per Share,1.15,1.25,0.88,0.62,0.14,-0.78,-0.16,1.00,,,0.011,-0.23,0.22,-0.16,0.010,-0.14,1.25,-0.020,0.050,0.021
Revenue per Share,13.2,12.5,11.0,12.9,10.6,11.2,10.1,7.34,,,2.71,2.05,2.38,1.91,1.83,1.54,2.05,1.92,1.78,1.87
Dividend per Share,0.60,0.60,0.45,0.37,0.70,,0.23,0.25,,,,,0.23,,,,0.25,,,
Capital Expenditures per Share,0.53,0.32,0.16,0.12,0.043,0.22,0.12,0.069,,,0.006,0.008,0.10,0.011,0.037,0.005,0.016,0.014,0.012,0.015
Book Value per Share,15.0,16.4,15.6,16.2,15.3,15.5,16.0,15.5,,,15.6,15.8,16.0,15.8,15.3,15.4,15.5,15.4,15.2,15.1
Price to Earnings Ratio,10.6,10.5,12.8,19.5,59.6,,,5.90,,,,,,,,,6.10,5.10,4.97,4.48
Price to Book Value Ratio,0.74,0.79,0.73,0.68,0.65,0.50,0.47,0.37,,,0.49,0.47,0.47,0.44,0.46,0.35,0.37,0.38,0.35,0.35
EV to EBITDA,5.43,6.55,10.4,8.44,10.1,-6.97,-5.33,-3.34,,,-6.67,-6.82,-5.33,-4.98,-4.21,-4.59,-3.34,-5.07,-5.66,-7.42
Dividend Payout Ratio,52.2%,48.1%,51.4%,60.0%,496.4%,,-142.3%,25.0%,,,,,-153.9%,,,,25.8%,,,
Common Shares Outstanding,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,,,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
Total Revenue,"1,266","1,198","1,058","1,238","1,013","1,076",969.3,704.2,,,260.5,197.2,228.0,183.4,176.2,147.9,196.8,184.2,170.5,179.2
"Cost of Revenue, Total",880.4,811.0,738.7,891.9,757.6,922.8,844.5,594.2,,,223.2,178.3,193.5,152.0,141.5,120.3,180.3,145.7,131.0,134.9
Gross Profit,385.8,386.6,318.9,346.4,255.7,152.7,124.8,110.1,,,37.2,18.9,34.5,31.4,34.6,27.5,16.5,38.5,39.5,44.3
"Selling/General/Administrative Expenses, Total",294.4,302.7,280.9,290.1,245.1,272.3,240.8,205.2,,,60.4,56.5,61.5,53.0,53.2,53.4,45.7,48.5,53.0,52.7
Operating Income,96.3,89.3,43.7,56.3,10.6,-119.6,-116.0,-95.2,,,-23.1,-37.6,-27.0,-21.6,-18.6,-25.8,-29.2,-9.95,-13.5,-8.41
