,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,5.08,3.86,3.38,3.05,2.57,3.48,,,3.00,2.81,2.72,2.29,2.25,2.22,2.45,3.56,3.85,3.49
Earnings per Share,-0.043,0.16,0.12,0.24,0.24,0.18,0.049,0.29,,,0.041,0.058,-0.12,0.064,0.059,0.072,0.099,0.18,0.14,0.15
Revenue per Share,1.10,1.35,1.66,2.50,2.60,2.42,2.47,2.70,,,0.79,0.69,0.25,0.61,0.72,0.63,0.74,0.75,0.62,0.66
Dividend per Share,0.00,0.024,0.080,0.15,0.15,0.15,0.15,0.25,,,0.10,0.00,0.050,,0.10,0.00,0.15,,0.20,0.00
Capital Expenditures per Share,0.39,0.094,0.10,0.32,0.043,0.12,0.22,0.49,,,0.072,0.046,0.060,0.11,0.16,0.14,0.082,0.060,0.093,0.066
Book Value per Share,0.92,1.09,1.10,1.61,1.70,1.73,1.63,1.77,,,1.79,1.75,1.63,1.69,1.70,1.67,1.77,1.95,1.94,1.90
Price to Earnings Ratio,,,,17.5,13.0,16.3,53.6,8.63,,,17.7,15.2,53.6,54.9,36.8,28.8,8.63,8.32,7.86,6.05
Price to Book Value Ratio,,,,2.11,1.81,1.67,1.49,1.41,,,1.62,1.53,1.49,1.15,1.30,1.22,1.41,2.10,1.71,1.73
EV to EBITDA,0.00,0.00,0.00,13.5,10.4,12.6,11.8,7.24,,,11.1,9.70,11.8,12.0,11.6,10.5,7.24,6.06,7.14,5.50
Dividend Payout Ratio,0.0%,14.6%,68.0%,62.7%,61.4%,84.2%,307.0%,85.0%,,,61.4%,0.0%,102.3%,,167.2%,0.0%,51.0%,,40.5%,0.0%
Common Shares Outstanding,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",,,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
Total Revenue,"1,098","1,351","1,660","2,500","2,603","2,418","2,473","2,698",,,787.6,686.3,248.7,606.8,715.9,631.4,743.7,754.1,622.5,661.8
"Cost of Revenue, Total","1,062","1,070","1,391","2,166","2,244","2,112","2,220","2,258",,,720.4,610.0,241.2,509.1,621.9,527.3,599.6,528.5,450.7,474.4
Gross Profit,36.4,280.5,269.2,334.9,358.3,306.5,253.1,439.9,,,67.2,76.3,7.49,97.7,94.0,104.1,144.1,225.6,171.8,187.4
"Selling/General/Administrative Expenses, Total",51.2,60.8,89.9,49.4,48.2,77.7,98.6,75.1,,,15.4,13.2,56.2,21.5,19.5,15.9,18.3,16.6,25.4,24.1
Operating Income,-14.2,219.6,179.3,285.5,310.0,228.8,154.5,364.8,,,51.8,63.1,-48.7,76.2,74.5,88.2,125.8,209.0,146.5,163.3
Net Income,-42.9,164.1,117.7,219.3,244.3,178.1,48.9,294.3,,,40.7,57.8,-121.4,64.5,59.0,72.2,98.6,181.5,141.1,153.9
EBITDA,35.5,304.9,277.8,390.6,431.2,353.5,300.5,523.5,,,87.7,100.8,-9.87,114.8,114.2,128.5,166.0,249.3,187.8,205.6
Gross Profit Margin,3.3%,20.8%,16.2%,13.4%,13.8%,12.7%,10.2%,16.3%,,,8.5%,11.1%,3.0%,16.1%,13.1%,16.5%,19.4%,29.9%,27.6%,28.3%
Operating Margin,-1.3%,16.3%,10.8%,11.4%,11.9%,9.5%,6.2%,13.5%,,,6.6%,9.2%,-19.6%,12.6%,10.4%,14.0%,16.9%,27.7%,23.5%,24.7%
Net Profit Margin,-3.9%,12.1%,7.1%,8.8%,9.4%,7.4%,2.0%,10.9%,,,5.2%,8.4%,-48.8%,10.6%,8.2%,11.4%,13.3%,24.1%,22.7%,23.3%
Return on Assets,-1.8%,6.8%,4.4%,7.0%,7.4%,5.5%,1.6%,8.9%,,,5.2%,6.2%,1.7%,1.3%,1.7%,2.1%,8.2%,11.1%,13.7%,16.3%
Return on Equity,-4.6%,15.1%,10.7%,13.6%,14.3%,10.3%,3.0%,16.6%,,,2.3%,3.3%,-7.5%,3.8%,3.5%,4.3%,5.6%,9.3%,7.3%,8.1%
Return on Total Capital,-4.6%,10.1%,6.7%,10.5%,12.2%,9.6%,3.0%,12.8%,,,8.9%,10.1%,3.0%,2.4%,3.2%,3.8%,12.8%,16.3%,20.2%,23.7%
SG&A to Sale,4.7%,4.5%,5.4%,2.0%,1.9%,3.2%,4.0%,2.8%,,,2.0%,1.9%,22.6%,3.5%,2.7%,2.5%,2.5%,2.2%,4.1%,3.6%
