,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,5.46,10.2,14.8,16.0,10.5,20.1,26.0,16.5,,,18.7,26.6,33.1,24.5,20.1,19.1,18.3,18.9,16.9,14.4
Earnings per Share,0.23,0.30,0.41,0.35,0.12,-0.10,0.33,0.49,,,0.054,0.12,0.10,0.094,0.16,0.10,0.13,0.11,0.093,0.091
Revenue per Share,3.09,3.25,3.70,4.29,3.69,3.10,3.62,3.96,,,0.88,1.02,0.95,1.00,0.99,0.87,1.10,0.96,0.93,0.91
Dividend per Share,0.15,0.25,0.35,0.30,0.10,,,0.45,,,,,,,0.25,0.00,0.20,,0.20,0.00
Capital Expenditures per Share,0.038,0.22,0.13,0.14,0.088,0.14,0.072,0.046,,,0.008,0.011,0.020,0.009,0.012,0.012,0.013,0.013,0.048,0.11
Book Value per Share,1.31,1.50,1.67,1.71,1.70,1.09,1.44,1.73,,,1.19,1.32,1.44,1.55,1.73,1.59,1.73,1.87,1.83,1.71
Price to Earnings Ratio,13.7,41.5,19.0,57.1,83.6,,99.2,36.4,,,,149.0,100.4,50.2,37.4,33.4,36.2,32.0,38.8,31.6
Price to Book Value Ratio,2.42,7.94,5.17,9.09,6.06,8.20,20.2,10.9,,,15.4,21.1,20.2,9.55,12.3,9.32,10.9,9.26,8.36,7.21
EV to EBITDA,5.90,14.3,8.45,32.3,34.8,-168.4,54.3,20.0,,,220.3,71.8,54.3,40.0,25.0,24.2,20.0,24.1,19.8,19.6
Dividend Payout Ratio,66.6%,83.6%,85.0%,86.6%,82.8%,,,91.4%,,,,,,,51.6%,0.0%,40.4%,,45.7%,0.0%
Common Shares Outstanding,882.7,865.0,936.5,"1,005","1,010",966.7,966.9,966.9,,,966.7,966.7,966.9,966.9,966.9,966.9,966.9,966.9,972.5,972.5
Total Revenue,"2,729","2,812","3,461","4,306","3,729","2,999","3,502","3,827",,,852.3,988.5,913.8,969.0,954.8,837.4,"1,066",928.7,900.5,886.7
"Cost of Revenue, Total","1,853","1,752","2,109","2,941","2,703","2,331","2,129","2,205",,,539.4,569.0,515.4,581.9,559.8,496.0,567.5,502.1,504.1,494.0
Gross Profit,876.2,"1,061","1,352","1,365","1,026",667.6,"1,372","1,621",,,312.8,419.5,398.5,387.0,394.9,341.4,498.0,426.7,396.4,392.7
"Selling/General/Administrative Expenses, Total",592.2,716.8,881.4,835.4,876.3,832.4,932.1,"1,054",,,229.7,244.4,246.6,244.1,261.5,230.1,318.7,274.1,275.8,267.2
Operating Income,284.0,344.0,470.8,530.0,149.4,-164.8,438.5,563.8,,,83.2,175.0,151.3,142.9,134.3,110.2,177.4,152.6,118.5,122.7
Net Income,209.4,284.3,394.5,341.0,121.6,-102.1,332.9,516.0,,,52.0,123.8,110.0,101.9,172.1,106.6,135.4,110.2,95.2,92.4
EBITDA,369.4,436.9,749.0,612.1,243.0,-60.4,557.6,679.5,,,225.0,313.0,-151.5,286.9,265.3,265.5,-36.0,277.9,288.4,264.9
Gross Profit Margin,32.1%,37.7%,39.1%,31.7%,27.5%,22.3%,39.2%,42.4%,,,36.7%,42.4%,43.6%,39.9%,41.4%,40.8%,46.7%,45.9%,44.0%,44.3%
