,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,17.6,20.1,23.2,21.0,22.5,25.9,23.0,21.3,,,26.1,25.2,24.0,24.4,25.2,22.2,21.2,23.5,21.5,18.7
Earnings per Share,1.50,1.60,1.68,2.61,2.53,2.85,3.25,2.92,,,0.77,1.22,0.85,0.44,0.64,0.62,1.14,0.71,0.36,0.59
Revenue per Share,7.46,6.79,7.42,10.9,12.5,13.7,14.6,12.0,,,3.54,4.50,4.37,2.48,3.36,2.84,4.04,2.99,2.09,2.73
Dividend per Share,0.65,0.65,0.70,1.00,1.00,1.05,,1.00,,,,,,,0.40,0.00,0.60,,0.40,0.00
Capital Expenditures per Share,0.018,0.027,0.018,0.098,0.031,0.020,0.019,0.015,,,0.006,0.004,0.004,0.004,0.004,0.004,0.004,0.006,0.006,0.006
Book Value per Share,6.26,7.26,8.30,10.2,11.6,13.4,16.1,15.9,,,14.0,15.2,16.1,15.5,15.9,15.0,15.9,16.6,16.3,16.4
Price to Earnings Ratio,9.43,13.6,10.5,9.05,6.95,8.75,7.11,6.72,,,10.7,7.73,7.12,7.69,7.67,7.94,6.88,7.15,6.94,6.21
Price to Book Value Ratio,2.49,2.82,2.14,2.12,1.62,1.87,1.33,1.19,,,1.66,1.56,1.33,1.51,1.53,1.22,1.19,1.42,1.11,1.09
EV to EBITDA,6.86,8.85,8.19,8.76,8.00,8.48,7.32,6.59,,,10.4,8.46,7.32,7.71,8.15,8.55,6.59,6.22,6.72,5.04
Dividend Payout Ratio,43.5%,40.7%,41.7%,38.3%,39.5%,36.9%,,34.3%,,,,,,,12.7%,0.0%,21.1%,,14.1%,0.0%
Common Shares Outstanding,"1,717","1,717","1,717","1,717","1,717","1,717","1,717","2,143",,,"1,717","1,717","1,717","1,858","1,917","2,094","2,143","2,143","2,143","2,143"
Total Revenue,"12,809","11,649","12,742","18,671","21,523","23,492","25,122","25,810",,,"6,079","7,730","7,509","4,601","6,442","5,939","8,667","6,415","4,477","5,842"
"Cost of Revenue, Total","7,319","6,461","7,490","10,845","13,332","14,459","15,495","15,744",,,"3,716","4,720","4,748","2,843","4,031","3,638","5,291","3,789","2,777","3,491"
Gross Profit,"5,490","5,188","5,252","7,826","8,191","9,033","9,627","10,066",,,"2,363","3,011","2,761","1,758","2,411","2,301","3,376","2,626","1,700","2,351"
"Selling/General/Administrative Expenses, Total","1,353","1,406","1,490","1,919","2,205","2,536","2,652","2,813",,,708.1,809.2,525.3,590.7,702.3,687.8,283.3,655.2,703.2,706.4
Operating Income,"4,138","3,783","3,762","5,907","5,986","6,497","6,975","7,253",,,"1,655","2,201","2,236","1,167","1,708","1,613","3,092","1,971",997.0,"1,645"
Net Income,"2,568","2,744","2,882","4,478","4,349","4,887","5,814","5,770",,,"1,328","2,094","1,705",923.4,"1,345","1,326","2,439","1,527",766.2,"1,270"
EBITDA,"4,221","3,860","3,856","6,020","6,113","6,649","7,111","7,363",,,"1,694","2,238","2,258","1,196","1,737","1,643","3,120","1,998","1,024","1,673"
Gross Profit Margin,42.9%,44.5%,41.2%,41.9%,38.1%,38.5%,38.3%,39.0%,,,38.9%,38.9%,36.8%,38.2%,37.4%,38.7%,38.9%,40.9%,38.0%,40.2%
Operating Margin,32.3%,32.5%,29.5%,31.6%,27.8%,27.7%,27.8%,28.1%,,,27.2%,28.5%,29.8%,25.4%,26.5%,27.2%,35.7%,30.7%,22.3%,28.2%
Net Profit Margin,20.0%,23.6%,22.6%,24.0%,20.2%,20.8%,23.1%,22.4%,,,21.9%,27.1%,22.7%,20.1%,20.9%,22.3%,28.1%,23.8%,17.1%,21.7%
Return on Assets,13.1%,12.4%,10.6%,13.0%,10.2%,9.9%,10.8%,10.2%,,,7.6%,9.9%,10.7%,10.8%,10.7%,9.3%,10.5%,11.5%,10.5%,10.2%
Return on Equity,23.9%,22.0%,20.2%,25.7%,21.9%,21.3%,21.0%,17.0%,,,5.5%,8.0%,6.2%,3.2%,4.4%,4.2%,7.2%,4.3%,2.2%,3.6%
Return on Total Capital,17.2%,17.8%,16.0%,16.2%,12.0%,13.8%,15.5%,13.7%,,,10.9%,14.4%,15.5%,14.9%,14.0%,12.6%,14.3%,16.1%,15.2%,15.1%
SG&A to Sale,10.6%,12.1%,11.7%,10.3%,10.2%,10.8%,10.6%,10.9%,,,11.6%,10.5%,7.0%,12.8%,10.9%,11.6%,3.3%,10.2%,15.7%,12.1%
Depreciation & Amortisation,82.8,77.5,94.4,112.3,127.3,152.1,136.1,110.1,,,38.6,36.7,22.5,29.0,29.0,29.5,27.7,27.3,27.4,28.0
Tax Rate,33.0%,22.8%,19.7%,19.8%,20.3%,20.4%,20.2%,19.9%,,,19.6%,20.5%,20.7%,18.9%,19.9%,18.8%,20.8%,20.2%,21.4%,19.6%
Current Ratio,3.66,2.84,2.31,3.62,4.23,3.08,3.01,3.70,,,3.19,3.19,3.01,3.61,4.18,3.81,3.70,3.45,3.11,3.03
Quick Ratio,0.003,0.002,0.001,0.001,0.001,0.001,0.074,0.055,,,0.014,0.084,0.074,0.077,0.043,0.038,0.055,0.043,0.040,0.038
Days Inventory Outstanding,845.8,"1,042","1,108","1,011","1,045","1,129","1,136","1,167",,,"1,374","1,175","1,132","1,142","1,134","1,223","1,179","1,109","1,210","1,240"
Days Sale Outstanding,0.46,0.44,0.29,0.16,0.19,0.30,0.33,2.72,,,0.35,0.26,0.33,0.26,0.19,0.20,2.74,0.20,0.28,0.30
Days Payable Outstanding,53.0,50.5,62.0,51.8,37.3,39.8,37.8,30.6,,,46.2,41.6,37.6,30.5,32.2,39.5,32.5,27.1,31.2,30.4
Cash Conversion Cycle,796.7,997.4,"1,023",966.4,"1,007","1,085","1,102","1,141",,,"1,328","1,132","1,097","1,114","1,097","1,184","1,154","1,082","1,179","1,211"
Debt to Asset Ratio,0.46,0.46,0.52,0.53,0.57,0.54,0.49,0.40,,,0.54,0.50,0.49,0.47,0.45,0.44,0.40,0.37,0.39,0.39
Debt to Equity Ratio,0.87,0.86,1.12,1.15,1.35,1.22,0.99,0.68,,,1.21,1.02,0.99,0.92,0.85,0.79,0.68,0.60,0.65,0.65
Interest Coverage Ratio,20.4,25.6,44.1,31.8,21.6,20.7,20.1,27.0,,,17.6,22.0,31.3,16.0,24.9,26.3,47.0,38.5,17.8,27.7
Cash and Short Term Investments,672.5,"2,170",791.7,661.9,797.9,569.1,"1,774","1,684",,,"1,452","1,947","1,774","1,665","1,720",987.1,"1,684","1,843","1,505","1,563"
"Total Receivables, Net",16.0,14.0,10.1,8.01,11.0,19.4,22.6,192.2,,,19.7,17.1,22.6,18.7,13.9,13.3,192.2,15.2,19.3,20.9
Total Inventory,"17,872","19,005","26,463","33,600","42,740","46,731","49,754","50,896",,,"47,869","46,322","49,754","50,510","51,010","51,230","50,896","50,864","51,877","52,423"
Total Current Assets,"18,970","22,062","28,080","35,204","44,003","47,789","52,156","53,311",,,"49,820","49,703","52,156","52,634","53,270","52,880","53,311","53,202","53,925","54,614"
"Property/Plant/Equipment, Total - Net",386.5,385.0,385.5,513.7,426.5,439.5,413.9,390.3,,,433.4,423.8,413.9,406.5,400.1,395.0,390.3,390.6,390.6,388.1
Total Assets,"20,495","23,653","30,675","38,031","47,287","51,680","55,746","57,704",,,"53,777","53,282","55,746","56,145","56,980","56,929","57,704","57,583","58,275","58,866"
Accounts Payable,995.9,791.1,"1,754","1,322","1,400","1,750","1,462","1,175",,,"1,604","1,732","1,462","1,218","1,663","1,640","1,175","1,315","1,331","1,226"
Accrued Expenses,206.7,228.7,223.6,307.2,334.1,366.9,371.9,406.7,,,252.3,344.5,371.9,190.0,273.6,319.6,406.7,148.2,246.2,304.5
Debt Due,960.0,"2,410","4,626","2,361","3,862","8,779","10,149","6,495",,,"8,751","8,707","10,149","7,247","5,176","6,017","6,495","7,251","9,446","10,362"
Total Current Liabilities,"5,178","7,777","12,164","9,732","10,411","15,510","17,315","14,406",,,"15,627","15,567","17,315","14,570","12,735","13,885","14,406","15,426","17,346","18,032"
Long Term Debt,"4,140","2,942","3,734","10,244","16,326","12,433","9,821","8,273",,,"13,356","10,823","9,821","11,813","12,943","10,770","8,273","5,597","4,915","4,496"
Total Liabilities,"9,362","10,766","15,967","20,053","26,837","28,068","27,335","22,982",,,"29,113","26,523","27,335","26,575","25,882","24,866","22,982","21,340","22,638","22,916"
Common Stock,"1,717","1,717","1,717","1,717","1,717","1,717","1,717","2,143",,,"1,717","1,717","1,717","1,858","1,917","2,094","2,143","2,143","2,143","2,143"
Additional Paid-In Capital,672.6,672.6,672.6,672.6,672.6,672.6,672.6,"1,952",,,672.6,672.6,672.6,"1,096","1,275","1,806","1,952","1,952","1,952","1,952"
Retained Earnings (Accumulated Deficit),"8,360","10,075","11,841","15,032","17,400","20,571","25,447","30,380",,,"21,641","23,736","25,447","26,287","27,509","27,911","30,380","31,907","31,388","31,801"
Shareholders' Equity,"10,750","12,465","14,252","17,426","19,831","22,946","27,713","33,986",,,"24,005","26,087","27,713","28,883","30,403","31,356","33,986","35,513","34,893","35,196"
Cash from Operating Activities,811.1,"2,357","-2,422","-2,633","-5,001","1,375","2,612","5,009",,,"1,483","2,195",-548.6,380.3,882.6,"1,124","2,597","1,871",-567.7,407.0
Cash from Investing Activities,-40.4,-41.4,-842.6,-419.6,-353.8,-833.3,-432.1,-13.7,,,-17.1,-207.1,9.38,-2.72,506.7,-373.0,-144.8,228.9,12.6,42.4
