,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,14.1,21.4,20.6,19.9,23.9,25.4,25.3,24.6,,,23.8,24.8,26.3,25.0,24.6,23.9,23.5,24.3,24.7,24.3
Earnings per Share,0.060,0.44,1.92,2.25,2.48,2.61,2.76,2.55,,,0.71,0.90,0.38,0.78,0.75,0.55,0.47,0.87,0.72,0.77
Revenue per Share,11.5,16.2,18.5,15.7,16.1,15.8,16.1,15.6,,,4.02,3.66,4.44,3.88,4.18,3.47,4.11,4.17,4.28,4.14
Dividend per Share,0.50,0.25,0.75,1.13,1.25,1.38,1.38,1.40,,,0.38,0.00,1.00,,0.40,0.00,1.00,,0.45,0.00
Capital Expenditures per Share,0.050,0.23,0.43,0.31,0.17,0.20,0.12,0.17,,,0.059,0.020,0.016,0.015,0.011,0.043,0.10,0.035,0.13,0.20
Book Value per Share,5.67,5.99,7.61,8.89,9.73,11.0,12.6,12.8,,,11.4,12.1,12.6,13.1,12.6,12.9,12.8,13.9,13.7,13.6
Price to Earnings Ratio,160.8,33.4,9.03,8.84,7.77,8.99,9.74,9.33,,,8.78,9.12,9.73,9.03,8.85,9.33,9.33,8.92,9.59,8.52
Price to Book Value Ratio,1.86,2.36,2.30,2.08,1.89,2.14,1.99,1.76,,,2.00,1.94,1.99,1.67,1.95,1.75,1.76,1.74,1.73,1.78
EV to EBITDA,6.92,8.88,3.65,4.11,5.28,7.72,5.65,6.28,,,5.51,6.90,5.65,6.12,6.10,6.56,6.28,6.27,6.69,5.43
Dividend Payout Ratio,837.6%,56.7%,39.0%,50.1%,50.5%,52.6%,49.8%,54.9%,,,14.2%,0.0%,36.2%,,14.2%,0.0%,39.2%,,17.3%,0.0%
Common Shares Outstanding,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
Total Revenue,"6,892","9,724","11,095","9,396","9,654","9,471","9,666","9,385",,,"2,415","2,196","2,665","2,327","2,510","2,080","2,468","2,501","2,570","2,485"
"Cost of Revenue, Total","5,123","7,553","6,853","5,499","6,219","5,829","5,528","5,118",,,"1,391","1,139","1,578","1,201","1,341","1,094","1,481","1,346","1,443","1,377"
Gross Profit,"1,770","2,170","4,242","3,897","3,435","3,642","4,138","4,267",,,"1,024","1,057","1,087","1,126","1,169",985.6,986.6,"1,155","1,126","1,108"
"Selling/General/Administrative Expenses, Total","1,152","1,209","1,830","1,440","1,152","1,270","1,404","1,897",,,364.6,303.8,443.7,418.8,370.4,660.8,447.2,418.9,513.1,454.0
Operating Income,402.8,526.7,"1,569","1,922","1,826","1,924","2,022","1,858",,,530.4,629.7,282.1,607.5,503.6,400.5,346.5,642.3,508.7,553.9
Net Income,35.8,264.6,"1,155","1,348","1,486","1,568","1,656","1,531",,,423.8,537.6,230.8,469.8,450.5,327.4,283.5,519.9,433.4,460.0
EBITDA,453.8,584.8,"1,632","1,978","1,915","2,030","2,128","1,966",,,530.4,629.7,387.9,607.5,503.6,400.5,376.4,671.0,537.7,583.7
Gross Profit Margin,25.7%,22.3%,38.2%,41.5%,35.6%,38.5%,42.8%,45.5%,,,42.4%,48.1%,40.8%,48.4%,46.6%,47.4%,40.0%,46.2%,43.8%,44.6%
Operating Margin,5.8%,5.4%,14.1%,20.5%,18.9%,20.3%,20.9%,19.8%,,,22.0%,28.7%,10.6%,26.1%,20.1%,19.3%,14.0%,25.7%,19.8%,22.3%
Net Profit Margin,0.5%,2.7%,10.4%,14.4%,15.4%,16.6%,17.1%,16.3%,,,17.5%,24.5%,8.7%,20.2%,17.9%,15.7%,11.5%,20.8%,16.9%,18.5%
Return on Assets,0.1%,0.5%,1.5%,1.8%,2.3%,2.8%,3.2%,3.2%,,,3.0%,3.3%,3.5%,3.4%,3.6%,3.4%,3.5%,3.6%,3.8%,4.3%
Return on Equity,1.1%,7.4%,25.3%,25.3%,25.5%,23.8%,21.9%,20.0%,,,6.2%,7.4%,3.1%,6.0%,6.0%,4.2%,3.7%,6.2%,5.3%,5.6%
Return on Total Capital,1.1%,7.4%,25.3%,25.3%,25.5%,23.8%,21.9%,20.0%,,,23.0%,21.7%,21.9%,21.2%,22.3%,19.0%,20.0%,18.9%,19.0%,20.8%
SG&A to Sale,16.7%,12.4%,16.5%,15.3%,11.9%,13.4%,14.5%,20.2%,,,15.1%,13.8%,16.7%,18.0%,14.8%,31.8%,18.1%,16.7%,20.0%,18.3%
Depreciation & Amortisation,50.3,57.4,62.0,56.0,88.6,106.0,105.8,107.9,,,,,105.8,,,,29.9,28.7,28.9,29.8
Tax Rate,89.0%,38.0%,20.7%,25.3%,18.6%,18.5%,18.1%,17.6%,,,20.1%,14.6%,18.2%,22.7%,10.5%,18.2%,18.2%,19.1%,14.8%,16.9%
Current Ratio,1.16,1.04,1.17,1.10,0.76,0.85,0.79,0.77,,,0.76,0.74,0.79,0.77,0.75,0.74,0.77,0.78,0.77,0.76
Quick Ratio,0.096,0.055,0.071,0.069,0.056,0.056,0.069,0.087,,,0.048,0.040,0.069,0.071,0.068,0.056,0.087,0.094,0.089,0.078
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,115.9,119.1,120.9,131.7,103.9,92.7,102.4,117.6,,,77.7,59.2,102.4,101.7,92.2,67.5,117.6,117.8,103.7,81.4
Days Payable Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Debt to Asset Ratio,0.91,0.95,0.94,0.92,0.90,0.88,0.85,0.83,,,0.86,0.84,0.85,0.83,0.83,0.81,0.83,0.80,0.80,0.79
Debt to Equity Ratio,10.7,19.9,15.6,12.3,8.60,7.38,5.55,4.86,,,6.39,5.37,5.55,4.98,5.04,4.38,4.86,4.08,3.95,3.74
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,"2,593","3,361","3,491","3,713","1,058",977.4,"2,451","2,361",,,"1,294",975.7,"2,451","1,956","1,170","2,068","2,361","2,399","2,154","2,202"
"Total Receivables, Net","2,188","3,173","3,676","3,390","2,748","2,404","2,712","3,023",,,"2,037","1,531","2,712","2,676","2,451","1,773","3,023","3,085","2,734","2,237"
Total Inventory,,,,,,,,,,,,,,,,,,,,
Total Current Assets,"26,450","59,936","60,371","54,191","37,268","36,437","31,177","26,925",,,"32,353","28,053","31,177","28,910","27,034","23,397","26,925","25,752","23,675","21,885"
