,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,16.4,16.9,16.4,11.8,9.04,11.4,7.05,4.15,,,12.2,10.8,9.03,7.03,5.60,5.55,5.18,4.87,4.19,3.44
Earnings per Share,0.65,0.73,0.76,0.56,0.35,0.31,-0.27,0.15,,,0.062,0.010,-0.42,0.031,0.047,0.036,0.036,0.026,0.010,0.030
Revenue per Share,2.17,2.52,3.14,3.92,4.05,4.27,3.26,3.09,,,1.11,1.06,0.80,0.79,0.77,0.76,0.77,0.75,0.77,0.75
Dividend per Share,0.49,0.54,0.54,0.40,0.11,,,0.030,,,,,,,,,0.030,,,
Capital Expenditures per Share,1.29,1.51,2.32,3.32,2.84,2.69,1.20,0.58,,,0.56,0.22,0.30,0.21,0.19,0.090,0.088,0.11,0.047,0.13
Book Value per Share,3.42,3.67,3.91,3.97,3.98,4.30,5.19,5.35,,,4.46,4.47,5.19,5.22,5.28,5.31,5.35,5.37,5.35,5.38
Price to Earnings Ratio,15.7,26.0,19.7,24.0,22.5,38.0,,33.1,,,33.2,31.5,,,,,33.1,33.7,36.1,30.6
Price to Book Value Ratio,3.05,5.18,4.04,3.26,1.93,2.81,1.71,0.92,,,2.65,2.10,1.71,0.93,1.09,0.92,0.92,0.86,0.68,0.56
EV to EBITDA,6.60,13.4,9.65,10.0,6.93,7.77,10.7,3.45,,,9.06,9.03,10.7,10.6,6.86,6.80,3.45,3.34,3.90,3.44
Dividend Payout Ratio,74.9%,73.2%,70.9%,71.0%,31.5%,,,20.1%,,,,,,,,,20.1%,,,
Common Shares Outstanding,325.0,325.0,325.0,325.4,325.4,325.4,433.7,433.7,,,325.4,325.4,433.7,433.7,433.7,433.7,433.7,433.7,433.7,433.7
Total Revenue,705.9,819.6,"1,022","1,275","1,319","1,389","1,413","1,339",,,359.8,343.9,345.5,344.1,332.9,327.5,334.8,326.3,331.8,325.9
"Cost of Revenue, Total",244.4,323.9,475.5,696.7,765.2,844.3,896.6,863.9,,,225.9,229.2,222.4,224.1,209.1,214.9,215.8,212.6,229.2,215.3
Gross Profit,461.4,495.6,546.3,578.7,554.3,544.4,516.4,475.4,,,133.9,114.7,123.1,120.0,123.8,112.6,119.0,113.7,102.6,110.7
"Selling/General/Administrative Expenses, Total",156.2,186.5,228.5,299.0,323.4,331.6,544.5,297.7,,,89.2,89.5,275.5,79.5,70.4,71.0,76.8,79.4,78.2,75.7
