,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,16.9,13.9,9.65,4.91,,,13.6,12.6,12.3,11.0,8.63,7.25,5.63,5.08,4.93,4.49
Earnings per Share,0.22,0.29,0.37,0.54,0.96,1.06,0.44,-0.36,,,0.084,0.11,0.12,0.002,0.040,-0.28,-0.28,-0.038,0.017,-0.040
Revenue per Share,7.73,9.16,9.59,11.9,12.0,12.5,11.9,12.0,,,2.94,2.91,3.07,2.83,3.06,3.10,3.39,3.27,3.33,3.10
Dividend per Share,0.00,0.00,0.00,0.00,0.41,0.60,0.40,,,,,,0.40,,,,,,,
Capital Expenditures per Share,0.00,0.47,0.43,0.27,0.84,1.20,1.56,2.05,,,0.36,0.32,0.61,0.67,0.71,0.39,0.34,0.24,0.14,0.040
Book Value per Share,1.53,1.82,2.19,2.78,3.49,6.55,6.38,5.63,,,6.17,6.29,6.38,6.40,6.04,5.88,5.63,5.59,5.58,5.29
Price to Earnings Ratio,,,,,14.7,14.2,23.9,,,,15.5,18.5,23.9,32.3,30.8,,,,,
Price to Book Value Ratio,,,,,4.04,2.23,2.07,0.89,,,2.07,1.94,2.07,1.29,1.36,1.01,0.89,0.89,0.85,0.78
EV to EBITDA,,,,0.00,0.00,8.55,11.8,30.8,,,10.1,10.1,11.8,15.4,14.1,18.6,30.8,30.0,25.0,21.5
Dividend Payout Ratio,0.0%,0.0%,0.0%,0.0%,42.3%,56.6%,90.0%,,,,,,90.0%,,,,,,,
Common Shares Outstanding,400.0,400.0,400.0,400.0,400.0,400.0,400.0,416.9,,,400.0,400.0,400.0,400.0,400.0,400.0,416.9,416.9,416.9,416.9
Total Revenue,"3,091","3,665","3,837","4,764","4,789","5,001","4,752","5,011",,,"1,175","1,164","1,228","1,132","1,225","1,240","1,413","1,362","1,388","1,293"
"Cost of Revenue, Total","2,822","3,370","3,457","4,247","4,066","4,199","4,231","4,693",,,"1,058","1,031","1,100","1,048","1,142","1,165","1,336","1,223","1,238","1,153"
Gross Profit,269.5,295.3,380.2,517.0,722.6,802.2,520.4,318.5,,,117.3,133.8,127.4,84.6,83.6,75.5,76.6,138.8,150.3,140.5
