,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,5.23,9.24,10.3,10.9,8.15,6.35,6.70,5.71,,,6.15,6.58,7.28,7.25,6.50,5.75,5.48,5.98,6.10,5.01
Earnings per Share,-0.23,-0.50,-0.55,0.067,0.18,-0.096,0.017,0.21,,,-0.037,-0.021,0.11,-0.020,0.29,0.003,-0.090,0.050,0.030,0.090
Revenue per Share,4.89,6.07,6.52,4.37,4.76,3.74,4.18,4.85,,,1.05,0.99,1.17,0.99,1.83,1.03,0.98,0.99,1.01,1.10
Dividend per Share,,,,,0.007,,0.031,0.090,,,,,0.031,,,,0.090,,,
Capital Expenditures per Share,0.85,1.31,1.70,0.90,1.12,1.00,1.02,1.57,,,0.19,0.32,0.26,0.40,0.21,0.37,0.59,0.29,0.31,0.31
Book Value per Share,1.41,0.91,0.28,2.81,2.98,3.93,3.82,3.99,,,3.86,3.84,3.82,3.99,4.26,4.27,3.99,3.75,3.69,3.77
Price to Earnings Ratio,,,,215.0,39.4,,381.3,25.6,,,,,381.3,230.4,18.7,15.3,29.5,19.4,,55.4
Price to Book Value Ratio,2.57,8.91,24.6,4.39,2.51,1.73,1.86,1.19,,,1.58,1.62,1.86,1.33,1.42,1.22,1.19,1.56,1.42,1.22
EV to EBITDA,6.64,9.21,10.8,14.9,13.1,14.1,10.5,7.03,,,11.5,11.0,10.5,11.6,5.32,5.58,7.03,7.49,21.1,17.9
Dividend Payout Ratio,,,,,3.7%,,187.6%,42.7%,,,,,187.6%,,,,49.2%,,,
Common Shares Outstanding,"14,721","14,721","14,748","24,977","24,977","33,368","33,368","33,368",,,"33,368","33,368","33,368","33,368","33,368","33,368","33,368","33,368","33,368","33,368"
Total Revenue,"71,938","89,382","96,214","109,216","118,781","124,719","139,519","161,820",,,"34,942","33,141","38,980","33,001","60,912","34,253","32,798","32,955","33,573","36,735"
"Cost of Revenue, Total","51,927","68,672","75,225","84,481","90,577","95,600","102,096","105,780",,,"26,314","24,724","25,903","24,324","28,313","25,279","27,864","25,004","25,619","27,040"
Gross Profit,"20,011","20,710","20,989","24,735","28,203","29,120","37,423","56,041",,,"8,628","8,416","13,077","8,677","32,599","8,974","4,934","7,951","7,955","9,695"
"Selling/General/Administrative Expenses, Total","15,937","19,110","22,638","21,812","23,596","29,611","33,306","35,635",,,"8,226","7,833","8,758","8,673","8,531","8,529","9,901","6,421","7,228","7,362"
Operating Income,"4,074","1,600","-1,649","2,922","4,608",-491.6,"4,118","20,406",,,402.4,583.1,"4,319",3.44,"24,068",445.0,"-4,967","1,529",726.8,"2,333"
Net Income,"-2,694","-7,428","-9,063","1,294","4,412","-2,814",551.3,"7,035",,,"-1,245",-691.5,"3,640",-672.6,"9,751",98.9,"-3,000","1,509","1,060","2,857"
EBITDA,"17,332","16,145","15,834","24,511","19,097","18,925","29,123","43,994",,,"9,390","9,544","2,275","9,059","32,842","9,760","-8,525","8,090","7,831","9,885"
Gross Profit Margin,27.8%,23.2%,21.8%,22.6%,23.7%,23.3%,26.8%,34.6%,,,24.7%,25.4%,33.5%,26.3%,53.5%,26.2%,15.0%,24.1%,23.7%,26.4%
Operating Margin,5.7%,1.8%,-1.7%,2.7%,3.9%,-0.4%,3.0%,12.6%,,,1.2%,1.8%,11.1%,0.0%,39.5%,1.3%,-15.1%,4.6%,2.2%,6.4%
Net Profit Margin,-3.7%,-8.3%,-9.4%,1.2%,3.7%,-2.3%,0.4%,4.3%,,,-3.6%,-2.1%,9.3%,-2.0%,16.0%,0.3%,-9.1%,4.6%,3.2%,7.8%
Return on Assets,-2.0%,-4.5%,-4.7%,0.6%,1.7%,-0.8%,0.1%,1.5%,,,-1.6%,-1.2%,0.1%,0.2%,2.5%,2.6%,1.3%,1.7%,-0.1%,0.5%
Return on Equity,-13.0%,-55.7%,-222.1%,1.8%,5.9%,-2.1%,0.4%,5.3%,,,-1.0%,-0.5%,2.9%,-0.5%,6.9%,0.1%,-2.3%,1.2%,0.9%,2.3%
Return on Total Capital,-2.7%,-7.4%,-11.3%,1.3%,3.4%,-1.5%,0.3%,3.5%,,,-3.7%,-3.1%,0.3%,0.6%,6.3%,6.1%,3.1%,3.5%,-0.1%,0.9%
SG&A to Sale,22.2%,21.4%,23.5%,20.0%,19.9%,23.7%,23.9%,22.0%,,,23.5%,23.6%,22.5%,26.3%,14.0%,24.9%,30.2%,19.5%,21.5%,20.0%
