,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.84,6.89,6.48,8.53,6.45,4.73,3.32,2.12,,,4.35,4.26,3.66,3.24,3.04,2.87,2.56,2.43,2.17,1.75
Earnings per Share,-0.41,0.032,0.20,0.12,-0.069,-0.021,0.078,0.058,,,0.018,0.021,0.031,0.010,0.006,0.023,0.020,0.004,-0.066,-0.020
Revenue per Share,10.6,11.0,9.03,9.11,9.72,8.96,10.5,11.5,,,2.39,2.69,2.94,2.73,2.77,2.79,3.20,2.89,2.97,2.96
Dividend per Share,,,,,,0.010,,0.014,,,,,,,,,0.014,,,
Capital Expenditures per Share,0.66,1.18,1.30,0.63,0.52,0.59,0.60,1.08,,,0.10,0.16,0.20,0.16,0.23,0.27,0.39,0.20,0.26,0.52
Book Value per Share,1.92,2.05,2.38,2.65,2.52,2.46,2.50,2.61,,,2.47,2.49,2.50,2.61,2.62,2.64,2.61,2.60,2.49,2.49
Price to Earnings Ratio,,201.4,17.1,78.3,,,43.2,41.8,,,154.7,49.4,43.2,44.3,41.4,37.7,41.8,43.4,,
Price to Book Value Ratio,1.84,3.73,1.49,2.70,2.89,1.95,1.23,0.84,,,1.73,1.59,1.23,1.03,1.17,0.81,0.84,0.90,0.76,0.60
EV to EBITDA,15.6,12.2,7.67,17.1,17.5,13.7,9.27,7.75,,,10.1,9.62,9.27,8.27,8.86,8.84,7.75,7.86,7.88,7.03
Dividend Payout Ratio,,,,,,-49.6%,,24.9%,,,,,,,,,24.9%,,,
Common Shares Outstanding,"4,194","4,194","4,860","5,280","5,280","5,280","5,280","5,280",,,"5,280","5,280","5,280","5,280","5,280","5,280","5,280","5,280","5,280","5,280"
Total Revenue,"44,247","46,291","43,913","48,082","51,297","47,320","55,238","60,644",,,"12,623","14,214","15,541","14,393","14,644","14,730","16,877","15,261","15,696","15,646"
"Cost of Revenue, Total","41,089","41,165","39,258","43,780","46,889","42,801","48,665","54,083",,,"10,884","12,893","13,427","12,831","13,173","13,116","14,963","13,904","14,048","14,135"
Gross Profit,"3,158","5,126","4,655","4,302","4,409","4,518","6,573","6,561",,,"1,739","1,320","2,114","1,562","1,471","1,614","1,914","1,356","1,648","1,511"
"Selling/General/Administrative Expenses, Total","2,626","2,485","2,047","2,261","2,453","2,784","3,011","3,666",,,971.9,528.1,879.6,833.5,853.1,917.2,"1,063",828.7,"1,185",825.4
Operating Income,752.5,"2,541","3,274","2,434","1,549","1,970","3,257","3,418",,,803.5,873.0,717.2,901.5,732.5,680.5,"1,103",685.0,534.7,679.8
Net Income,"-1,698",134.3,907.4,580.8,-361.7,-109.3,412.6,305.6,,,92.4,111.3,166.0,52.4,29.8,119.1,104.3,21.8,-347.8,-107.3
EBITDA,"2,577","4,327","5,252","4,446","3,749","4,399","5,679","6,461",,,"1,446","1,502","1,249","1,587","1,440","1,406","2,028","1,583","1,471","1,337"
