,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,34.5,23.8,25.8,25.0,30.1,48.0,59.3,43.4,,,42.5,53.0,59.6,62.1,62.0,59.3,52.8,49.1,41.0,35.4
Earnings per Share,3.28,0.57,0.28,0.32,1.15,3.15,3.98,4.61,,,0.56,0.64,1.86,1.03,1.44,1.75,0.37,0.61,0.36,0.094
Revenue per Share,38.7,43.9,47.8,50.7,48.9,53.0,54.8,62.0,,,14.9,13.9,13.5,14.1,15.1,17.2,16.3,17.2,17.0,15.1
Dividend per Share,1.00,0.36,0.28,0.38,0.48,0.66,1.00,1.40,,,0.45,0.00,0.55,,0.70,0.35,0.35,0.35,0.35,0.35
Capital Expenditures per Share,1.43,2.26,1.41,1.94,2.19,2.79,3.77,2.91,,,1.14,0.88,1.00,0.79,0.78,0.56,0.82,0.81,0.78,0.69
Book Value per Share,12.2,11.7,12.6,15.1,16.6,18.5,22.3,25.8,,,19.3,20.7,22.3,23.3,25.2,25.8,25.8,25.7,24.6,24.1
Price to Earnings Ratio,12.3,41.8,75.5,81.7,18.6,11.3,13.6,11.2,,,15.1,18.7,13.8,14.3,12.1,8.88,11.2,11.0,11.4,24.3
Price to Book Value Ratio,3.10,2.00,1.82,1.73,1.38,1.91,2.57,1.93,,,2.19,2.57,2.57,2.35,2.34,2.10,1.93,1.83,1.32,1.45
EV to EBITDA,11.4,15.0,14.4,12.5,10.4,9.92,11.5,8.86,,,9.30,10.7,11.5,11.8,10.8,8.79,8.86,9.11,9.18,9.34
Dividend Payout Ratio,30.5%,63.2%,101.7%,119.4%,41.6%,21.0%,25.1%,30.4%,,,17.4%,0.0%,14.0%,,14.1%,5.8%,7.6%,8.4%,11.3%,24.4%
Common Shares Outstanding,"4,814","4,814","4,814","4,814","4,814","4,814","5,245","5,615",,,"4,814","5,245","5,245","5,412","5,548","5,584","5,615","5,615","5,615","5,615"
Total Revenue,"186,396","211,266","229,923","243,907","235,284","255,130","287,335","348,255",,,"71,864","72,765","70,886","76,404","83,853","96,240","91,758","96,323","95,351","84,634"
"Cost of Revenue, Total","165,754","193,483","211,779","221,909","208,177","218,198","240,889","289,232",,,"61,538","60,004","59,445","63,416","68,010","77,055","80,751","83,550","82,282","74,221"
