,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,6.74,13.5,13.2,11.7,7.80,7.00,4.58,3.28,,,6.40,6.60,5.88,4.88,4.32,3.76,3.11,3.49,3.42,2.86
Earnings per Share,0.25,0.76,0.55,0.52,-0.69,-0.22,0.090,0.20,,,0.030,0.10,-0.12,0.11,0.069,0.086,-0.058,0.071,0.008,0.007
Revenue per Share,8.04,11.2,7.97,7.09,7.29,10.2,6.13,5.68,,,1.30,1.50,1.64,1.76,1.61,1.42,0.90,0.97,1.18,0.99
Dividend per Share,0.12,0.35,0.15,0.26,0.13,,,0.050,,,,,,,,,0.050,,,
Capital Expenditures per Share,0.069,0.045,0.10,0.070,0.11,0.063,0.051,0.038,,,0.018,0.006,0.005,0.008,0.006,0.018,0.005,0.007,0.002,0.004
Book Value per Share,2.56,3.23,4.52,4.83,4.27,4.05,4.14,4.35,,,4.16,4.26,4.14,4.24,4.30,4.41,4.35,4.41,4.37,4.38
Price to Earnings Ratio,14.2,17.6,14.8,27.3,,,60.1,14.8,,,32.9,28.2,60.1,37.5,25.2,23.2,14.8,18.7,29.1,99.0
Price to Book Value Ratio,1.39,5.26,2.17,2.82,1.56,1.80,1.28,0.67,,,1.62,1.41,1.28,0.83,0.96,0.64,0.67,0.81,0.67,0.61
EV to EBITDA,7.95,9.74,17.3,37.5,-8.55,-26.4,48.7,24.5,,,67.2,53.6,48.7,28.6,20.8,30.6,24.5,33.7,82.0,-90.2
Dividend Payout Ratio,46.0%,46.1%,27.2%,50.0%,-18.1%,,,24.6%,,,,,,,,,24.6%,,,
Common Shares Outstanding,413.6,535.1,692.8,692.8,730.3,730.3,730.3,730.3,,,730.3,730.3,730.3,730.3,730.3,730.3,730.3,730.3,730.3,730.3
Total Revenue,"3,326","6,009","5,522","4,915","5,321","7,433","4,478","4,150",,,947.2,"1,098","1,196","1,284","1,175","1,034",656.6,705.8,858.4,724.4
"Cost of Revenue, Total","2,880","5,068","4,831","4,330","4,860","6,931","3,927","3,628",,,840.6,924.0,"1,081","1,112","1,033",934.6,547.5,568.6,720.7,604.9
Gross Profit,445.8,940.8,691.0,585.0,461.5,502.5,551.0,522.5,,,106.6,174.1,114.5,172.0,142.0,99.5,109.1,137.2,137.7,119.5
"Selling/General/Administrative Expenses, Total",223.1,326.7,388.5,299.7,"1,210",815.6,486.0,450.7,,,84.6,87.5,185.7,89.7,84.9,98.9,177.2,97.7,136.5,195.5
Operating Income,222.7,614.0,302.4,285.3,-748.0,-313.1,65.1,71.8,,,22.1,86.6,-71.2,82.3,57.1,0.62,-68.1,39.5,1.20,-76.0
Net Income,119.0,392.6,357.3,362.0,-502.3,-160.8,65.6,148.6,,,22.1,75.4,-84.9,77.8,50.5,62.9,-42.6,51.7,5.88,5.00
EBITDA,257.6,636.9,324.8,307.3,-725.0,-280.3,120.0,140.8,,,32.3,102.5,-52.5,100.0,75.0,18.9,-53.0,57.5,19.3,-61.1
Gross Profit Margin,13.4%,15.7%,12.5%,11.9%,8.7%,6.8%,12.3%,12.6%,,,11.3%,15.9%,9.6%,13.4%,12.1%,9.6%,16.6%,19.4%,16.0%,16.5%
