,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,11.0,10.4,11.4,8.48,7.90,7.70,4.71,3.82,,,7.08,6.30,4.97,4.89,4.43,4.30,4.28,4.14,3.90,3.50
Earnings per Share,1.82,1.43,0.92,0.56,-0.084,-0.59,-0.63,0.49,,,0.035,-0.37,-0.65,0.64,0.12,-0.22,-0.051,0.45,0.070,-0.052
Revenue per Share,12.5,12.8,10.7,10.3,10.9,11.5,13.2,14.1,,,3.75,2.97,2.76,3.92,3.92,3.64,2.60,2.71,2.72,2.59
Dividend per Share,0.12,0.67,0.50,0.30,0.10,0.10,,0.12,,,,,,,,,0.12,,,
Capital Expenditures per Share,0.95,1.17,2.36,2.06,4.12,1.37,0.36,0.37,,,0.033,0.073,0.17,0.12,0.045,0.080,0.13,0.18,0.21,0.51
Book Value per Share,4.42,5.57,6.24,6.84,6.62,5.91,5.24,5.74,,,6.26,5.89,5.24,5.88,6.00,5.78,5.74,6.19,6.13,6.07
Price to Earnings Ratio,6.22,7.83,10.6,17.6,,,,8.74,,,,,,,,,8.74,12.5,14.6,7.64
Price to Book Value Ratio,2.49,1.79,1.62,1.26,1.11,1.37,0.84,0.71,,,1.11,0.92,0.84,0.74,0.72,0.66,0.71,0.67,0.57,0.59
EV to EBITDA,4.23,5.85,6.69,15.1,31.5,50.4,30.4,6.74,,,48.5,35.7,30.4,16.4,15.1,11.8,6.74,9.77,9.99,7.45
Dividend Payout Ratio,6.6%,46.8%,54.3%,53.4%,-119.6%,-16.9%,,24.5%,,,,,,,,,24.5%,,,
Common Shares Outstanding,498.5,500.0,550.0,600.0,600.0,600.0,600.0,600.0,,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
Total Revenue,"6,232","6,401","5,904","6,180","6,542","6,925","7,922","8,451",,,"2,250","1,779","1,657","2,353","2,354","2,184","1,560","1,625","1,632","1,557"
"Cost of Revenue, Total","4,658","5,216","4,793","5,266","6,035","6,646","7,708","7,247",,,"2,053","1,822","1,921","1,662","2,035","2,128","1,422","1,103","1,422","1,414"
Gross Profit,"1,574","1,185","1,110",914.1,507.3,279.2,214.2,"1,204",,,197.5,-43.0,-264.5,690.8,318.5,56.7,137.8,522.4,210.2,142.5
"Selling/General/Administrative Expenses, Total",441.1,433.7,479.3,593.5,584.7,613.7,586.1,852.9,,,164.2,149.4,155.4,193.7,229.5,221.5,208.2,181.6,150.6,171.4
Operating Income,"1,133",750.9,631.2,320.6,-77.4,-271.9,-360.1,380.8,,,33.3,-186.5,-416.5,497.1,92.5,-164.9,-40.5,340.8,59.6,-29.0
Net Income,800.5,715.5,501.5,318.7,-50.2,-355.3,-376.6,294.0,,,21.0,-221.7,-391.2,382.5,73.7,-131.4,-30.8,271.3,42.1,-31.3
EBITDA,"1,252",887.2,805.5,523.0,234.0,254.1,244.6,989.5,,,182.1,-34.8,-264.1,646.9,243.8,-11.0,113.3,491.3,211.3,125.8
Gross Profit Margin,25.3%,18.5%,18.8%,14.8%,7.8%,4.0%,2.7%,14.2%,,,8.8%,-2.4%,-16.0%,29.4%,13.5%,2.6%,8.8%,32.1%,12.9%,9.2%
Operating Margin,18.2%,11.7%,10.7%,5.2%,-1.2%,-3.9%,-4.5%,4.5%,,,1.5%,-10.5%,-25.1%,21.1%,3.9%,-7.5%,-2.6%,21.0%,3.7%,-1.9%
Net Profit Margin,12.8%,11.2%,8.5%,5.2%,-0.8%,-5.1%,-4.8%,3.5%,,,0.9%,-12.5%,-23.6%,16.3%,3.1%,-6.0%,-2.0%,16.7%,2.6%,-2.0%
Return on Assets,20.9%,16.1%,9.8%,4.7%,-0.6%,-3.4%,-3.6%,2.9%,,,-1.9%,-2.2%,-3.6%,-1.9%,-1.3%,-0.6%,3.0%,1.7%,1.4%,2.4%
Return on Equity,36.4%,25.7%,14.6%,7.8%,-1.3%,-10.0%,-12.0%,8.5%,,,0.6%,-6.3%,-12.4%,10.8%,2.0%,-3.8%,-0.9%,7.3%,1.1%,-0.9%
Return on Total Capital,27.5%,22.2%,11.7%,5.7%,-0.8%,-6.1%,-7.8%,6.8%,,,-4.1%,-4.5%,-7.8%,-4.0%,-3.1%,-1.4%,6.8%,3.9%,3.5%,5.5%
SG&A to Sale,7.1%,6.8%,8.1%,9.6%,8.9%,8.9%,7.4%,10.1%,,,7.3%,8.4%,9.4%,8.2%,9.7%,10.1%,13.4%,11.2%,9.2%,11.0%
Depreciation & Amortisation,118.6,136.3,174.3,202.4,311.5,526.1,604.7,608.7,,,148.8,151.8,152.4,149.8,151.3,153.8,153.8,150.5,151.7,154.8
Tax Rate,28.5%,23.1%,20.1%,20.2%,53.5%,16.0%,-10.9%,-1.5%,,,46.3%,3.6%,-1.7%,16.9%,5.9%,35.1%,34.2%,14.1%,-17.2%,33.5%
Current Ratio,1.62,1.78,1.46,1.38,0.81,0.67,0.59,0.60,,,0.80,0.71,0.59,0.70,0.78,0.67,0.60,0.72,0.68,0.61
Quick Ratio,0.28,0.39,0.33,0.56,0.38,0.33,0.28,0.27,,,0.31,0.34,0.28,0.18,0.34,0.38,0.27,0.19,0.24,0.26
Days Inventory Outstanding,42.7,52.3,55.5,70.5,71.4,61.8,50.6,65.0,,,146.7,98.2,62.0,107.2,142.7,88.9,71.2,132.7,177.2,149.9
Days Sale Outstanding,27.2,23.4,32.4,68.2,73.8,83.6,67.8,65.5,,,88.4,78.9,67.8,57.0,102.8,83.4,65.5,61.9,80.6,86.7
Days Payable Outstanding,34.5,50.1,43.4,35.2,30.8,31.5,30.4,29.8,,,34.9,18.1,22.5,39.2,32.1,12.6,17.8,26.1,20.0,10.7
Cash Conversion Cycle,0.38,33.6,45.2,85.2,109.4,103.7,91.1,104.3,,,192.1,168.0,105.8,123.3,205.4,171.8,121.2,178.1,239.9,236.9
Debt to Asset Ratio,0.52,0.35,0.42,0.47,0.61,0.67,0.69,0.65,,,0.69,0.67,0.69,0.72,0.69,0.65,0.65,0.68,0.66,0.65
Debt to Equity Ratio,1.08,0.55,0.73,0.88,1.54,1.99,2.23,1.88,,,2.18,1.99,2.23,2.52,2.26,1.85,1.88,2.08,1.96,1.83
Interest Coverage Ratio,15.6,13.2,30.8,7.19,,,,2.13,,,0.62,,,10.7,1.85,,,7.99,1.30,
Cash and Short Term Investments,"1,325",748.4,747.3,301.8,81.9,126.4,232.6,63.7,,,144.8,113.0,232.6,55.4,74.3,37.0,63.7,63.8,83.5,70.8
"Total Receivables, Net",463.7,410.0,523.5,"1,154","1,322","1,586","1,471","1,517",,,"1,918","1,731","1,471","1,255","2,293","1,953","1,517","1,309","1,545","1,514"
Total Inventory,865.9,628.0,829.5,"1,205","1,157","1,095","1,043","1,536",,,"2,601","1,573","1,043","3,336","2,481","1,291","1,536","3,326","2,572","1,832"
Total Current Assets,"2,674","1,876","2,323","2,831","2,821","3,212","3,110","3,311",,,"4,946","3,599","3,110","4,960","5,249","3,454","3,311","4,884","4,403","3,508"
"Property/Plant/Equipment, Total - Net","1,721","2,193","3,411","3,865","6,589","6,842","6,513","6,119",,,"6,604","6,555","6,513","6,381","6,254","6,135","6,119","6,054","6,096","6,381"
Total Assets,"4,574","4,316","5,933","7,727","10,069","10,608","10,158","9,915",,,"11,949","10,567","10,158","12,419","11,740","9,880","9,915","11,450","10,886","10,306"
Accounts Payable,807.2,625.9,514.2,502.9,514.2,632.8,652.7,531.8,,,469.6,298.5,652.7,949.8,358.9,176.3,531.8,426.5,237.7,76.3
Accrued Expenses,40.0,49.6,50.7,84.3,43.1,43.8,36.4,35.5,,,27.4,39.9,36.4,37.1,17.8,34.5,35.5,47.7,38.4,54.6
Debt Due,30.9,22.5,252.2,675.0,"2,291","3,365","3,804","4,164",,,"5,288","4,298","3,804","5,523","5,711","4,471","4,164","5,566","5,527","4,883"
Total Current Liabilities,"1,647","1,056","1,592","2,051","3,493","4,792","5,281","5,554",,,"6,192","5,041","5,281","7,099","6,695","5,150","5,554","6,778","6,504","5,720"
Long Term Debt,710.1,430.1,843.7,"1,498","2,566","2,235","1,697",881.4,,,"1,966","1,955","1,697","1,738","1,384","1,223",881.4,919.2,655.5,893.6
Total Liabilities,"2,373","1,530","2,502","3,622","6,098","7,060","7,012","6,471",,,"8,193","7,033","7,012","8,891","8,142","6,410","6,471","7,735","7,209","6,664"
Common Stock,500.0,500.0,550.0,600.0,600.0,600.0,600.0,600.0,,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
Additional Paid-In Capital,"1,180","1,180","1,643","2,230","2,230","2,230","2,230","2,230",,,"2,230","2,230","2,230","2,230","2,230","2,230","2,230","2,230","2,230","2,230"
Retained Earnings (Accumulated Deficit),521.1,"1,109","1,239","1,303","1,132",723.2,319.2,613.6,,,929.4,707.7,319.2,701.7,775.4,644.0,613.6,884.9,855.0,823.7
Shareholders' Equity,"2,201","2,786","3,430","4,105","3,971","3,548","3,146","3,444",,,"3,756","3,534","3,146","3,528","3,598","3,471","3,444","3,715","3,677","3,642"
Cash from Operating Activities,"1,232",617.5,503.4,-470.0,-217.9,339.3,587.3,635.9,,,178.9,"1,058","1,005","-1,861",193.8,"1,517",786.0,"-1,316",540.7,752.1
Cash from Investing Activities,-570.2,-523.8,"-1,263","-1,329","-2,418",-709.5,-155.2,-133.7,,,-15.5,-41.6,-85.5,-27.8,-9.14,-45.9,-50.9,-80.3,-124.2,-291.7
