,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.77,1.25,2.85,2.04,0.88,0.63,0.51,0.44,,,0.60,0.52,0.42,0.42,0.52,0.59,0.57,0.53,0.42,0.32
Earnings per Share,0.46,-0.081,-0.007,-0.008,-0.030,-0.027,-0.081,-0.088,,,-0.013,-0.018,-0.029,-0.017,-0.022,-0.010,-0.038,0.10,0.010,0.001
Revenue per Share,1.50,0.032,0.23,0.25,0.24,0.23,0.18,0.29,,,0.053,0.042,0.044,0.043,0.042,0.12,0.087,0.75,0.25,0.12
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.003,0.000,0.001,0.001,0.013,0.004,0.003,0.006,,,0.001,0.000,0.001,0.001,0.001,0.003,0.001,0.002,0.002,0.002
Book Value per Share,0.87,0.70,0.66,0.77,0.74,0.72,0.64,0.55,,,0.68,0.67,0.64,0.63,0.61,0.61,0.55,0.66,0.67,0.67
Price to Earnings Ratio,1.58,,,,,,,,,,,,,,,,,12.8,5.04,3.40
Price to Book Value Ratio,0.77,1.33,1.55,2.57,1.08,0.95,0.63,0.97,,,0.77,0.63,0.63,0.57,0.83,0.79,0.97,0.70,0.52,0.39
EV to EBITDA,3.39,-18.4,286.0,169.7,-81.3,-38.9,-29.1,-109.6,,,-30.6,-31.2,-29.1,-42.8,-39.4,-65.9,-109.6,10.8,8.79,7.70
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,306.0,581.6,"2,159","3,237","3,237","3,885","3,885","3,885",,,"3,885","3,885","3,885","3,885","3,885","3,885","3,885","3,885","3,885","3,885"
Total Revenue,459.6,18.5,499.7,812.8,763.9,906.3,708.2,"1,126",,,204.5,163.9,172.3,165.5,164.7,457.4,337.9,"2,906",969.4,456.1
"Cost of Revenue, Total",253.3,19.5,368.0,568.8,611.5,746.1,607.7,879.6,,,173.9,136.2,149.3,134.1,140.9,355.9,248.7,"2,105",717.9,304.9
Gross Profit,206.3,-1.01,131.7,244.1,152.4,160.1,100.5,245.9,,,30.6,27.7,23.0,31.4,23.8,101.6,89.2,801.4,251.5,151.2
"Selling/General/Administrative Expenses, Total",46.1,24.3,122.4,186.6,214.1,325.6,325.9,355.4,,,72.9,74.8,78.9,70.1,77.1,97.6,110.7,211.7,126.3,113.1
