,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,10.6,14.4,11.8,11.7,12.9,12.6,12.7,12.4,,,12.8,12.9,13.3,11.6,11.3,11.1,11.4,12.8,13.1,11.8
Earnings per Share,0.61,0.75,0.79,0.80,0.95,0.79,0.73,0.67,,,0.21,0.17,0.13,0.18,0.17,0.18,0.14,0.21,0.16,0.14
Revenue per Share,1.95,2.21,2.36,2.57,2.64,2.64,2.59,2.54,,,0.65,0.61,0.63,0.63,0.63,0.65,0.63,0.70,0.72,0.70
Dividend per Share,0.42,0.44,0.42,0.45,0.47,0.47,0.47,0.47,,,0.23,0.00,0.24,,0.20,0.00,0.27,,0.21,0.00
Capital Expenditures per Share,0.78,1.18,0.59,1.14,1.22,0.60,0.33,0.33,,,0.11,0.090,0.035,0.056,0.094,0.058,0.12,0.067,0.098,0.32
Book Value per Share,4.17,4.40,4.73,5.10,5.59,5.92,6.16,6.39,,,6.07,6.01,6.16,6.34,6.26,6.24,6.39,6.59,6.47,6.39
Price to Earnings Ratio,11.6,20.4,15.1,13.7,12.7,14.6,16.8,16.2,,,16.2,16.3,16.8,16.0,17.1,16.6,16.2,17.0,18.2,16.7
Price to Book Value Ratio,1.80,3.43,2.41,2.14,2.31,1.98,1.93,1.74,,,2.03,2.06,1.93,1.67,1.76,1.71,1.74,1.96,1.92,1.72
EV to EBITDA,7.28,13.1,11.0,10.2,11.2,10.8,11.7,10.7,,,12.0,11.8,11.7,11.4,11.4,11.5,10.7,10.6,12.1,11.4
Dividend Payout Ratio,69.4%,59.0%,53.2%,56.1%,49.3%,59.7%,64.0%,70.0%,,,29.6%,0.0%,32.7%,,30.6%,0.0%,40.2%,,30.4%,0.0%
Common Shares Outstanding,"1,664","1,664","1,664","1,664","1,664","1,664","1,664","1,664",,,"1,664","1,664","1,664","1,664","1,664","1,664","1,664","1,664","1,664","1,664"
Total Revenue,"3,250","3,677","3,923","4,274","4,400","4,395","4,308","4,221",,,"1,086","1,019","1,040","1,045","1,048","1,078","1,050","1,165","1,196","1,159"
"Cost of Revenue, Total","1,397","1,539","1,785","2,098","2,109","2,232","2,225","2,219",,,520.1,516.5,584.7,557.1,551.2,536.1,577.6,619.8,690.5,691.5
Gross Profit,"1,853","2,138","2,138","2,176","2,291","2,163","2,083","2,002",,,565.7,502.6,455.2,488.3,496.5,541.7,472.5,545.1,505.4,468.0
"Selling/General/Administrative Expenses, Total",368.1,492.0,392.3,412.2,458.6,417.1,457.6,487.8,,,104.5,100.5,156.4,93.9,106.8,132.7,151.7,107.1,136.8,127.0
Operating Income,"1,452","1,646","1,745","1,764","1,832","1,746","1,626","1,514",,,461.9,402.3,288.9,396.4,389.7,409.7,318.1,438.2,368.9,341.4
